BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-桃園,0037003700390072,Buy,1101台泥,"30959","31031","72"
國票證券,7790,國票-桃園,0037003700390072,Buy,2337旺宏,"4550","8812","4262"
國票證券,7790,國票-桃園,0037003700390072,Buy,8155博智,"3536","3536","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2454聯發科,"3338","9376","6038"
國票證券,7790,國票-桃園,0037003700390072,Buy,2408南亞科,"2836","6455","3619"
國票證券,7790,國票-桃園,0037003700390072,Buy,6526達發,"2425","2457","32"
國票證券,7790,國票-桃園,0037003700390072,Buy,1326台化,"2394","2453","59"
國票證券,7790,國票-桃園,0037003700390072,Buy,7795長廣,"2190","2190","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2327國巨*,"1836","5451","3615"
國票證券,7790,國票-桃園,0037003700390072,Buy,2492華新科,"1807","2381","574"
國票證券,7790,國票-桃園,0037003700390072,Buy,5410國眾,"1520","1520","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,6182合晶,"1473","1473","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,00632R元大台灣50反1,"1197","1718","521"
國票證券,7790,國票-桃園,0037003700390072,Buy,2483百容,"1174","1213","39"
國票證券,7790,國票-桃園,0037003700390072,Buy,6488環球晶,"924","933","9"
國票證券,7790,國票-桃園,0037003700390072,Buy,6290良維,"868","868","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2397友通,"836","856","20"
國票證券,7790,國票-桃園,0037003700390072,Buy,8936國統,"833","833","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,8111立碁,"628","1331","703"
國票證券,7790,國票-桃園,0037003700390072,Buy,6669緯穎,"627","6925","6298"
國票證券,7790,國票-桃園,0037003700390072,Buy,2409友達,"573","1046","473"
國票證券,7790,國票-桃園,0037003700390072,Buy,1597直得,"549","549","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,8271宇瞻,"548","1833","1285"
國票證券,7790,國票-桃園,0037003700390072,Buy,2301光寶科,"520","1041","521"
國票證券,7790,國票-桃園,0037003700390072,Buy,2207和泰車,"512","512","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,6239力成,"508","1082","574"
國票證券,7790,國票-桃園,0037003700390072,Buy,0052富邦科技,"489","489","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2428興勤,"463","463","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2356英業達,"462","462","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,6265方土昶,"462","462","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,3305昇貿,"448","448","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,3673TPK-KY,"428","864","436"
國票證券,7790,國票-桃園,0037003700390072,Buy,2332友訊,"419","514","95"
國票證券,7790,國票-桃園,0037003700390072,Buy,8069元太,"398","398","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,3149正達,"392","850","458"
國票證券,7790,國票-桃園,0037003700390072,Buy,8358金居,"384","1484","1100"
國票證券,7790,國票-桃園,0037003700390072,Buy,3455由田,"377","377","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,00888永豐台灣ESG,"356","356","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,00929復華台灣科技優息,"348","348","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,3715定穎投控,"328","328","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,6165浪凡,"302","302","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,4973廣穎,"293","600","307"
國票證券,7790,國票-桃園,0037003700390072,Buy,2338光罩,"287","488","201"
國票證券,7790,國票-桃園,0037003700390072,Buy,2530華建,"270","270","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,4915致伸,"265","265","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,00881國泰台灣科技龍頭,"264","264","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,3706神達,"260","399","139"
國票證券,7790,國票-桃園,0037003700390072,Buy,2449京元電子,"257","257","0"
國票證券,7790,國票-桃園,0037003700390072,Buy,2609陽明,"254","556","302"
國票證券,7790,國票-桃園,0037003700390072,Buy,6530創威,"236","236","0"
國票證券,7790,國票-桃園,0037003700390072,Sell,2330台積電,"-52748","1249","53997"
國票證券,7790,國票-桃園,0037003700390072,Sell,6197佳必琪,"-23307","0","23307"
國票證券,7790,國票-桃園,0037003700390072,Sell,3044健鼎,"-20457","0","20457"
國票證券,7790,國票-桃園,0037003700390072,Sell,3008大立光,"-14619","9215","23834"
國票證券,7790,國票-桃園,0037003700390072,Sell,3661世芯-KY,"-14397","108","14505"
國票證券,7790,國票-桃園,0037003700390072,Sell,3088艾訊,"-10750","265","11015"
國票證券,7790,國票-桃園,0037003700390072,Sell,2317鴻海,"-9329","1033","10362"
國票證券,7790,國票-桃園,0037003700390072,Sell,6285啟碁,"-8125","257","8382"
國票證券,7790,國票-桃園,0037003700390072,Sell,6271同欣電,"-8057","568","8625"
國票證券,7790,國票-桃園,0037003700390072,Sell,8081致新,"-7815","0","7815"
國票證券,7790,國票-桃園,0037003700390072,Sell,2344華邦電,"-7015","855","7870"
國票證券,7790,國票-桃園,0037003700390072,Sell,2421建準,"-6588","0","6588"
