BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永全證券,6450,永全-南崁,6451,Buy,2327國巨*,"32732","68029","35297"
永全證券,6450,永全-南崁,6451,Buy,5289宜鼎,"4661","6126","1465"
永全證券,6450,永全-南崁,6451,Buy,2303聯電,"4281","13142","8861"
永全證券,6450,永全-南崁,6451,Buy,5351鈺創,"3860","5877","2017"
永全證券,6450,永全-南崁,6451,Buy,00881國泰台灣科技龍頭,"3451","3451","0"
永全證券,6450,永全-南崁,6451,Buy,6488環球晶,"3300","15757","12457"
永全證券,6450,永全-南崁,6451,Buy,00961FT臺灣永續高息,"3044","3044","0"
永全證券,6450,永全-南崁,6451,Buy,6290良維,"2413","2413","0"
永全證券,6450,永全-南崁,6451,Buy,5347世界,"1914","2079","165"
永全證券,6450,永全-南崁,6451,Buy,2449京元電子,"1749","2533","784"
永全證券,6450,永全-南崁,6451,Buy,1303南亞,"1591","3009","1418"
永全證券,6450,永全-南崁,6451,Buy,2332友訊,"1518","1892","374"
永全證券,6450,永全-南崁,6451,Buy,3481群創,"1456","6250","4794"
永全證券,6450,永全-南崁,6451,Buy,2472立隆電,"1455","1455","0"
永全證券,6450,永全-南崁,6451,Buy,6443元晶,"1364","1364","0"
永全證券,6450,永全-南崁,6451,Buy,2492華新科,"1356","2696","1340"
永全證券,6450,永全-南崁,6451,Buy,9904寶成,"1243","1243","0"
永全證券,6450,永全-南崁,6451,Buy,2478大毅,"1113","2355","1242"
永全證券,6450,永全-南崁,6451,Buy,4904遠傳,"1005","1005","0"
永全證券,6450,永全-南崁,6451,Buy,6015宏遠證,"962","994","32"
永全證券,6450,永全-南崁,6451,Buy,2353宏碁,"927","958","31"
永全證券,6450,永全-南崁,6451,Buy,2912統一超,"880","880","0"
永全證券,6450,永全-南崁,6451,Buy,2493揚博,"875","875","0"
永全證券,6450,永全-南崁,6451,Buy,6139亞翔,"815","815","0"
永全證券,6450,永全-南崁,6451,Buy,2363矽統,"801","801","0"
永全證券,6450,永全-南崁,6451,Buy,1815富喬,"793","1134","341"
永全證券,6450,永全-南崁,6451,Buy,6239力成,"756","3893","3137"
永全證券,6450,永全-南崁,6451,Buy,2379瑞昱,"751","1520","769"
永全證券,6450,永全-南崁,6451,Buy,3090日電貿,"750","903","153"
永全證券,6450,永全-南崁,6451,Buy,9802鈺齊-KY,"692","692","0"
永全證券,6450,永全-南崁,6451,Buy,8110華東,"690","830","140"
永全證券,6450,永全-南崁,6451,Buy,00632R元大台灣50反1,"683","683","0"
永全證券,6450,永全-南崁,6451,Buy,6672騰輝電子-KY,"676","676","0"
永全證券,6450,永全-南崁,6451,Buy,3357臺慶科,"634","2336","1702"
永全證券,6450,永全-南崁,6451,Buy,2441超豐,"628","984","356"
永全證券,6450,永全-南崁,6451,Buy,4927泰鼎-KY,"609","641","32"
永全證券,6450,永全-南崁,6451,Buy,8069元太,"590","605","15"
永全證券,6450,永全-南崁,6451,Buy,1809中釉,"588","588","0"
永全證券,6450,永全-南崁,6451,Buy,3363上詮,"583","2392","1809"
永全證券,6450,永全-南崁,6451,Buy,1304台聚,"582","582","0"
永全證券,6450,永全-南崁,6451,Buy,6830汎銓,"577","5473","4896"
永全證券,6450,永全-南崁,6451,Buy,2337旺宏,"568","5543","4975"
永全證券,6450,永全-南崁,6451,Buy,6907雅特力-KY,"542","720","178"
永全證券,6450,永全-南崁,6451,Buy,6435大中,"526","526","0"
永全證券,6450,永全-南崁,6451,Buy,2484希華,"496","784","288"
永全證券,6450,永全-南崁,6451,Buy,4979華星光,"491","491","0"
永全證券,6450,永全-南崁,6451,Buy,00407A主動凱基台灣,"480","489","9"
永全證券,6450,永全-南崁,6451,Buy,6658聯策,"456","456","0"
永全證券,6450,永全-南崁,6451,Buy,2342茂矽,"452","452","0"
永全證券,6450,永全-南崁,6451,Buy,4722國精化,"438","656","218"
永全證券,6450,永全-南崁,6451,Sell,4958臻鼎-KY,"-18010","935","18945"
永全證券,6450,永全-南崁,6451,Sell,2408南亞科,"-16733","24420","41153"
永全證券,6450,永全-南崁,6451,Sell,3037欣興,"-16278","13555","29833"
永全證券,6450,永全-南崁,6451,Sell,3008大立光,"-14073","9010","23083"
永全證券,6450,永全-南崁,6451,Sell,2344華邦電,"-9034","5738","14772"
永全證券,6450,永全-南崁,6451,Sell,2464盟立,"-7944","169","8113"
永全證券,6450,永全-南崁,6451,Sell,2330台積電,"-7183","2549","9732"
永全證券,6450,永全-南崁,6451,Sell,2301光寶科,"-6491","777","7268"
永全證券,6450,永全-南崁,6451,Sell,2317鴻海,"-6321","833","7154"
永全證券,6450,永全-南崁,6451,Sell,3017奇鋐,"-6129","0","6129"
永全證券,6450,永全-南崁,6451,Sell,6669緯穎,"-6077","63","6140"
永全證券,6450,永全-南崁,6451,Sell,3324雙鴻,"-5825","972","6797"
永全證券,6450,永全-南崁,6451,Sell,6206飛捷,"-5610","0","5610"
永全證券,6450,永全-南崁,6451,Sell,3189景碩,"-5473","2894","8367"
永全證券,6450,永全-南崁,6451,Sell,3374精材,"-4847","318","5165"
永全證券,6450,永全-南崁,6451,Sell,00933B國泰10Y+金融債,"-4818","0","4818"
永全證券,6450,永全-南崁,6451,Sell,6477安集,"-4663","146","4809"
