BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2408南亞科,"31800","131361","99561"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6691洋基工程,"14750","16856","2106"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6488環球晶,"9340","15933","6593"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2337旺宏,"8797","32902","24105"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,3008大立光,"7432","23039","15607"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6515穎崴,"6928","7068","140"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2308台達電,"5678","18825","13147"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,3131弘塑,"5077","7961","2884"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,3481群創,"4474","28507","24033"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2484希華,"4361","7098","2737"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2383台光電,"3938","10396","6458"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2449京元電子,"3560","7336","3776"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6271同欣電,"3483","6136","2653"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2382廣達,"3434","3821","387"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00865B國泰US短期公債,"2820","2820","0"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,1560中砂,"2763","2770","7"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00935野村臺灣新科技50,"2688","3146","458"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,8081致新,"2598","2600","2"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6830汎銓,"2589","4272","1683"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2324仁寶,"2437","3835","1398"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,8358金居,"2338","6129","3791"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00401A主動摩根台灣鑫收,"2212","2212","0"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00878國泰永續高股息,"2143","2716","573"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,8996高力,"2135","2137","2"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2360致茂,"2067","21666","19599"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2327國巨*,"2056","37267","35211"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2492華新科,"1899","14424","12525"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00961FT臺灣永續高息,"1830","2134","304"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,00991A主動復華未來50,"1801","2400","599"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6176瑞儀,"1792","1792","0"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6173信昌電,"1744","2081","337"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,4749新應材,"1713","2485","772"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,8021尖點,"1700","10630","8930"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6139亞翔,"1594","4176","2582"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,7610聯友金屬-創,"1580","1580","0"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,5328華容,"1550","5367","3817"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,3045台灣大,"1542","1542","0"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6138茂達,"1524","2983","1459"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6442光聖,"1511","10040","8529"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2486一詮,"1438","3251","1813"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,6187萬潤,"1421","1442","21"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2481強茂,"1412","1897","485"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2464盟立,"1383","3969","2586"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2353宏碁,"1362","1633","271"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2305全友,"1332","1363","31"
永豐金,9A00,永豐金-桃盛,003900410039004e,Buy,2303聯電,"1292","21817","20525"
