BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-淡水,9316,Buy,3533嘉澤,"5835","5835","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,2834臺企銀,"5209","5209","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,3017奇鋐,"4197","5468","1271"
華南永昌,9300,華南永昌-淡水,9316,Buy,2492華新科,"2906","3735","829"
華南永昌,9300,華南永昌-淡水,9316,Buy,3481群創,"2896","7536","4640"
華南永昌,9300,華南永昌-淡水,9316,Buy,00881國泰台灣科技龍頭,"2871","3189","318"
華南永昌,9300,華南永昌-淡水,9316,Buy,2382廣達,"2554","4681","2127"
華南永昌,9300,華南永昌-淡水,9316,Buy,2892第一金,"2542","2543","1"
華南永昌,9300,華南永昌-淡水,9316,Buy,2327國巨*,"2278","30288","28010"
華南永昌,9300,華南永昌-淡水,9316,Buy,3711日月光投控,"2034","2857","823"
華南永昌,9300,華南永昌-淡水,9316,Buy,6271同欣電,"1901","2660","759"
華南永昌,9300,華南永昌-淡水,9316,Buy,6239力成,"1884","4522","2638"
華南永昌,9300,華南永昌-淡水,9316,Buy,5289宜鼎,"1658","1676","18"
華南永昌,9300,華南永昌-淡水,9316,Buy,6442光聖,"1614","1615","1"
華南永昌,9300,華南永昌-淡水,9316,Buy,6488環球晶,"1402","4115","2713"
華南永昌,9300,華南永昌-淡水,9316,Buy,2727王品,"1330","1330","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,4967十銓,"1319","1586","267"
華南永昌,9300,華南永昌-淡水,9316,Buy,6168宏齊,"1300","1300","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,2303聯電,"1290","8704","7414"
華南永昌,9300,華南永昌-淡水,9316,Buy,6282康舒,"1190","1190","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,3491昇達科,"1106","1236","130"
華南永昌,9300,華南永昌-淡水,9316,Buy,8358金居,"1095","2575","1480"
華南永昌,9300,華南永昌-淡水,9316,Buy,5483中美晶,"1002","4236","3234"
華南永昌,9300,華南永昌-淡水,9316,Buy,00961FT臺灣永續高息,"990","1122","132"
華南永昌,9300,華南永昌-淡水,9316,Buy,6465威潤,"939","939","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,2204中華,"937","937","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,8021尖點,"918","1360","442"
華南永昌,9300,華南永昌-淡水,9316,Buy,9904寶成,"900","900","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,00405A主動富邦台灣龍耀,"838","1068","230"
華南永昌,9300,華南永昌-淡水,9316,Buy,2368金像電,"793","6685","5892"
華南永昌,9300,華南永昌-淡水,9316,Buy,5347世界,"778","2075","1297"
華南永昌,9300,華南永昌-淡水,9316,Buy,2481強茂,"740","1161","421"
華南永昌,9300,華南永昌-淡水,9316,Buy,2383台光電,"737","1072","335"
華南永昌,9300,華南永昌-淡水,9316,Buy,00632R元大台灣50反1,"691","2429","1738"
華南永昌,9300,華南永昌-淡水,9316,Buy,6933AMAX-KY,"662","662","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,1402遠東新,"639","642","3"
華南永昌,9300,華南永昌-淡水,9316,Buy,009826貝萊德世界股票,"639","639","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,3030德律,"607","1822","1215"
華南永昌,9300,華南永昌-淡水,9316,Buy,1216統一,"593","593","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,2409友達,"548","1449","901"
華南永昌,9300,華南永昌-淡水,9316,Buy,1313聯成,"548","548","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,6173信昌電,"530","2610","2080"
華南永昌,9300,華南永昌-淡水,9316,Buy,1229聯華,"521","521","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,2356英業達,"494","1179","685"
華南永昌,9300,華南永昌-淡水,9316,Buy,3090日電貿,"483","629","146"
華南永昌,9300,華南永昌-淡水,9316,Buy,1513中興電,"476","485","9"
華南永昌,9300,華南永昌-淡水,9316,Buy,1802台玻,"439","826","387"
華南永昌,9300,華南永昌-淡水,9316,Buy,2912統一超,"439","439","0"
華南永昌,9300,華南永昌-淡水,9316,Buy,3715定穎投控,"432","446","14"
華南永昌,9300,華南永昌-淡水,9316,Buy,6414樺漢,"420","962","542"
華南永昌,9300,華南永昌-淡水,9316,Sell,2330台積電,"-18212","2443","20655"
華南永昌,9300,華南永昌-淡水,9316,Sell,3661世芯-KY,"-11082","3550","14632"
華南永昌,9300,華南永昌-淡水,9316,Sell,2317鴻海,"-10044","1564","11608"
華南永昌,9300,華南永昌-淡水,9316,Sell,3374精材,"-8359","330","8689"
華南永昌,9300,華南永昌-淡水,9316,Sell,3037欣興,"-8140","3919","12059"
華南永昌,9300,華南永昌-淡水,9316,Sell,0050元大台灣50,"-6940","2190","9130"
華南永昌,9300,華南永昌-淡水,9316,Sell,00865B國泰US短期公債,"-5933","0","5933"
華南永昌,9300,華南永昌-淡水,9316,Sell,2345智邦,"-5294","24","5318"
華南永昌,9300,華南永昌-淡水,9316,Sell,8114振樺電,"-5127","0","5127"
華南永昌,9300,華南永昌-淡水,9316,Sell,00631L元大台灣50正2,"-5088","285","5373"
華南永昌,9300,華南永昌-淡水,9316,Sell,2454聯發科,"-5050","993","6043"
華南永昌,9300,華南永昌-淡水,9316,Sell,3006晶豪科,"-4759","263","5022"
華南永昌,9300,華南永昌-淡水,9316,Sell,3189景碩,"-4507","3328","7835"
華南永昌,9300,華南永昌-淡水,9316,Sell,3260威剛,"-4360","7377","11737"
華南永昌,9300,華南永昌-淡水,9316,Sell,3008大立光,"-4359","529","4888"
華南永昌,9300,華南永昌-淡水,9316,Sell,5351鈺創,"-3868","283","4151"
華南永昌,9300,華南永昌-淡水,9316,Sell,2313華通,"-3076","229","3305"
華南永昌,9300,華南永昌-淡水,9316,Sell,3231緯創,"-3002","9391","12393"
華南永昌,9300,華南永昌-淡水,9316,Sell,2344華邦電,"-2869","3945","6814"
華南永昌,9300,華南永昌-淡水,9316,Sell,3363上詮,"-2664","18","2682"
華南永昌,9300,華南永昌-淡水,9316,Sell,8028昇陽半導體,"-2546","284","2830"
華南永昌,9300,華南永昌-淡水,9316,Sell,00981A主動統一台股增長,"-2403","298","2701"
華南永昌,9300,華南永昌-淡水,9316,Sell,3706神達,"-2346","831","3177"
華南永昌,9300,華南永昌-淡水,9316,Sell,00685L群益臺灣加權正2,"-2252","658","2910"
華南永昌,9300,華南永昌-淡水,9316,Sell,0056元大高股息,"-2222","64","2286"
華南永昌,9300,華南永昌-淡水,9316,Sell,8271宇瞻,"-2141","914","3055"
華南永昌,9300,華南永昌-淡水,9316,Sell,1605華新,"-2123","35","2158"
華南永昌,9300,華南永昌-淡水,9316,Sell,2498宏達電,"-2064","81","2145"
