BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-大里,0039003800310067,Buy,2454聯發科,"14431","15235","804"
元大證券,9800,元大-大里,0039003800310067,Buy,3131弘塑,"9842","9842","0"
元大證券,9800,元大-大里,0039003800310067,Buy,2455全新,"7443","16851","9408"
元大證券,9800,元大-大里,0039003800310067,Buy,2308台達電,"6239","15500","9261"
元大證券,9800,元大-大里,0039003800310067,Buy,2303聯電,"5743","20190","14447"
元大證券,9800,元大-大里,0039003800310067,Buy,00407A主動凱基台灣,"5148","6579","1431"
元大證券,9800,元大-大里,0039003800310067,Buy,2409友達,"4733","6256","1523"
元大證券,9800,元大-大里,0039003800310067,Buy,5347世界,"4455","6468","2013"
元大證券,9800,元大-大里,0039003800310067,Buy,3105穩懋,"4101","21401","17300"
元大證券,9800,元大-大里,0039003800310067,Buy,2330台積電,"4051","17390","13339"
元大證券,9800,元大-大里,0039003800310067,Buy,3450聯鈞,"3860","10249","6389"
元大證券,9800,元大-大里,0039003800310067,Buy,3231緯創,"3762","30741","26979"
元大證券,9800,元大-大里,0039003800310067,Buy,2327國巨*,"3618","35411","31793"
元大證券,9800,元大-大里,0039003800310067,Buy,2345智邦,"3480","10168","6688"
元大證券,9800,元大-大里,0039003800310067,Buy,00878國泰永續高股息,"3441","4523","1082"
元大證券,9800,元大-大里,0039003800310067,Buy,6770力積電,"3294","43812","40518"
元大證券,9800,元大-大里,0039003800310067,Buy,00881國泰台灣科技龍頭,"3106","3596","490"
元大證券,9800,元大-大里,0039003800310067,Buy,8021尖點,"2868","11221","8353"
元大證券,9800,元大-大里,0039003800310067,Buy,00991A主動復華未來50,"2800","4566","1766"
元大證券,9800,元大-大里,0039003800310067,Buy,4958臻鼎-KY,"2771","26892","24121"
元大證券,9800,元大-大里,0039003800310067,Buy,3526凡甲,"2714","3004","290"
元大證券,9800,元大-大里,0039003800310067,Buy,6285啟碁,"2710","6027","3317"
元大證券,9800,元大-大里,0039003800310067,Buy,2344華邦電,"2633","67379","64746"
元大證券,9800,元大-大里,0039003800310067,Buy,2492華新科,"2505","23323","20818"
元大證券,9800,元大-大里,0039003800310067,Buy,4971IET-KY,"2499","6429","3930"
元大證券,9800,元大-大里,0039003800310067,Buy,00997A主動群益美國增長,"2449","2449","0"
元大證券,9800,元大-大里,0039003800310067,Buy,00929復華台灣科技優息,"2334","2536","202"
元大證券,9800,元大-大里,0039003800310067,Buy,2458義隆,"2242","3438","1196"
元大證券,9800,元大-大里,0039003800310067,Buy,2885元大金,"2135","2229","94"
元大證券,9800,元大-大里,0039003800310067,Buy,2426鼎元,"1906","5849","3943"
元大證券,9800,元大-大里,0039003800310067,Buy,00662富邦NASDAQ,"1891","2032","141"
元大證券,9800,元大-大里,0039003800310067,Buy,3711日月光投控,"1760","7426","5666"
元大證券,9800,元大-大里,0039003800310067,Buy,2359所羅門,"1752","3117","1365"
元大證券,9800,元大-大里,0039003800310067,Buy,009816凱基台灣TOP50,"1678","1855","177"
元大證券,9800,元大-大里,0039003800310067,Buy,1718中纖,"1521","3787","2266"
元大證券,9800,元大-大里,0039003800310067,Buy,009826貝萊德世界股票,"1507","1917","410"
元大證券,9800,元大-大里,0039003800310067,Buy,6139亞翔,"1479","2656","1177"
元大證券,9800,元大-大里,0039003800310067,Buy,2489瑞軒,"1462","2248","786"
元大證券,9800,元大-大里,0039003800310067,Buy,2634漢翔,"1455","3961","2506"
元大證券,9800,元大-大里,0039003800310067,Buy,6451訊芯-KY,"1403","6735","5332"
元大證券,9800,元大-大里,0039003800310067,Buy,3551世禾,"1380","1380","0"
元大證券,9800,元大-大里,0039003800310067,Buy,3317尼克森,"1334","1402","68"
元大證券,9800,元大-大里,0039003800310067,Buy,2812台中銀,"1321","1525","204"
元大證券,9800,元大-大里,0039003800310067,Buy,00919群益台灣精選高息,"1289","2600","1311"
元大證券,9800,元大-大里,0039003800310067,Buy,2891中信金,"1248","1580","332"
元大證券,9800,元大-大里,0039003800310067,Buy,3044健鼎,"1226","1268","42"
元大證券,9800,元大-大里,0039003800310067,Buy,6488環球晶,"1226","2197","971"
元大證券,9800,元大-大里,0039003800310067,Buy,00988A主動統一全球創新,"1207","1362","155"
元大證券,9800,元大-大里,0039003800310067,Buy,3717聯嘉投控,"1195","1198","3"
元大證券,9800,元大-大里,0039003800310067,Buy,3088艾訊,"1195","1734","539"
