BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3036文曄,"12011","13172","1161"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2059川湖,"10040","10050","10"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6274台燿,"8931","18162","9231"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00937B群益ESG投等債20,"5892","5892","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2330台積電,"5629","7257","1628"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6213聯茂,"5447","221215","215768"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,4991環宇-KY,"5319","12376","7057"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2606裕民,"4415","4543","128"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3105穩懋,"4393","8573","4180"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3702大聯大,"4019","4396","377"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6442光聖,"3429","6259","2830"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3479安勤,"2810","2810","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6285啟碁,"2740","3491","751"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,8096擎亞,"2617","2752","135"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,4958臻鼎-KY,"2508","5898","3390"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2455全新,"2361","4646","2285"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2404漢唐,"2167","2345","178"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6770力積電,"2100","15631","13531"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3088艾訊,"2024","2155","131"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2454聯發科,"2006","5931","3925"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2344華邦電,"1960","8060","6100"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2368金像電,"1893","5872","3979"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00929復華台灣科技優息,"1800","2662","862"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6451訊芯-KY,"1767","3148","1381"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,5371中光電,"1739","2263","524"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00919群益台灣精選高息,"1581","1581","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2308台達電,"1563","5120","3557"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2327國巨*,"1460","8904","7444"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,7751竑騰,"1405","1405","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6446藥華藥,"1349","1349","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6147頎邦,"1346","1798","452"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00881國泰台灣科技龍頭,"1267","1372","105"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2072世紀風電,"1213","1213","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3149正達,"1144","1270","126"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2881富邦金,"1142","1142","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3576聯合再生,"1108","1108","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2395研華,"1100","2557","1457"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,4931新盛力,"1032","1065","33"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,3147大綜,"978","978","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6187萬潤,"942","2201","1259"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,5483中美晶,"897","914","17"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2382廣達,"884","1824","940"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,8028昇陽半導體,"844","1393","549"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,4908前鼎,"839","1159","320"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00981A主動統一台股增長,"732","1484","752"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,00878國泰永續高股息,"712","877","165"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,8021尖點,"677","2045","1368"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6214精誠,"677","677","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,2428興勤,"671","671","0"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Buy,6116彩晶,"662","809","147"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,2317鴻海,"-7531","10207","17738"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,3017奇鋐,"-7175","2900","10075"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,3037欣興,"-6609","79625","86234"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,5351鈺創,"-5815","2772","8587"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,2337旺宏,"-5300","28541","33841"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,2383台光電,"-5215","16","5231"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,2377微星,"-5168","460","5628"
群益金鼎,9100,群益金鼎-瑞豐,0039003100380075,Sell,4979華星光,"-3783","489","4272"
