BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-鳳山,9331,Buy,3081聯亞,"20270","34374","14104"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2330台積電,"16324","28286","11962"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2344華邦電,"15219","24527","9308"
華南永昌,9300,華南永昌-鳳山,9331,Buy,009809富邦淨零ESG50,"10877","10877","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6770力積電,"10315","25337","15022"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2408南亞科,"10264","28314","18050"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6831邁科,"7872","7872","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6209今國光,"7740","7740","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6274台燿,"7581","26616","19035"
華南永昌,9300,華南永昌-鳳山,9331,Buy,3231緯創,"5954","11347","5393"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6907雅特力-KY,"4670","4670","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,3008大立光,"4540","9364","4824"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2327國巨*,"4499","12906","8407"
華南永昌,9300,華南永昌-鳳山,9331,Buy,00881國泰台灣科技龍頭,"4466","4519","53"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2421建準,"4432","6337","1905"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2454聯發科,"4037","8333","4296"
華南永昌,9300,華南永昌-鳳山,9331,Buy,3443創意,"3944","4460","516"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6446藥華藥,"3610","3887","277"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6405悅城,"3028","3028","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,3105穩懋,"2766","6211","3445"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2451創見,"2296","9564","7268"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6505台塑化,"2142","2276","134"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2308台達電,"2068","5408","3340"
華南永昌,9300,華南永昌-鳳山,9331,Buy,5347世界,"2053","2205","152"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2887台新新光金,"2051","2113","62"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2492華新科,"2050","5299","3249"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2367燿華,"2041","2290","249"
華南永昌,9300,華南永昌-鳳山,9331,Buy,00878國泰永續高股息,"1948","1948","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2890永豐金,"1878","1925","47"
華南永昌,9300,華南永昌-鳳山,9331,Buy,4966譜瑞-KY,"1823","1823","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2357華碩,"1711","1711","0"
華南永昌,9300,華南永昌-鳳山,9331,Buy,8021尖點,"1685","4188","2503"
華南永昌,9300,華南永昌-鳳山,9331,Buy,00940元大台灣價值高息,"1655","1754","99"
華南永昌,9300,華南永昌-鳳山,9331,Buy,3491昇達科,"1586","1620","34"
華南永昌,9300,華南永昌-鳳山,9331,Buy,2455全新,"1577","4793","3216"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6285啟碁,"1550","2548","998"
華南永昌,9300,華南永昌-鳳山,9331,Buy,8028昇陽半導體,"1541","2090","549"
華南永昌,9300,華南永昌-鳳山,9331,Buy,6415矽力*-KY,"1338","1338","0"
