BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
德信,6910,德信-中正,6912,Buy,5347世界,"11842","11842","0"
德信,6910,德信-中正,6912,Buy,3661世芯-KY,"11193","14846","3653"
德信,6910,德信-中正,6912,Buy,2345智邦,"9775","9775","0"
德信,6910,德信-中正,6912,Buy,3324雙鴻,"7184","7220","36"
德信,6910,德信-中正,6912,Buy,8210勤誠,"6038","6038","0"
德信,6910,德信-中正,6912,Buy,6770力積電,"4220","8324","4104"
德信,6910,德信-中正,6912,Buy,2344華邦電,"3926","7181","3255"
德信,6910,德信-中正,6912,Buy,2303聯電,"3705","4766","1061"
德信,6910,德信-中正,6912,Buy,2308台達電,"3398","3597","199"
德信,6910,德信-中正,6912,Buy,8358金居,"3381","3381","0"
德信,6910,德信-中正,6912,Buy,6488環球晶,"3048","5709","2661"
德信,6910,德信-中正,6912,Buy,6116彩晶,"2863","2863","0"
德信,6910,德信-中正,6912,Buy,2449京元電子,"2573","2820","247"
德信,6910,德信-中正,6912,Buy,5289宜鼎,"2161","2161","0"
德信,6910,德信-中正,6912,Buy,5483中美晶,"2139","2483","344"
德信,6910,德信-中正,6912,Buy,6213聯茂,"1714","2407","693"
德信,6910,德信-中正,6912,Buy,2327國巨*,"1517","4756","3239"
德信,6910,德信-中正,6912,Buy,3036文曄,"1489","1489","0"
德信,6910,德信-中正,6912,Buy,6442光聖,"1365","1365","0"
德信,6910,德信-中正,6912,Buy,3441聯一光,"1280","1816","536"
德信,6910,德信-中正,6912,Buy,3105穩懋,"1143","3064","1921"
德信,6910,德信-中正,6912,Buy,6613朋億*,"1110","1110","0"
德信,6910,德信-中正,6912,Buy,4976佳凌,"1029","1101","72"
德信,6910,德信-中正,6912,Buy,3059華晶科,"1005","1005","0"
德信,6910,德信-中正,6912,Buy,5388中磊,"939","939","0"
德信,6910,德信-中正,6912,Buy,3374精材,"928","928","0"
德信,6910,德信-中正,6912,Buy,6139亞翔,"914","5746","4832"
德信,6910,德信-中正,6912,Buy,6672騰輝電子-KY,"909","909","0"
德信,6910,德信-中正,6912,Buy,00927群益半導體收益,"897","897","0"
德信,6910,德信-中正,6912,Buy,3090日電貿,"868","895","27"
德信,6910,德信-中正,6912,Buy,2455全新,"827","1127","300"
德信,6910,德信-中正,6912,Buy,8064東捷,"824","824","0"
德信,6910,德信-中正,6912,Buy,2357華碩,"817","817","0"
德信,6910,德信-中正,6912,Buy,8261富鼎,"701","701","0"
德信,6910,德信-中正,6912,Buy,6620漢達,"682","856","174"
德信,6910,德信-中正,6912,Buy,8096擎亞,"670","670","0"
德信,6910,德信-中正,6912,Buy,8271宇瞻,"655","2189","1534"
德信,6910,德信-中正,6912,Buy,6664群翊,"648","682","34"
德信,6910,德信-中正,6912,Buy,2393億光,"604","604","0"
德信,6910,德信-中正,6912,Buy,4566時碩工業,"604","756","152"
德信,6910,德信-中正,6912,Buy,2441超豐,"592","592","0"
德信,6910,德信-中正,6912,Buy,2317鴻海,"562","2144","1582"
德信,6910,德信-中正,6912,Buy,3406玉晶光,"561","561","0"
德信,6910,德信-中正,6912,Buy,2646星宇航空,"532","532","0"
德信,6910,德信-中正,6912,Buy,4576大銀微系統,"470","1603","1133"
德信,6910,德信-中正,6912,Buy,6415矽力*-KY,"449","449","0"
德信,6910,德信-中正,6912,Buy,2329華泰,"441","441","0"
德信,6910,德信-中正,6912,Buy,6789采鈺,"440","440","0"
德信,6910,德信-中正,6912,Buy,6179亞通,"408","408","0"
德信,6910,德信-中正,6912,Buy,2540愛山林,"385","385","0"
德信,6910,德信-中正,6912,Sell,3260威剛,"-8862","7667","16529"
德信,6910,德信-中正,6912,Sell,2313華通,"-6571","84","6655"
德信,6910,德信-中正,6912,Sell,6669緯穎,"-6107","18","6125"
德信,6910,德信-中正,6912,Sell,2464盟立,"-5440","0","5440"
德信,6910,德信-中正,6912,Sell,1563巧新,"-5090","0","5090"
德信,6910,德信-中正,6912,Sell,6257矽格,"-4882","221","5103"
德信,6910,德信-中正,6912,Sell,3017奇鋐,"-3187","113","3300"
德信,6910,德信-中正,6912,Sell,2337旺宏,"-2630","3794","6424"
德信,6910,德信-中正,6912,Sell,6526達發,"-2476","0","2476"
德信,6910,德信-中正,6912,Sell,8114振樺電,"-2300","0","2300"
德信,6910,德信-中正,6912,Sell,2409友達,"-2139","196","2335"
德信,6910,德信-中正,6912,Sell,3211順達,"-2106","340","2446"
德信,6910,德信-中正,6912,Sell,6187萬潤,"-1032","113","1145"
德信,6910,德信-中正,6912,Sell,6531愛普*,"-950","0","950"
德信,6910,德信-中正,6912,Sell,8112至上,"-908","0","908"
德信,6910,德信-中正,6912,Sell,2382廣達,"-838","47","885"
德信,6910,德信-中正,6912,Sell,4162智擎,"-824","0","824"
德信,6910,德信-中正,6912,Sell,2498宏達電,"-799","0","799"
德信,6910,德信-中正,6912,Sell,6913鴻呈,"-731","0","731"
德信,6910,德信-中正,6912,Sell,2395研華,"-634","0","634"
德信,6910,德信-中正,6912,Sell,2451創見,"-592","295","887"
德信,6910,德信-中正,6912,Sell,2481強茂,"-539","272","811"
德信,6910,德信-中正,6912,Sell,8088品安,"-443","48","491"
德信,6910,德信-中正,6912,Sell,1303南亞,"-406","923","1329"
德信,6910,德信-中正,6912,Sell,4763材料*-KY,"-400","151","551"
德信,6910,德信-中正,6912,Sell,4541晟田,"-391","0","391"
德信,6910,德信-中正,6912,Sell,5351鈺創,"-387","547","934"
德信,6910,德信-中正,6912,Sell,6271同欣電,"-385","213","598"
德信,6910,德信-中正,6912,Sell,2049上銀,"-375","405","780"
德信,6910,德信-中正,6912,Sell,1216統一,"-373","0","373"
德信,6910,德信-中正,6912,Sell,2353宏碁,"-362","0","362"
德信,6910,德信-中正,6912,Sell,2376技嘉,"-342","0","342"
德信,6910,德信-中正,6912,Sell,6505台塑化,"-319","2691","3010"
德信,6910,德信-中正,6912,Sell,8422可寧衛*,"-319","26","345"
德信,6910,德信-中正,6912,Sell,2618長榮航,"-316","0","316"
