BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
新光,8560,新光-台中,8561,Buy,2303聯電,"34801","65840","31039"
新光,8560,新光-台中,8561,Buy,2344華邦電,"34057","89280","55223"
新光,8560,新光-台中,8561,Buy,3665貿聯-KY,"32982","44688","11706"
新光,8560,新光-台中,8561,Buy,8358金居,"28680","62490","33810"
新光,8560,新光-台中,8561,Buy,2327國巨*,"27133","86793","59660"
新光,8560,新光-台中,8561,Buy,2337旺宏,"17656","42464","24808"
新光,8560,新光-台中,8561,Buy,2454聯發科,"16110","47896","31786"
新光,8560,新光-台中,8561,Buy,2345智邦,"14982","23966","8984"
新光,8560,新光-台中,8561,Buy,00981A主動統一台股增長,"14401","20528","6127"
新光,8560,新光-台中,8561,Buy,6206飛捷,"12799","13527","728"
新光,8560,新光-台中,8561,Buy,2330台積電,"12734","60772","48038"
新光,8560,新光-台中,8561,Buy,3081聯亞,"12539","43494","30955"
新光,8560,新光-台中,8561,Buy,3481群創,"11980","94294","82314"
新光,8560,新光-台中,8561,Buy,2439美律,"11422","11503","81"
新光,8560,新光-台中,8561,Buy,00632R元大台灣50反1,"11141","16741","5600"
新光,8560,新光-台中,8561,Buy,5289宜鼎,"10943","48750","37807"
新光,8560,新光-台中,8561,Buy,1303南亞,"10744","78366","67622"
新光,8560,新光-台中,8561,Buy,3163波若威,"9906","25032","15126"
新光,8560,新光-台中,8561,Buy,2313華通,"9829","17606","7777"
新光,8560,新光-台中,8561,Buy,2382廣達,"9731","12817","3086"
新光,8560,新光-台中,8561,Buy,3189景碩,"9658","48806","39148"
新光,8560,新光-台中,8561,Buy,3711日月光投控,"8266","30607","22341"
新光,8560,新光-台中,8561,Buy,8046南電,"8144","14810","6666"
新光,8560,新光-台中,8561,Buy,2317鴻海,"7674","37533","29859"
新光,8560,新光-台中,8561,Buy,0050元大台灣50,"7512","19368","11856"
新光,8560,新光-台中,8561,Buy,1815富喬,"7229","16222","8993"
新光,8560,新光-台中,8561,Buy,5483中美晶,"7022","12683","5661"
新光,8560,新光-台中,8561,Buy,00881國泰台灣科技龍頭,"6743","7087","344"
新光,8560,新光-台中,8561,Buy,3014聯陽,"6572","8303","1731"
新光,8560,新光-台中,8561,Buy,2308台達電,"6512","26221","19709"
新光,8560,新光-台中,8561,Buy,6770力積電,"6394","42001","35607"
新光,8560,新光-台中,8561,Buy,7769鴻勁,"6365","6875","510"
新光,8560,新光-台中,8561,Buy,3324雙鴻,"5750","9155","3405"
新光,8560,新光-台中,8561,Buy,6446藥華藥,"5656","9541","3885"
新光,8560,新光-台中,8561,Buy,5269祥碩,"5632","5775","143"
新光,8560,新光-台中,8561,Buy,3017奇鋐,"5422","23879","18457"
新光,8560,新光-台中,8561,Buy,3036文曄,"5244","18687","13443"
新光,8560,新光-台中,8561,Buy,5347世界,"5044","7375","2331"
新光,8560,新光-台中,8561,Buy,3037欣興,"4773","83936","79163"
新光,8560,新光-台中,8561,Buy,3105穩懋,"4627","28829","24202"
新光,8560,新光-台中,8561,Buy,2455全新,"4510","16535","12025"
新光,8560,新光-台中,8561,Buy,4973廣穎,"4479","5838","1359"
新光,8560,新光-台中,8561,Buy,00712復華富時不動產,"4336","4975","639"
新光,8560,新光-台中,8561,Buy,8210勤誠,"4106","8010","3904"
新光,8560,新光-台中,8561,Buy,00688L國泰20年美債正2,"3997","3997","0"
新光,8560,新光-台中,8561,Buy,3693營邦,"3945","6146","2201"
新光,8560,新光-台中,8561,Buy,6274台燿,"3831","32652","28821"
新光,8560,新光-台中,8561,Buy,5871A中租-KY甲特,"3792","3792","0"
新光,8560,新光-台中,8561,Buy,4958臻鼎-KY,"3749","67059","63310"
新光,8560,新光-台中,8561,Buy,6488環球晶,"3700","20780","17080"
新光,8560,新光-台中,8561,Sell,6213聯茂,"-22737","71339","94076"
新光,8560,新光-台中,8561,Sell,6672騰輝電子-KY,"-16760","384","17144"
新光,8560,新光-台中,8561,Sell,2360致茂,"-10602","253","10855"
新光,8560,新光-台中,8561,Sell,2383台光電,"-10404","11744","22148"
新光,8560,新光-台中,8561,Sell,3661世芯-KY,"-8466","7467","15933"
新光,8560,新光-台中,8561,Sell,2451創見,"-7856","3756","11612"
新光,8560,新光-台中,8561,Sell,2049上銀,"-6575","22032","28607"
新光,8560,新光-台中,8561,Sell,5351鈺創,"-6399","25602","32001"
新光,8560,新光-台中,8561,Sell,3231緯創,"-5387","38344","43731"
新光,8560,新光-台中,8561,Sell,6426統新,"-5382","21","5403"
新光,8560,新光-台中,8561,Sell,2887台新新光金,"-4990","5494","10484"
新光,8560,新光-台中,8561,Sell,6781AES-KY,"-4736","1205","5941"
新光,8560,新光-台中,8561,Sell,2915潤泰全,"-4516","11","4527"
新光,8560,新光-台中,8561,Sell,2301光寶科,"-4442","27403","31845"
新光,8560,新光-台中,8561,Sell,8299群聯,"-4440","23036","27476"
新光,8560,新光-台中,8561,Sell,6531愛普*,"-4415","982","5397"
新光,8560,新光-台中,8561,Sell,6197佳必琪,"-4096","3403","7499"
新光,8560,新光-台中,8561,Sell,6533晶心科,"-3954","2803","6757"
新光,8560,新光-台中,8561,Sell,4991環宇-KY,"-3933","448","4381"
新光,8560,新光-台中,8561,Sell,3416融程電,"-3908","23","3931"
新光,8560,新光-台中,8561,Sell,8039台虹,"-3686","2613","6299"
新光,8560,新光-台中,8561,Sell,6147頎邦,"-3521","3561","7082"
新光,8560,新光-台中,8561,Sell,2009第一銅,"-3291","815","4106"
新光,8560,新光-台中,8561,Sell,2354鴻準,"-3112","10709","13821"
新光,8560,新光-台中,8561,Sell,00877復華中國5G,"-3101","0","3101"
新光,8560,新光-台中,8561,Sell,6187萬潤,"-3039","5414","8453"
新光,8560,新光-台中,8561,Sell,3293鈊象,"-2715","1811","4526"
新光,8560,新光-台中,8561,Sell,3006晶豪科,"-2660","15188","17848"
新光,8560,新光-台中,8561,Sell,0052富邦科技,"-2652","1344","3996"
