BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2344華邦電,"10027","16431","6404"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2345智邦,"9212","9212","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2351順德,"7497","7668","171"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,5289宜鼎,"7284","13759","6475"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3529力旺,"5480","5480","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,6274台燿,"5278","5278","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2303聯電,"5035","6554","1519"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3105穩懋,"4543","6063","1520"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3653健策,"4474","4497","23"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,8299群聯,"4183","4234","51"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3363上詮,"4147","5973","1826"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2313華通,"4066","4278","212"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2301光寶科,"3805","5404","1599"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2327國巨*,"3795","3849","54"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3661世芯-KY,"3776","3780","4"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3017奇鋐,"3388","3388","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2464盟立,"3261","3639","378"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2317鴻海,"2886","4144","1258"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3037欣興,"2724","7722","4998"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2337旺宏,"2402","3988","1586"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,4958臻鼎-KY,"2378","8653","6275"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2308台達電,"2319","5639","3320"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2360致茂,"2281","4326","2045"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3163波若威,"2083","3489","1406"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,00981A主動統一台股增長,"2076","2472","396"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3260威剛,"1850","3568","1718"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,0050元大台灣50,"1812","2019","207"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,8996高力,"1675","1675","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3711日月光投控,"1575","2745","1170"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,5483中美晶,"1472","1645","173"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,8358金居,"1435","12044","10609"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,5269祥碩,"1415","1415","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3450聯鈞,"1282","3987","2705"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3022威強電,"1143","1248","105"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,00631L元大台灣50正2,"1110","1380","270"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3026禾伸堂,"1068","1068","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,5347世界,"1044","1477","433"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,8150南茂,"1040","2196","1156"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2368金像電,"964","4924","3960"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,3673TPK-KY,"960","1204","244"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,6197佳必琪,"956","1859","903"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,8016矽創,"949","949","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2027大成鋼,"932","1855","923"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,00981B第一金優選非投債,"932","932","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2883凱基金,"917","917","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2886兆豐金,"914","914","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,6451訊芯-KY,"891","1888","997"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,6799來頡,"872","872","0"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,00929復華台灣科技優息,"865","1039","174"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Buy,2493揚博,"852","1311","459"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,3443創意,"-23755","0","23755"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,3036文曄,"-12092","14925","27017"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,2049上銀,"-8867","4261","13128"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,3008大立光,"-5503","391","5894"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,00637L元大滬深300正2,"-5321","0","5321"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,2395研華,"-5068","0","5068"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,8027鈦昇,"-4685","9","4694"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,6147頎邦,"-4309","2145","6454"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,3034聯詠,"-4289","542","4831"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,2408南亞科,"-4042","11083","15125"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,6282康舒,"-3131","237","3368"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,2357華碩,"-2433","0","2433"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,3028增你強,"-2345","0","2345"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,2472立隆電,"-2280","0","2280"
群益金鼎,9100,群益金鼎-新店,0039003100380046,Sell,6753龍德造船,"-2270","0","2270"
