BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3008大立光,"18323","58513","40190"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3037欣興,"13594","38988","25394"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3661世芯-KY,"11176","11286","110"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2344華邦電,"9885","19054","9169"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3189景碩,"7673","12636","4963"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2357華碩,"6445","6535","90"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,5289宜鼎,"6357","7247","890"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8096擎亞,"5736","5736","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,4958臻鼎-KY,"5709","9166","3457"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2303聯電,"5705","9173","3468"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3231緯創,"5467","7844","2377"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3665貿聯-KY,"4654","6874","2220"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2454聯發科,"4635","8720","4085"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2327國巨*,"4115","7966","3851"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6789采鈺,"3528","3945","417"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2345智邦,"3509","3732","223"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2317鴻海,"3207","5674","2467"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2337旺宏,"3178","4286","1108"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8358金居,"2724","3874","1150"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8299群聯,"2686","12414","9728"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3131弘塑,"2677","2677","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6488環球晶,"2640","7028","4388"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3017奇鋐,"2598","3138","540"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3036文曄,"2529","2963","434"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,0050元大台灣50,"2522","3103","581"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2409友達,"2505","4484","1979"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,00768B復華20年美債,"2477","2477","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8210勤誠,"2196","3400","1204"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2464盟立,"2105","3530","1425"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6446藥華藥,"2083","3343","1260"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8028昇陽半導體,"2074","2074","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6213聯茂,"2015","5549","3534"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3481群創,"1910","4135","2225"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3711日月光投控,"1883","1883","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,00981A主動統一台股增長,"1780","3748","1968"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6805富世達,"1673","1673","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3706神達,"1574","1940","366"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8054安國,"1451","1451","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6209今國光,"1378","1378","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3491昇達科,"1235","1235","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2382廣達,"1222","1222","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,5483中美晶,"1083","1425","342"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,8996高力,"1045","1045","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,3006晶豪科,"1006","1539","533"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,00992A主動群益科技創新,"998","1015","17"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,6949沛爾生醫-創,"985","985","0"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,2354鴻準,"980","2754","1774"
群益金鼎,9100,群益金鼎-東湖,003900310038004b,Buy,5347世界,"958","1110","152"
