BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-淡水,9899,Buy,2454聯發科,"32692","33183","491"
元大證券,9800,元大-淡水,9899,Buy,8358金居,"7238","9354","2116"
元大證券,9800,元大-淡水,9899,Buy,00881國泰台灣科技龍頭,"5125","5742","617"
元大證券,9800,元大-淡水,9899,Buy,4958臻鼎-KY,"5072","9571","4499"
元大證券,9800,元大-淡水,9899,Buy,4967十銓,"4768","4807","39"
元大證券,9800,元大-淡水,9899,Buy,2449京元電子,"4271","6521","2250"
元大證券,9800,元大-淡水,9899,Buy,8271宇瞻,"3509","4207","698"
元大證券,9800,元大-淡水,9899,Buy,1815富喬,"3500","6911","3411"
元大證券,9800,元大-淡水,9899,Buy,2031新光鋼,"3121","3171","50"
元大證券,9800,元大-淡水,9899,Buy,3017奇鋐,"2983","3260","277"
元大證券,9800,元大-淡水,9899,Buy,8454富邦媒,"2966","2966","0"
元大證券,9800,元大-淡水,9899,Buy,2610華航,"2595","2843","248"
元大證券,9800,元大-淡水,9899,Buy,6182合晶,"2543","5094","2551"
元大證券,9800,元大-淡水,9899,Buy,3163波若威,"2535","3245","710"
元大證券,9800,元大-淡水,9899,Buy,8299群聯,"2417","3869","1452"
元大證券,9800,元大-淡水,9899,Buy,2345智邦,"2175","2371","196"
元大證券,9800,元大-淡水,9899,Buy,2464盟立,"2072","4706","2634"
元大證券,9800,元大-淡水,9899,Buy,8069元太,"2014","2020","6"
元大證券,9800,元大-淡水,9899,Buy,8086宏捷科,"2006","2674","668"
元大證券,9800,元大-淡水,9899,Buy,3305昇貿,"1856","1856","0"
元大證券,9800,元大-淡水,9899,Buy,2486一詮,"1824","1896","72"
元大證券,9800,元大-淡水,9899,Buy,2455全新,"1816","3505","1689"
元大證券,9800,元大-淡水,9899,Buy,1476儒鴻,"1701","1701","0"
元大證券,9800,元大-淡水,9899,Buy,2753八方雲集,"1652","1652","0"
元大證券,9800,元大-淡水,9899,Buy,4916事欣科,"1649","2163","514"
元大證券,9800,元大-淡水,9899,Buy,1590亞德客-KY,"1622","1622","0"
元大證券,9800,元大-淡水,9899,Buy,00632R元大台灣50反1,"1603","1664","61"
元大證券,9800,元大-淡水,9899,Buy,5388中磊,"1535","2068","533"
元大證券,9800,元大-淡水,9899,Buy,8926台汽電,"1473","1929","456"
元大證券,9800,元大-淡水,9899,Buy,6271同欣電,"1407","2213","806"
元大證券,9800,元大-淡水,9899,Buy,6215和椿,"1342","1342","0"
元大證券,9800,元大-淡水,9899,Buy,3532台勝科,"1330","2748","1418"
元大證券,9800,元大-淡水,9899,Buy,6605帝寶,"1305","1305","0"
元大證券,9800,元大-淡水,9899,Buy,3441聯一光,"1292","1298","6"
元大證券,9800,元大-淡水,9899,Buy,3491昇達科,"1229","1229","0"
元大證券,9800,元大-淡水,9899,Buy,6584南俊國際,"1166","1166","0"
元大證券,9800,元大-淡水,9899,Buy,8210勤誠,"1116","3291","2175"
元大證券,9800,元大-淡水,9899,Buy,8996高力,"1090","1090","0"
元大證券,9800,元大-淡水,9899,Buy,2332友訊,"966","2810","1844"
元大證券,9800,元大-淡水,9899,Buy,2892第一金,"945","1085","140"
元大證券,9800,元大-淡水,9899,Buy,1802台玻,"936","1841","905"
元大證券,9800,元大-淡水,9899,Buy,8042金山電,"930","2515","1585"
元大證券,9800,元大-淡水,9899,Buy,8064東捷,"915","1122","207"
元大證券,9800,元大-淡水,9899,Buy,6505台塑化,"892","1376","484"
元大證券,9800,元大-淡水,9899,Buy,3675德微,"877","877","0"
元大證券,9800,元大-淡水,9899,Buy,00991A主動復華未來50,"818","1961","1143"
元大證券,9800,元大-淡水,9899,Buy,6209今國光,"818","892","74"
元大證券,9800,元大-淡水,9899,Buy,2367燿華,"789","964","175"
元大證券,9800,元大-淡水,9899,Buy,6257矽格,"775","5398","4623"
元大證券,9800,元大-淡水,9899,Buy,3665貿聯-KY,"773","3168","2395"
元大證券,9800,元大-淡水,9899,Sell,2408南亞科,"-44504","11587","56091"
元大證券,9800,元大-淡水,9899,Sell,2308台達電,"-22575","1852","24427"
元大證券,9800,元大-淡水,9899,Sell,2330台積電,"-17317","19264","36581"
元大證券,9800,元大-淡水,9899,Sell,0056元大高股息,"-17139","1124","18263"
元大證券,9800,元大-淡水,9899,Sell,2458義隆,"-14120","430","14550"
元大證券,9800,元大-淡水,9899,Sell,00878國泰永續高股息,"-9255","831","10086"
元大證券,9800,元大-淡水,9899,Sell,3661世芯-KY,"-8950","351","9301"
元大證券,9800,元大-淡水,9899,Sell,3481群創,"-8524","1897","10421"
元大證券,9800,元大-淡水,9899,Sell,2337旺宏,"-8307","5101","13408"
元大證券,9800,元大-淡水,9899,Sell,0050元大台灣50,"-8221","3199","11420"
元大證券,9800,元大-淡水,9899,Sell,2344華邦電,"-7945","12041","19986"
