BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2308台達電,"39604","65213","25609"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8021尖點,"22040","24279","2239"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6488環球晶,"13834","29741","15907"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1519華城,"12583","12583","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8112至上,"11919","13953","2034"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,4958臻鼎-KY,"10007","30181","20174"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8069元太,"9938","9938","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2368金像電,"9505","24486","14981"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8299群聯,"9299","14700","5401"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6944兆聯實業,"9168","9177","9"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6531愛普*,"8507","11400","2893"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8042金山電,"7899","11308","3409"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2481強茂,"6550","7264","714"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,7769鴻勁,"6077","6299","222"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3653健策,"5040","5216","176"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,4979華星光,"4017","7314","3297"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8039台虹,"3993","8252","4259"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3533嘉澤,"3890","3890","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6182合晶,"3823","9289","5466"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,4991環宇-KY,"3783","4086","303"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8358金居,"3615","4377","762"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2492華新科,"3348","6005","2657"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,5289宜鼎,"3323","7863","4540"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2609陽明,"3315","3470","155"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6712長聖,"3116","3116","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6282康舒,"3079","3976","897"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1301台塑,"2855","2911","56"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,00991A主動復華未來50,"2671","2849","178"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3491昇達科,"2666","5141","2475"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1714和桐,"2511","2544","33"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2412中華電,"2457","2457","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2454聯發科,"2423","4213","1790"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3045台灣大,"2420","2420","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2474可成,"2394","3600","1206"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6257矽格,"2318","2523","205"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1477聚陽,"2230","2230","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8996高力,"2217","2239","22"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,8210勤誠,"2213","2229","16"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1227佳格,"2120","2120","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3596智易,"2099","2099","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,1514亞力,"2020","2020","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3260威剛,"1887","3130","1243"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,4571鈞興-KY,"1736","1736","0"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3006晶豪科,"1599","8756","7157"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,2049上銀,"1562","11873","10311"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6209今國光,"1525","1601","76"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,3105穩懋,"1525","7789","6264"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6533晶心科,"1524","1544","20"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,6274台燿,"1504","1525","21"
永豐金,9A00,永豐金-天母,0039004100390047,Buy,4583台灣精銳,"1497","1497","0"
永豐金,9A00,永豐金-天母,0039004100390047,Sell,2408南亞科,"-74128","6430","80558"
永豐金,9A00,永豐金-天母,0039004100390047,Sell,2327國巨*,"-56085","3229","59314"
