BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-高雄,5383,Buy,2330台積電,"166609","169834","3225"
第一金,5380,第一金-高雄,5383,Buy,8042金山電,"22429","22552","123"
第一金,5380,第一金-高雄,5383,Buy,3231緯創,"17833","26432","8599"
第一金,5380,第一金-高雄,5383,Buy,6271同欣電,"11111","11111","0"
第一金,5380,第一金-高雄,5383,Buy,6907雅特力-KY,"7024","7024","0"
第一金,5380,第一金-高雄,5383,Buy,2395研華,"6295","8335","2040"
第一金,5380,第一金-高雄,5383,Buy,3017奇鋐,"5785","14180","8395"
第一金,5380,第一金-高雄,5383,Buy,6531愛普*,"5766","7725","1959"
第一金,5380,第一金-高雄,5383,Buy,6532瑞耘,"5402","5402","0"
第一金,5380,第一金-高雄,5383,Buy,8358金居,"4658","9976","5318"
第一金,5380,第一金-高雄,5383,Buy,00830國泰費城半導體,"4465","4465","0"
第一金,5380,第一金-高雄,5383,Buy,3583辛耘,"4352","4352","0"
第一金,5380,第一金-高雄,5383,Buy,6139亞翔,"4102","5757","1655"
第一金,5380,第一金-高雄,5383,Buy,2030彰源,"4090","4090","0"
第一金,5380,第一金-高雄,5383,Buy,6138茂達,"4035","4035","0"
第一金,5380,第一金-高雄,5383,Buy,4958臻鼎-KY,"3544","6925","3381"
第一金,5380,第一金-高雄,5383,Buy,00881國泰台灣科技龍頭,"3132","3303","171"
第一金,5380,第一金-高雄,5383,Buy,3008大立光,"2915","7718","4803"
第一金,5380,第一金-高雄,5383,Buy,8271宇瞻,"2772","3527","755"
第一金,5380,第一金-高雄,5383,Buy,2610華航,"2496","2908","412"
第一金,5380,第一金-高雄,5383,Buy,6187萬潤,"2385","2402","17"
第一金,5380,第一金-高雄,5383,Buy,2368金像電,"2310","5251","2941"
第一金,5380,第一金-高雄,5383,Buy,6446藥華藥,"2304","3711","1407"
第一金,5380,第一金-高雄,5383,Buy,3707漢磊,"1981","2056","75"
第一金,5380,第一金-高雄,5383,Buy,2449京元電子,"1948","3467","1519"
第一金,5380,第一金-高雄,5383,Buy,2313華通,"1765","2653","888"
第一金,5380,第一金-高雄,5383,Buy,00891中信關鍵半導體,"1650","1706","56"
第一金,5380,第一金-高雄,5383,Buy,8069元太,"1606","1606","0"
第一金,5380,第一金-高雄,5383,Buy,1590亞德客-KY,"1575","1575","0"
第一金,5380,第一金-高雄,5383,Buy,8033雷虎,"1528","2741","1213"
第一金,5380,第一金-高雄,5383,Buy,5269祥碩,"1489","4289","2800"
第一金,5380,第一金-高雄,5383,Buy,6274台燿,"1486","1486","0"
第一金,5380,第一金-高雄,5383,Buy,2376技嘉,"1312","2463","1151"
第一金,5380,第一金-高雄,5383,Buy,00685L群益臺灣加權正2,"1292","3587","2295"
第一金,5380,第一金-高雄,5383,Buy,6903巨漢,"1256","1256","0"
第一金,5380,第一金-高雄,5383,Buy,5274信驊,"1225","1514","289"
第一金,5380,第一金-高雄,5383,Buy,6182合晶,"1171","5064","3893"
第一金,5380,第一金-高雄,5383,Buy,6278台表科,"1170","2879","1709"
第一金,5380,第一金-高雄,5383,Buy,00927群益半導體收益,"1099","1462","363"
第一金,5380,第一金-高雄,5383,Buy,6173信昌電,"1030","1695","665"
第一金,5380,第一金-高雄,5383,Buy,2492華新科,"1029","1827","798"
第一金,5380,第一金-高雄,5383,Buy,1476儒鴻,"1018","1018","0"
第一金,5380,第一金-高雄,5383,Buy,6196帆宣,"1006","1006","0"
第一金,5380,第一金-高雄,5383,Buy,8046南電,"932","1118","186"
第一金,5380,第一金-高雄,5383,Buy,3163波若威,"924","2167","1243"
第一金,5380,第一金-高雄,5383,Buy,6217中探針,"916","1084","168"
第一金,5380,第一金-高雄,5383,Buy,3376新日興,"915","1840","925"
第一金,5380,第一金-高雄,5383,Buy,6643M31,"882","882","0"
第一金,5380,第一金-高雄,5383,Buy,8926台汽電,"811","1091","280"
第一金,5380,第一金-高雄,5383,Buy,4749新應材,"790","790","0"
第一金,5380,第一金-高雄,5383,Sell,2890永豐金,"-23412","9","23421"
第一金,5380,第一金-高雄,5383,Sell,2303聯電,"-22755","3795","26550"
第一金,5380,第一金-高雄,5383,Sell,2323中環,"-22683","41","22724"
第一金,5380,第一金-高雄,5383,Sell,2408南亞科,"-21728","14435","36163"
第一金,5380,第一金-高雄,5383,Sell,2317鴻海,"-15431","14866","30297"
第一金,5380,第一金-高雄,5383,Sell,3481群創,"-15214","384","15598"
第一金,5380,第一金-高雄,5383,Sell,8081致新,"-12823","0","12823"
第一金,5380,第一金-高雄,5383,Sell,5347世界,"-11441","306","11747"
第一金,5380,第一金-高雄,5383,Sell,3587閎康,"-10003","264","10267"
第一金,5380,第一金-高雄,5383,Sell,2308台達電,"-8774","0","8774"
第一金,5380,第一金-高雄,5383,Sell,3264欣銓,"-8705","4892","13597"
第一金,5380,第一金-高雄,5383,Sell,2454聯發科,"-8304","8298","16602"
第一金,5380,第一金-高雄,5383,Sell,00988A主動統一全球創新,"-8263","152","8415"
第一金,5380,第一金-高雄,5383,Sell,00990A主動元大AI新經濟,"-7805","180","7985"
第一金,5380,第一金-高雄,5383,Sell,3081聯亞,"-7748","0","7748"
第一金,5380,第一金-高雄,5383,Sell,3131弘塑,"-7630","20","7650"
第一金,5380,第一金-高雄,5383,Sell,6147頎邦,"-7543","1543","9086"
第一金,5380,第一金-高雄,5383,Sell,8383千附,"-7085","69","7154"
