BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-三民,9188,Buy,2368金像電,"13432","14492","1060"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3008大立光,"12890","12971","81"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8039台虹,"9518","18003","8485"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3163波若威,"7079","10655","3576"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6669緯穎,"6293","6365","72"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3017奇鋐,"5473","5615","142"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3532台勝科,"4929","4929","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3653健策,"4647","4647","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2345智邦,"4554","6719","2165"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3596智易,"3674","3674","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2892第一金,"3642","4062","420"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8996高力,"3266","10866","7600"
群益金鼎,9100,群益金鼎-三民,9188,Buy,1303南亞,"3072","8254","5182"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6196帆宣,"2980","3041","61"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2449京元電子,"2730","10783","8053"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3665貿聯-KY,"2707","16104","13397"
群益金鼎,9100,群益金鼎-三民,9188,Buy,0050元大台灣50,"2693","6201","3508"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3443創意,"2581","7385","4804"
群益金鼎,9100,群益金鼎-三民,9188,Buy,7750新代,"2485","2485","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,4991環宇-KY,"2477","2529","52"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8358金居,"2394","5616","3222"
群益金鼎,9100,群益金鼎-三民,9188,Buy,4749新應材,"2097","2105","8"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6182合晶,"2096","6207","4111"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6166凌華,"2076","2260","184"
群益金鼎,9100,群益金鼎-三民,9188,Buy,5483中美晶,"2061","2061","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2101南港,"1897","1897","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3105穩懋,"1828","5039","3211"
群益金鼎,9100,群益金鼎-三民,9188,Buy,00947台新臺灣IC設計,"1816","1816","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2610華航,"1728","1954","226"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6770力積電,"1721","12554","10833"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3290東浦,"1699","1699","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,5386青雲,"1472","1472","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8096擎亞,"1395","1395","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8155博智,"1365","1365","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,5289宜鼎,"1269","1269","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,4958臻鼎-KY,"1248","14683","13435"
群益金鼎,9100,群益金鼎-三民,9188,Buy,00980A主動野村臺灣優選,"1205","1205","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8926台汽電,"1199","1256","57"
群益金鼎,9100,群益金鼎-三民,9188,Buy,8271宇瞻,"1151","1408","257"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2634漢翔,"1099","1588","489"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3034聯詠,"1087","1087","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,1815富喬,"973","2528","1555"
群益金鼎,9100,群益金鼎-三民,9188,Buy,4764雙鍵,"966","966","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2395研華,"956","1024","68"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2421建準,"955","1407","452"
群益金鼎,9100,群益金鼎-三民,9188,Buy,2867三商壽,"952","962","10"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6414樺漢,"942","2852","1910"
群益金鼎,9100,群益金鼎-三民,9188,Buy,6531愛普*,"940","940","0"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3006晶豪科,"863","3756","2893"
群益金鼎,9100,群益金鼎-三民,9188,Buy,3293鈊象,"861","924","63"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2059川湖,"-207666","194","207860"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2408南亞科,"-53584","10770","64354"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2337旺宏,"-33615","53529","87144"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2330台積電,"-27221","6083","33304"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2467志聖,"-13867","0","13867"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2327國巨*,"-13380","4072","17452"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2308台達電,"-13064","1815","14879"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3711日月光投控,"-12744","5047","17791"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2344華邦電,"-10442","3318","13760"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2303聯電,"-10342","8697","19039"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6213聯茂,"-8745","4","8749"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3661世芯-KY,"-7931","4041","11972"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6830汎銓,"-7696","3387","11083"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3481群創,"-7475","2950","10425"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2301光寶科,"-5280","1054","6334"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2383台光電,"-5222","10916","16138"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3037欣興,"-5054","2007","7061"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3231緯創,"-4099","2530","6629"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2897王道銀行,"-3840","0","3840"
群益金鼎,9100,群益金鼎-三民,9188,Sell,8299群聯,"-3433","8882","12315"
群益金鼎,9100,群益金鼎-三民,9188,Sell,8027鈦昇,"-3039","1830","4869"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3289宜特,"-2941","21","2962"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3363上詮,"-2849","0","2849"
群益金鼎,9100,群益金鼎-三民,9188,Sell,1717長興,"-2812","913","3725"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3706神達,"-2788","0","2788"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2455全新,"-2721","0","2721"
群益金鼎,9100,群益金鼎-三民,9188,Sell,2409友達,"-2708","1621","4329"
群益金鼎,9100,群益金鼎-三民,9188,Sell,0052富邦科技,"-2553","309","2862"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6187萬潤,"-2271","4710","6981"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6239力成,"-2221","0","2221"
群益金鼎,9100,群益金鼎-三民,9188,Sell,00919群益台灣精選高息,"-2166","968","3134"
群益金鼎,9100,群益金鼎-三民,9188,Sell,00683L期元大美元指正2,"-2146","0","2146"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6914阜爾運通,"-2076","0","2076"
群益金鼎,9100,群益金鼎-三民,9188,Sell,00685L群益臺灣加權正2,"-2072","1548","3620"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3714富采,"-2032","857","2889"
群益金鼎,9100,群益金鼎-三民,9188,Sell,00991A主動復華未來50,"-1922","228","2150"
群益金鼎,9100,群益金鼎-三民,9188,Sell,3669圓展,"-1835","0","1835"
群益金鼎,9100,群益金鼎-三民,9188,Sell,6996力領科技,"-1776","0","1776"
