BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌,9300,Buy,3081聯亞,"196623","291076","94453"
華南永昌,9300,華南永昌,9300,Buy,6669緯穎,"134720","136274","1554"
華南永昌,9300,華南永昌,9300,Buy,3231緯創,"92021","112872","20851"
華南永昌,9300,華南永昌,9300,Buy,3131弘塑,"86009","89204","3195"
華南永昌,9300,華南永昌,9300,Buy,2383台光電,"76119","109862","33743"
華南永昌,9300,華南永昌,9300,Buy,6805富世達,"72484","79244","6760"
華南永昌,9300,華南永昌,9300,Buy,2395研華,"57141","59843","2702"
華南永昌,9300,華南永昌,9300,Buy,8996高力,"56033","58224","2191"
華南永昌,9300,華南永昌,9300,Buy,2330台積電,"53669","196410","142741"
華南永昌,9300,華南永昌,9300,Buy,2368金像電,"51918","79394","27476"
華南永昌,9300,華南永昌,9300,Buy,3324雙鴻,"51501","57782","6281"
華南永昌,9300,華南永昌,9300,Buy,5274信驊,"51095","52935","1840"
華南永昌,9300,華南永昌,9300,Buy,5904寶雅*,"50687","66607","15920"
華南永昌,9300,華南永昌,9300,Buy,3450聯鈞,"46473","60061","13588"
華南永昌,9300,華南永昌,9300,Buy,00881國泰台灣科技龍頭,"40986","41898","912"
華南永昌,9300,華南永昌,9300,Buy,3042晶技,"39722","53230","13508"
華南永昌,9300,華南永昌,9300,Buy,3008大立光,"38537","53932","15395"
華南永昌,9300,華南永昌,9300,Buy,2360致茂,"37336","41956","4620"
華南永昌,9300,華南永昌,9300,Buy,4958臻鼎-KY,"31719","61199","29480"
華南永昌,9300,華南永昌,9300,Buy,6187萬潤,"25816","30386","4570"
華南永昌,9300,華南永昌,9300,Buy,6223旺矽,"25388","32677","7289"
華南永昌,9300,華南永昌,9300,Buy,0050元大台灣50,"24064","46683","22619"
華南永昌,9300,華南永昌,9300,Buy,3443創意,"19130","44271","25141"
華南永昌,9300,華南永昌,9300,Buy,1303南亞,"18534","50465","31931"
華南永昌,9300,華南永昌,9300,Buy,6139亞翔,"18395","30528","12133"
華南永昌,9300,華南永昌,9300,Buy,4931新盛力,"17631","20224","2593"
華南永昌,9300,華南永昌,9300,Buy,4979華星光,"14906","24133","9227"
華南永昌,9300,華南永昌,9300,Buy,3374精材,"14641","41394","26753"
