BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-古亭,003900380039006b,Buy,2308台達電,"25798","35624","9826"
元大證券,9800,元大-古亭,003900380039006b,Buy,6187萬潤,"17506","18811","1305"
元大證券,9800,元大-古亭,003900380039006b,Buy,3661世芯-KY,"16927","57986","41059"
元大證券,9800,元大-古亭,003900380039006b,Buy,8069元太,"7754","7754","0"
元大證券,9800,元大-古亭,003900380039006b,Buy,3008大立光,"4744","21630","16886"
元大證券,9800,元大-古亭,003900380039006b,Buy,2395研華,"4622","6626","2004"
元大證券,9800,元大-古亭,003900380039006b,Buy,8299群聯,"4391","6479","2088"
元大證券,9800,元大-古亭,003900380039006b,Buy,2409友達,"4309","7179","2870"
元大證券,9800,元大-古亭,003900380039006b,Buy,3715定穎投控,"4038","4161","123"
元大證券,9800,元大-古亭,003900380039006b,Buy,3481群創,"3726","8529","4803"
元大證券,9800,元大-古亭,003900380039006b,Buy,2603長榮,"3678","4378","700"
元大證券,9800,元大-古亭,003900380039006b,Buy,00632R元大台灣50反1,"3203","10408","7205"
元大證券,9800,元大-古亭,003900380039006b,Buy,7795長廣,"3182","3182","0"
元大證券,9800,元大-古亭,003900380039006b,Buy,3711日月光投控,"2618","4569","1951"
元大證券,9800,元大-古亭,003900380039006b,Buy,2301光寶科,"2617","5662","3045"
元大證券,9800,元大-古亭,003900380039006b,Buy,2645長榮航太,"2510","2510","0"
元大證券,9800,元大-古亭,003900380039006b,Buy,3081聯亞,"2373","5009","2636"
元大證券,9800,元大-古亭,003900380039006b,Buy,4971IET-KY,"2342","2342","0"
元大證券,9800,元大-古亭,003900380039006b,Buy,4931新盛力,"2080","5108","3028"
元大證券,9800,元大-古亭,003900380039006b,Buy,3665貿聯-KY,"2061","4183","2122"
元大證券,9800,元大-古亭,003900380039006b,Buy,3363上詮,"1914","3170","1256"
元大證券,9800,元大-古亭,003900380039006b,Buy,00891中信關鍵半導體,"1851","1851","0"
