BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-嘉義,0039003800390067,Buy,2408南亞科,"23526","53587","30061"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2308台達電,"21879","26765","4886"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3481群創,"11735","27522","15787"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2455全新,"6509","6610","101"
元大證券,9800,元大-嘉義,0039003800390067,Buy,8996高力,"6446","6446","0"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3105穩懋,"4866","6584","1718"
元大證券,9800,元大-嘉義,0039003800390067,Buy,8069元太,"4580","5581","1001"
元大證券,9800,元大-嘉義,0039003800390067,Buy,00981A主動統一台股增長,"4345","7485","3140"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2337旺宏,"4274","13237","8963"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6451訊芯-KY,"3952","4816","864"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2409友達,"3773","9912","6139"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6488環球晶,"3645","4780","1135"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6770力積電,"3521","12741","9220"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2382廣達,"3421","6914","3493"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3026禾伸堂,"3393","14751","11358"
元大證券,9800,元大-嘉義,0039003800390067,Buy,7795長廣,"3225","3270","45"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3081聯亞,"2999","3021","22"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3653健策,"2909","4723","1814"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3090日電貿,"2857","6681","3824"
元大證券,9800,元大-嘉義,0039003800390067,Buy,7610聯友金屬-創,"2773","4061","1288"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3260威剛,"2442","5726","3284"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6187萬潤,"2440","4560","2120"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2404漢唐,"2309","3473","1164"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6217中探針,"2175","2175","0"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6669緯穎,"2139","8565","6426"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6285啟碁,"2073","3089","1016"
元大證券,9800,元大-嘉義,0039003800390067,Buy,8926台汽電,"1961","2017","56"
元大證券,9800,元大-嘉義,0039003800390067,Buy,4551智伸科,"1904","2229","325"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3149正達,"1454","4026","2572"
元大證券,9800,元大-嘉義,0039003800390067,Buy,00878國泰永續高股息,"1404","2276","872"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3036文曄,"1382","2913","1531"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3706神達,"1358","2100","742"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3008大立光,"1322","1646","324"
元大證券,9800,元大-嘉義,0039003800390067,Buy,1785光洋科,"1279","1386","107"
元大證券,9800,元大-嘉義,0039003800390067,Buy,2472立隆電,"1259","1759","500"
元大證券,9800,元大-嘉義,0039003800390067,Buy,5289宜鼎,"1227","4167","2940"
元大證券,9800,元大-嘉義,0039003800390067,Buy,00400A主動國泰動能高息,"1215","1288","73"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3703欣陸,"1182","1222","40"
元大證券,9800,元大-嘉義,0039003800390067,Buy,6271同欣電,"1178","4157","2979"
元大證券,9800,元大-嘉義,0039003800390067,Buy,7788松川精密,"1175","3606","2431"
元大證券,9800,元大-嘉義,0039003800390067,Buy,3264欣銓,"1081","2181","1100"
元大證券,9800,元大-嘉義,0039003800390067,Buy,0056元大高股息,"1043","1295","252"
