BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-大雅,0039003800330069,Buy,6669緯穎,"14913","14913","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,2308台達電,"12334","21084","8750"
元大證券,9800,元大-大雅,0039003800330069,Buy,3481群創,"10501","23602","13101"
元大證券,9800,元大-大雅,0039003800330069,Buy,4979華星光,"9466","16338","6872"
元大證券,9800,元大-大雅,0039003800330069,Buy,2408南亞科,"8327","50273","41946"
元大證券,9800,元大-大雅,0039003800330069,Buy,2409友達,"7699","16996","9297"
元大證券,9800,元大-大雅,0039003800330069,Buy,3081聯亞,"7130","10151","3021"
元大證券,9800,元大-大雅,0039003800330069,Buy,2345智邦,"6534","11004","4470"
元大證券,9800,元大-大雅,0039003800330069,Buy,6239力成,"6138","13510","7372"
元大證券,9800,元大-大雅,0039003800330069,Buy,3260威剛,"4196","5531","1335"
元大證券,9800,元大-大雅,0039003800330069,Buy,2313華通,"4015","8501","4486"
元大證券,9800,元大-大雅,0039003800330069,Buy,3105穩懋,"3832","10922","7090"
元大證券,9800,元大-大雅,0039003800330069,Buy,5289宜鼎,"3118","6033","2915"
元大證券,9800,元大-大雅,0039003800330069,Buy,6206飛捷,"3000","3000","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,3264欣銓,"2666","2885","219"
元大證券,9800,元大-大雅,0039003800330069,Buy,7822倍利科,"2580","2580","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,00635U期元大S＆P黃金,"2477","2688","211"
元大證券,9800,元大-大雅,0039003800330069,Buy,00881國泰台灣科技龍頭,"2449","2614","165"
元大證券,9800,元大-大雅,0039003800330069,Buy,3374精材,"2386","5782","3396"
元大證券,9800,元大-大雅,0039003800330069,Buy,00937B群益ESG投等債20,"2357","3157","800"
元大證券,9800,元大-大雅,0039003800330069,Buy,3026禾伸堂,"2230","6814","4584"
元大證券,9800,元大-大雅,0039003800330069,Buy,6640均華,"2118","4064","1946"
元大證券,9800,元大-大雅,0039003800330069,Buy,2359所羅門,"2103","3930","1827"
元大證券,9800,元大-大雅,0039003800330069,Buy,1519華城,"2034","3469","1435"
元大證券,9800,元大-大雅,0039003800330069,Buy,6770力積電,"2010","10859","8849"
元大證券,9800,元大-大雅,0039003800330069,Buy,2344華邦電,"2009","39107","37098"
元大證券,9800,元大-大雅,0039003800330069,Buy,1503士電,"1969","2165","196"
元大證券,9800,元大-大雅,0039003800330069,Buy,00991A主動復華未來50,"1961","2870","909"
元大證券,9800,元大-大雅,0039003800330069,Buy,00953B群益優選非投等債,"1954","1954","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,3653健策,"1944","1985","41"
元大證券,9800,元大-大雅,0039003800330069,Buy,5475德宏,"1898","4644","2746"
元大證券,9800,元大-大雅,0039003800330069,Buy,8261富鼎,"1876","3543","1667"
元大證券,9800,元大-大雅,0039003800330069,Buy,4991環宇-KY,"1831","4718","2887"
元大證券,9800,元大-大雅,0039003800330069,Buy,5904寶雅*,"1727","2083","356"
元大證券,9800,元大-大雅,0039003800330069,Buy,2387精元,"1671","1671","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,00632R元大台灣50反1,"1656","2548","892"
元大證券,9800,元大-大雅,0039003800330069,Buy,6271同欣電,"1605","1807","202"
元大證券,9800,元大-大雅,0039003800330069,Buy,8039台虹,"1539","6400","4861"
元大證券,9800,元大-大雅,0039003800330069,Buy,2478大毅,"1513","3119","1606"
元大證券,9800,元大-大雅,0039003800330069,Buy,2484希華,"1497","3725","2228"
元大證券,9800,元大-大雅,0039003800330069,Buy,3450聯鈞,"1469","1469","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,3055蔚華科,"1464","1464","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,1326台化,"1375","1490","115"
元大證券,9800,元大-大雅,0039003800330069,Buy,8210勤誠,"1360","1360","0"
元大證券,9800,元大-大雅,0039003800330069,Buy,3090日電貿,"1332","23327","21995"
元大證券,9800,元大-大雅,0039003800330069,Buy,3036文曄,"1324","1771","447"
元大證券,9800,元大-大雅,0039003800330069,Buy,00878國泰永續高股息,"1309","1567","258"
元大證券,9800,元大-大雅,0039003800330069,Buy,4967十銓,"1299","2256","957"
元大證券,9800,元大-大雅,0039003800330069,Buy,8436大江,"1254","1505","251"
元大證券,9800,元大-大雅,0039003800330069,Buy,00981D主動中信非投等債,"1248","1248","0"
元大證券,9800,元大-大雅,0039003800330069,Sell,7769鴻勁,"-43168","13752","56920"
元大證券,9800,元大-大雅,0039003800330069,Sell,2360致茂,"-29430","0","29430"
元大證券,9800,元大-大雅,0039003800330069,Sell,8358金居,"-21261","3418","24679"
元大證券,9800,元大-大雅,0039003800330069,Sell,2454聯發科,"-10729","8961","19690"
元大證券,9800,元大-大雅,0039003800330069,Sell,6446藥華藥,"-9286","87","9373"
元大證券,9800,元大-大雅,0039003800330069,Sell,3211順達,"-7615","9871","17486"
元大證券,9800,元大-大雅,0039003800330069,Sell,3443創意,"-7296","4869","12165"
元大證券,9800,元大-大雅,0039003800330069,Sell,0050元大台灣50,"-7280","3722","11002"
元大證券,9800,元大-大雅,0039003800330069,Sell,00670L富邦NASDAQ正2,"-6135","0","6135"
元大證券,9800,元大-大雅,0039003800330069,Sell,4958臻鼎-KY,"-6121","6377","12498"
元大證券,9800,元大-大雅,0039003800330069,Sell,8112至上,"-6073","4371","10444"
元大證券,9800,元大-大雅,0039003800330069,Sell,8150南茂,"-4207","17345","21552"
元大證券,9800,元大-大雅,0039003800330069,Sell,6173信昌電,"-4165","2153","6318"
元大證券,9800,元大-大雅,0039003800330069,Sell,3533嘉澤,"-3995","0","3995"
