BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-歸仁,0039003800310061,Buy,2408南亞科,"23331","64605","41274"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2337旺宏,"15355","24278","8923"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3714富采,"12656","14360","1704"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3481群創,"12174","22113","9939"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3019亞光,"10791","11338","547"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2344華邦電,"10040","18475","8435"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6187萬潤,"7594","21995","14401"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6239力成,"6710","12368","5658"
元大證券,9800,元大-歸仁,0039003800310061,Buy,8261富鼎,"5736","11249","5513"
元大證券,9800,元大-歸仁,0039003800310061,Buy,8069元太,"5683","5866","183"
元大證券,9800,元大-歸仁,0039003800310061,Buy,00891中信關鍵半導體,"5495","5495","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2409友達,"5386","10698","5312"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3706神達,"4836","5673","837"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3105穩懋,"4210","7554","3344"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6770力積電,"4141","7401","3260"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6933AMAX-KY,"3888","3906","18"
元大證券,9800,元大-歸仁,0039003800310061,Buy,7734印能科技,"3711","3711","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6285啟碁,"3630","4659","1029"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6488環球晶,"3167","3318","151"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2308台達電,"3098","9908","6810"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6672騰輝電子-KY,"3036","4376","1340"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6683雍智科技,"2538","2538","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2303聯電,"2170","7680","5510"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2449京元電子,"2156","3381","1225"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3163波若威,"2127","3587","1460"
元大證券,9800,元大-歸仁,0039003800310061,Buy,5291邑昇,"2118","2174","56"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2352佳世達,"2021","2050","29"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2451創見,"2017","2880","863"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3026禾伸堂,"1847","5641","3794"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3147大綜,"1803","1803","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,4979華星光,"1755","8792","7037"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6531愛普*,"1718","1718","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,7711永擎,"1658","1724","66"
元大證券,9800,元大-歸仁,0039003800310061,Buy,6603富強鑫,"1626","1865","239"
元大證券,9800,元大-歸仁,0039003800310061,Buy,7855和運租車,"1605","1690","85"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2301光寶科,"1547","6752","5205"
元大證券,9800,元大-歸仁,0039003800310061,Buy,2049上銀,"1475","1972","497"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3305昇貿,"1464","1690","226"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3260威剛,"1438","2051","613"
元大證券,9800,元大-歸仁,0039003800310061,Buy,4807日成-KY,"1408","1408","0"
元大證券,9800,元大-歸仁,0039003800310061,Buy,5483中美晶,"1375","1948","573"
元大證券,9800,元大-歸仁,0039003800310061,Buy,5347世界,"1325","2241","916"
元大證券,9800,元大-歸仁,0039003800310061,Buy,8028昇陽半導體,"1323","1582","259"
元大證券,9800,元大-歸仁,0039003800310061,Buy,3363上詮,"1292","1935","643"
元大證券,9800,元大-歸仁,0039003800310061,Buy,00878國泰永續高股息,"1264","1764","500"
