BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2408南亞科,"93675","117997","24322"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,3374精材,"6005","7715","1710"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,1709和益,"4686","4686","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2884玉山金,"4390","4427","37"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,5289宜鼎,"4214","4360","146"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,8069元太,"3783","3816","33"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,1314中石化,"3088","3088","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,3026禾伸堂,"3049","3049","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,3665貿聯-KY,"2450","2450","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,3211順達,"2329","4757","2428"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,7740熙特爾-創,"2298","2298","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,8046南電,"2199","5669","3470"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,4958臻鼎-KY,"2001","8783","6782"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2308台達電,"1769","9137","7368"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2520冠德,"1722","1722","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,6274台燿,"1570","1632","62"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,4931新盛力,"1453","2711","1258"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2481強茂,"1442","1584","142"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2365昆盈,"1281","1281","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,1459聯發,"1191","1232","41"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,7556意德士,"1186","1186","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,8150南茂,"1168","4869","3701"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2457飛宏,"1162","1162","0"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,2049上銀,"1087","2185","1098"
兆豐證券,7000,兆豐-大同,0037003000300053,Buy,6187萬潤,"1061","1061","0"
