BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2408南亞科,"26049","38300","12251"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6239力成,"7435","13958","6523"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6605帝寶,"5429","5565","136"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2344華邦電,"3433","12287","8854"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3105穩懋,"2585","3328","743"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,7750新代,"2568","2573","5"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3081聯亞,"2435","2494","59"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2492華新科,"2256","4745","2489"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6177達麗,"2174","2174","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6257矽格,"1876","1917","41"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,5371中光電,"1871","1955","84"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2049上銀,"1812","1885","73"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3532台勝科,"1766","2047","281"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2449京元電子,"1738","7184","5446"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,00881國泰台灣科技龍頭,"1717","1717","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6213聯茂,"1612","2853","1241"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,5880合庫金,"1596","1852","256"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2409友達,"1553","3007","1454"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6005群益證,"1533","1533","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3008大立光,"1518","1627","109"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6442光聖,"1461","1465","4"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,5289宜鼎,"1453","2918","1465"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2426鼎元,"1427","2805","1378"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,00878國泰永續高股息,"1373","1373","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3088艾訊,"1276","1420","144"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,5284jpp-KY,"1214","1216","2"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2404漢唐,"1168","1168","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2481強茂,"1115","3935","2820"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,4967十銓,"1069","1085","16"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6187萬潤,"1030","4488","3458"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3260威剛,"1024","1106","82"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,3450聯鈞,"1006","1010","4"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,6829千附精密,"1003","1003","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2633台灣高鐵,"976","976","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,7795長廣,"924","924","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2455全新,"896","896","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,8069元太,"888","888","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,8039台虹,"870","1317","447"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2892第一金,"787","787","0"
合庫證券,1020,合庫-新竹,0031003000320041,Buy,2308台達電,"777","3062","2285"
