BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-長城,0037003700390075,Buy,2344華邦電,"48644","55030","6386"
國票證券,7790,國票-長城,0037003700390075,Buy,2474可成,"30691","32317","1626"
國票證券,7790,國票-長城,0037003700390075,Buy,6672騰輝電子-KY,"28680","29194","514"
國票證券,7790,國票-長城,0037003700390075,Buy,00403A主動統一升級50,"15346","16072","726"
國票證券,7790,國票-長城,0037003700390075,Buy,6166凌華,"13847","14119","272"
國票證券,7790,國票-長城,0037003700390075,Buy,3105穩懋,"12895","13636","741"
國票證券,7790,國票-長城,0037003700390075,Buy,6669緯穎,"11682","29561","17879"
國票證券,7790,國票-長城,0037003700390075,Buy,3363上詮,"10745","12008","1263"
國票證券,7790,國票-長城,0037003700390075,Buy,00685L群益臺灣加權正2,"9739","11556","1817"
國票證券,7790,國票-長城,0037003700390075,Buy,2478大毅,"9224","9469","245"
國票證券,7790,國票-長城,0037003700390075,Buy,1519華城,"7100","7100","0"
國票證券,7790,國票-長城,0037003700390075,Buy,6213聯茂,"6283","8430","2147"
國票證券,7790,國票-長城,0037003700390075,Buy,8046南電,"5665","8085","2420"
國票證券,7790,國票-長城,0037003700390075,Buy,6257矽格,"4720","4925","205"
國票證券,7790,國票-長城,0037003700390075,Buy,8039台虹,"4106","4106","0"
國票證券,7790,國票-長城,0037003700390075,Buy,5536聖暉*,"3765","4706","941"
國票證券,7790,國票-長城,0037003700390075,Buy,3481群創,"3312","4356","1044"
國票證券,7790,國票-長城,0037003700390075,Buy,6805富世達,"3236","3600","364"
國票證券,7790,國票-長城,0037003700390075,Buy,8097常珵,"2974","2974","0"
國票證券,7790,國票-長城,0037003700390075,Buy,2409友達,"2778","3754","976"
國票證券,7790,國票-長城,0037003700390075,Buy,9939宏全,"2710","2710","0"
國票證券,7790,國票-長城,0037003700390075,Buy,2317鴻海,"2376","3422","1046"
國票證券,7790,國票-長城,0037003700390075,Buy,2359所羅門,"2123","2689","566"
國票證券,7790,國票-長城,0037003700390075,Buy,3163波若威,"2051","9028","6977"
國票證券,7790,國票-長城,0037003700390075,Buy,3260威剛,"2025","2107","82"
國票證券,7790,國票-長城,0037003700390075,Buy,8096擎亞,"1882","3720","1838"
國票證券,7790,國票-長城,0037003700390075,Buy,2887台新新光金,"1742","1765","23"
國票證券,7790,國票-長城,0037003700390075,Buy,6173信昌電,"1657","2362","705"
國票證券,7790,國票-長城,0037003700390075,Buy,2449京元電子,"1627","2127","500"
國票證券,7790,國票-長城,0037003700390075,Buy,6414樺漢,"1360","1809","449"
國票證券,7790,國票-長城,0037003700390075,Buy,8042金山電,"1325","1560","235"
國票證券,7790,國票-長城,0037003700390075,Buy,2362藍天,"1318","1318","0"
國票證券,7790,國票-長城,0037003700390075,Buy,8050廣積,"1295","1421","126"
國票證券,7790,國票-長城,0037003700390075,Buy,8028昇陽半導體,"1293","1293","0"
國票證券,7790,國票-長城,0037003700390075,Buy,8150南茂,"1266","5146","3880"
國票證券,7790,國票-長城,0037003700390075,Buy,2455全新,"1083","1083","0"
國票證券,7790,國票-長城,0037003700390075,Buy,6239力成,"1062","5378","4316"
國票證券,7790,國票-長城,0037003700390075,Buy,3605宏致,"1060","2089","1029"
國票證券,7790,國票-長城,0037003700390075,Buy,4979華星光,"1041","2109","1068"
國票證券,7790,國票-長城,0037003700390075,Buy,3374精材,"1019","3703","2684"
國票證券,7790,國票-長城,0037003700390075,Buy,8210勤誠,"1015","1015","0"
國票證券,7790,國票-長城,0037003700390075,Buy,2354鴻準,"1001","1126","125"
國票證券,7790,國票-長城,0037003700390075,Buy,3037欣興,"958","986","28"
國票證券,7790,國票-長城,0037003700390075,Buy,6139亞翔,"834","1644","810"
國票證券,7790,國票-長城,0037003700390075,Buy,6531愛普*,"831","831","0"
國票證券,7790,國票-長城,0037003700390075,Buy,5351鈺創,"822","822","0"
國票證券,7790,國票-長城,0037003700390075,Buy,2385群光,"821","821","0"
國票證券,7790,國票-長城,0037003700390075,Buy,4967十銓,"814","814","0"
國票證券,7790,國票-長城,0037003700390075,Buy,3293鈊象,"794","794","0"
國票證券,7790,國票-長城,0037003700390075,Buy,2634漢翔,"764","1508","744"
國票證券,7790,國票-長城,0037003700390075,Sell,2383台光電,"-60015","109","60124"
國票證券,7790,國票-長城,0037003700390075,Sell,6446藥華藥,"-42753","6980","49733"
國票證券,7790,國票-長城,0037003700390075,Sell,5475德宏,"-27687","2652","30339"
國票證券,7790,國票-長城,0037003700390075,Sell,2368金像電,"-23929","2906","26835"
國票證券,7790,國票-長城,0037003700390075,Sell,6271同欣電,"-23733","397","24130"
國票證券,7790,國票-長城,0037003700390075,Sell,2327國巨*,"-15792","15114","30906"
國票證券,7790,國票-長城,0037003700390075,Sell,2301光寶科,"-15667","2167","17834"
國票證券,7790,國票-長城,0037003700390075,Sell,2454聯發科,"-12044","7905","19949"
國票證券,7790,國票-長城,0037003700390075,Sell,2408南亞科,"-11291","12718","24009"
國票證券,7790,國票-長城,0037003700390075,Sell,2330台積電,"-7726","43","7769"
國票證券,7790,國票-長城,0037003700390075,Sell,5309系統電,"-5649","0","5649"
國票證券,7790,國票-長城,0037003700390075,Sell,8112至上,"-5124","3541","8665"
國票證券,7790,國票-長城,0037003700390075,Sell,6274台燿,"-4647","0","4647"
國票證券,7790,國票-長城,0037003700390075,Sell,3443創意,"-3871","5898","9769"
國票證券,7790,國票-長城,0037003700390075,Sell,3661世芯-KY,"-3799","242","4041"
國票證券,7790,國票-長城,0037003700390075,Sell,4958臻鼎-KY,"-2931","1450","4381"
國票證券,7790,國票-長城,0037003700390075,Sell,6442光聖,"-2895","0","2895"
國票證券,7790,國票-長城,0037003700390075,Sell,2103台橡,"-2414","112","2526"
國票證券,7790,國票-長城,0037003700390075,Sell,9921巨大,"-2407","0","2407"
國票證券,7790,國票-長城,0037003700390075,Sell,3211順達,"-2383","744","3127"
國票證券,7790,國票-長城,0037003700390075,Sell,00631L元大台灣50正2,"-2304","2","2306"
國票證券,7790,國票-長城,0037003700390075,Sell,6147頎邦,"-2276","804","3080"
國票證券,7790,國票-長城,0037003700390075,Sell,00675L富邦臺灣加權正2,"-2099","596","2695"
國票證券,7790,國票-長城,0037003700390075,Sell,2360致茂,"-2075","0","2075"
國票證券,7790,國票-長城,0037003700390075,Sell,3533嘉澤,"-2025","2005","4030"
國票證券,7790,國票-長城,0037003700390075,Sell,00981A主動統一台股增長,"-1976","47","2023"
國票證券,7790,國票-長城,0037003700390075,Sell,2382廣達,"-1954","31","1985"
國票證券,7790,國票-長城,0037003700390075,Sell,8358金居,"-1867","380","2247"
國票證券,7790,國票-長城,0037003700390075,Sell,8261富鼎,"-1856","552","2408"
國票證券,7790,國票-長城,0037003700390075,Sell,2357華碩,"-1643","0","1643"
國票證券,7790,國票-長城,0037003700390075,Sell,6451訊芯-KY,"-1635","465","2100"
國票證券,7790,國票-長城,0037003700390075,Sell,4763材料*-KY,"-1452","204","1656"
國票證券,7790,國票-長城,0037003700390075,Sell,1605華新,"-1384","304","1688"
國票證券,7790,國票-長城,0037003700390075,Sell,6217中探針,"-1379","16","1395"
國票證券,7790,國票-長城,0037003700390075,Sell,6789采鈺,"-1315","0","1315"
國票證券,7790,國票-長城,0037003700390075,Sell,4764雙鍵,"-1178","0","1178"
國票證券,7790,國票-長城,0037003700390075,Sell,2332友訊,"-1171","93","1264"
國票證券,7790,國票-長城,0037003700390075,Sell,6570維田,"-1138","0","1138"
國票證券,7790,國票-長城,0037003700390075,Sell,8091翔名,"-956","0","956"
國票證券,7790,國票-長城,0037003700390075,Sell,2303聯電,"-924","974","1898"
國票證券,7790,國票-長城,0037003700390075,Sell,4977眾達-KY,"-897","0","897"
國票證券,7790,國票-長城,0037003700390075,Sell,6472保瑞,"-846","0","846"
國票證券,7790,國票-長城,0037003700390075,Sell,8069元太,"-828","335","1163"
國票證券,7790,國票-長城,0037003700390075,Sell,2536宏普,"-725","0","725"
國票證券,7790,國票-長城,0037003700390075,Sell,2481強茂,"-703","0","703"
國票證券,7790,國票-長城,0037003700390075,Sell,2002中鋼,"-700","0","700"
國票證券,7790,國票-長城,0037003700390075,Sell,2493揚博,"-698","469","1167"
國票證券,7790,國票-長城,0037003700390075,Sell,00887永豐中國科技50大,"-675","0","675"
國票證券,7790,國票-長城,0037003700390075,Sell,7402邑錡,"-666","208","874"
國票證券,7790,國票-長城,0037003700390075,Sell,3264欣銓,"-659","218","877"
