BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-南京,9326,Buy,2327國巨*,"93750","215927","122177"
華南永昌,9300,華南永昌-南京,9326,Buy,3026禾伸堂,"70459","100844","30385"
華南永昌,9300,華南永昌-南京,9326,Buy,6446藥華藥,"61056","74413","13357"
華南永昌,9300,華南永昌-南京,9326,Buy,6213聯茂,"37650","46485","8835"
華南永昌,9300,華南永昌-南京,9326,Buy,3211順達,"28930","35674","6744"
華南永昌,9300,華南永昌-南京,9326,Buy,3090日電貿,"20060","30188","10128"
華南永昌,9300,華南永昌-南京,9326,Buy,3037欣興,"16278","18666","2388"
華南永昌,9300,華南永昌-南京,9326,Buy,3189景碩,"14823","14823","0"
華南永昌,9300,華南永昌-南京,9326,Buy,3105穩懋,"14444","19618","5174"
華南永昌,9300,華南永昌-南京,9326,Buy,2337旺宏,"12768","34542","21774"
華南永昌,9300,華南永昌-南京,9326,Buy,6217中探針,"11653","11654","1"
華南永昌,9300,華南永昌-南京,9326,Buy,6274台燿,"10295","16852","6557"
華南永昌,9300,華南永昌-南京,9326,Buy,2308台達電,"9541","26743","17202"
華南永昌,9300,華南永昌-南京,9326,Buy,6672騰輝電子-KY,"9006","13667","4661"
華南永昌,9300,華南永昌-南京,9326,Buy,4590富田-創,"7051","7051","0"
華南永昌,9300,華南永昌-南京,9326,Buy,6121新普,"6769","8532","1763"
華南永昌,9300,華南永昌-南京,9326,Buy,3665貿聯-KY,"6358","8539","2181"
華南永昌,9300,華南永昌-南京,9326,Buy,2409友達,"6287","11513","5226"
華南永昌,9300,華南永昌-南京,9326,Buy,00708L期元大S＆P黃金正2,"5897","5897","0"
華南永昌,9300,華南永昌-南京,9326,Buy,8299群聯,"5680","8931","3251"
華南永昌,9300,華南永昌-南京,9326,Buy,3167大量,"5110","5110","0"
華南永昌,9300,華南永昌-南京,9326,Buy,3260威剛,"4859","6887","2028"
華南永昌,9300,華南永昌-南京,9326,Buy,3042晶技,"4520","5646","1126"
華南永昌,9300,華南永昌-南京,9326,Buy,5483中美晶,"4367","5207","840"
華南永昌,9300,華南永昌-南京,9326,Buy,6173信昌電,"4151","6704","2553"
華南永昌,9300,華南永昌-南京,9326,Buy,2481強茂,"4042","11940","7898"
華南永昌,9300,華南永昌-南京,9326,Buy,3229晟鈦,"3923","3923","0"
華南永昌,9300,華南永昌-南京,9326,Buy,2049上銀,"3749","5580","1831"
華南永昌,9300,華南永昌-南京,9326,Buy,5880合庫金,"3745","3818","73"
華南永昌,9300,華南永昌-南京,9326,Buy,2301光寶科,"3391","17888","14497"
華南永昌,9300,華南永昌-南京,9326,Buy,6139亞翔,"3199","4915","1716"
華南永昌,9300,華南永昌-南京,9326,Buy,00635U期元大S＆P黃金,"3186","3186","0"
華南永昌,9300,華南永昌-南京,9326,Buy,3264欣銓,"3094","3533","439"
華南永昌,9300,華南永昌-南京,9326,Buy,8042金山電,"2859","4423","1564"
華南永昌,9300,華南永昌-南京,9326,Buy,6510精測,"2765","11290","8525"
華南永昌,9300,華南永昌-南京,9326,Buy,3363上詮,"2760","4626","1866"
華南永昌,9300,華南永昌-南京,9326,Buy,3030德律,"2696","3000","304"
華南永昌,9300,華南永昌-南京,9326,Buy,2428興勤,"2689","3020","331"
華南永昌,9300,華南永昌-南京,9326,Buy,4991環宇-KY,"2601","5521","2920"
華南永昌,9300,華南永昌-南京,9326,Buy,6451訊芯-KY,"2575","3008","433"
華南永昌,9300,華南永昌-南京,9326,Buy,3234光環,"2561","2561","0"
華南永昌,9300,華南永昌-南京,9326,Buy,02001L富邦蘋果正二N,"2547","2547","0"
華南永昌,9300,華南永昌-南京,9326,Buy,2476鉅祥,"2480","2480","0"
華南永昌,9300,華南永昌-南京,9326,Buy,6712長聖,"2467","2467","0"
華南永昌,9300,華南永昌-南京,9326,Buy,2368金像電,"2376","10214","7838"
華南永昌,9300,華南永昌-南京,9326,Buy,4979華星光,"2267","7645","5378"
華南永昌,9300,華南永昌-南京,9326,Buy,2449京元電子,"2211","3195","984"
華南永昌,9300,華南永昌-南京,9326,Buy,5536聖暉*,"2199","3056","857"
華南永昌,9300,華南永昌-南京,9326,Buy,5904寶雅*,"2169","2259","90"
華南永昌,9300,華南永昌-南京,9326,Buy,2345智邦,"2158","6414","4256"
華南永昌,9300,華南永昌-南京,9326,Sell,2383台光電,"-139434","115","139549"
