BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2327國巨*,"20733","51174","30441"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2492華新科,"18514","34581","16067"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,4958臻鼎-KY,"14070","26981","12911"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2344華邦電,"13900","48203","34303"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2454聯發科,"13566","16655","3089"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,6139亞翔,"9375","12674","3299"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,8150南茂,"8963","11323","2360"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3481群創,"8841","15714","6873"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,5904寶雅*,"6774","8733","1959"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2408南亞科,"6388","41541","35153"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3583辛耘,"4406","4410","4"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,6147頎邦,"4140","5284","1144"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3665貿聯-KY,"4096","4315","219"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,6412群電,"3747","3747","0"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,00878國泰永續高股息,"3093","4534","1441"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2382廣達,"3078","5009","1931"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,6446藥華藥,"2818","3063","245"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3026禾伸堂,"2581","11634","9053"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2301光寶科,"2375","6655","4280"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3711日月光投控,"2373","3889","1516"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3363上詮,"2123","5936","3813"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3090日電貿,"2059","5703","3644"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,8112至上,"1847","4426","2579"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2461光群雷,"1832","1891","59"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,2368金像電,"1715","8091","6376"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3036文曄,"1659","1880","221"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,00881國泰台灣科技龍頭,"1634","2064","430"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,1519華城,"1445","1472","27"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3717聯嘉投控,"1403","1449","46"
元大證券,9800,元大-大里德芳,0039003800330057,Buy,3048益登,"1341","1403","62"
