BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-台中,9204,Buy,4958臻鼎-KY,"12394","31121","18727"
凱基,9200,凱基-台中,9204,Buy,2327國巨*,"9244","16746","7502"
凱基,9200,凱基-台中,9204,Buy,2492華新科,"6453","21077","14624"
凱基,9200,凱基-台中,9204,Buy,6121新普,"6042","6042","0"
凱基,9200,凱基-台中,9204,Buy,5483中美晶,"4798","8696","3898"
凱基,9200,凱基-台中,9204,Buy,6239力成,"4292","7963","3671"
凱基,9200,凱基-台中,9204,Buy,6488環球晶,"4229","35873","31644"
凱基,9200,凱基-台中,9204,Buy,1303南亞,"4203","10898","6695"
凱基,9200,凱基-台中,9204,Buy,6442光聖,"4092","4470","378"
凱基,9200,凱基-台中,9204,Buy,3481群創,"3613","10853","7240"
凱基,9200,凱基-台中,9204,Buy,2451創見,"3565","4158","593"
凱基,9200,凱基-台中,9204,Buy,3026禾伸堂,"3564","22374","18810"
凱基,9200,凱基-台中,9204,Buy,2303聯電,"3561","7578","4017"
凱基,9200,凱基-台中,9204,Buy,8131福懋科,"3157","3285","128"
凱基,9200,凱基-台中,9204,Buy,6206飛捷,"2920","2920","0"
凱基,9200,凱基-台中,9204,Buy,2308台達電,"2914","4041","1127"
凱基,9200,凱基-台中,9204,Buy,5904寶雅*,"2913","7468","4555"
凱基,9200,凱基-台中,9204,Buy,3211順達,"2821","6101","3280"
凱基,9200,凱基-台中,9204,Buy,7768頌勝科技,"2700","2700","0"
凱基,9200,凱基-台中,9204,Buy,7822倍利科,"2603","2603","0"
凱基,9200,凱基-台中,9204,Buy,2382廣達,"2298","3562","1264"
凱基,9200,凱基-台中,9204,Buy,6213聯茂,"2273","2329","56"
凱基,9200,凱基-台中,9204,Buy,3006晶豪科,"2232","2538","306"
凱基,9200,凱基-台中,9204,Buy,8039台虹,"2155","7423","5268"
凱基,9200,凱基-台中,9204,Buy,009826貝萊德世界股票,"2136","2232","96"
凱基,9200,凱基-台中,9204,Buy,5515建國,"1998","2042","44"
凱基,9200,凱基-台中,9204,Buy,6147頎邦,"1943","4308","2365"
凱基,9200,凱基-台中,9204,Buy,7689大鵬科CLMX,"1899","2241","342"
凱基,9200,凱基-台中,9204,Buy,5243乙盛-KY,"1782","1809","27"
凱基,9200,凱基-台中,9204,Buy,6446藥華藥,"1770","7614","5844"
