BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
宏遠證券,1260,宏遠證券,1260,Buy,2330台積電,"1124708","1234088","109380"
宏遠證券,1260,宏遠證券,1260,Buy,2308台達電,"579738","582224","2486"
宏遠證券,1260,宏遠證券,1260,Buy,3008大立光,"141198","160433","19235"
宏遠證券,1260,宏遠證券,1260,Buy,4938和碩,"72604","99123","26519"
宏遠證券,1260,宏遠證券,1260,Buy,2345智邦,"71292","73434","2142"
宏遠證券,1260,宏遠證券,1260,Buy,2408南亞科,"64696","97026","32330"
宏遠證券,1260,宏遠證券,1260,Buy,3081聯亞,"54579","84340","29761"
宏遠證券,1260,宏遠證券,1260,Buy,6274台燿,"51581","53199","1618"
宏遠證券,1260,宏遠證券,1260,Buy,5274信驊,"32245","34000","1755"
宏遠證券,1260,宏遠證券,1260,Buy,00918大華優利高填息30,"25337","25337","0"
宏遠證券,1260,宏遠證券,1260,Buy,2324仁寶,"22597","25627","3030"
宏遠證券,1260,宏遠證券,1260,Buy,2395研華,"22132","23616","1484"
宏遠證券,1260,宏遠證券,1260,Buy,2454聯發科,"19465","32112","12647"
宏遠證券,1260,宏遠證券,1260,Buy,2303聯電,"18702","23867","5165"
宏遠證券,1260,宏遠證券,1260,Buy,6285啟碁,"16000","17250","1250"
宏遠證券,1260,宏遠證券,1260,Buy,6147頎邦,"12866","14299","1433"
宏遠證券,1260,宏遠證券,1260,Buy,2449京元電子,"12776","31119","18343"
宏遠證券,1260,宏遠證券,1260,Buy,8046南電,"11553","13036","1483"
宏遠證券,1260,宏遠證券,1260,Buy,3026禾伸堂,"11286","14845","3559"
宏遠證券,1260,宏遠證券,1260,Buy,2368金像電,"10878","13928","3050"
宏遠證券,1260,宏遠證券,1260,Buy,4147中裕,"10150","10150","0"
宏遠證券,1260,宏遠證券,1260,Buy,4967十銓,"8386","14795","6409"
宏遠證券,1260,宏遠證券,1260,Buy,4958臻鼎-KY,"7226","19116","11890"
宏遠證券,1260,宏遠證券,1260,Buy,2344華邦電,"6845","35209","28364"
宏遠證券,1260,宏遠證券,1260,Buy,6415矽力*-KY,"6785","6785","0"
宏遠證券,1260,宏遠證券,1260,Buy,6488環球晶,"6541","13907","7366"
宏遠證券,1260,宏遠證券,1260,Buy,00751B元大AAA至A公司債,"6146","6146","0"
宏遠證券,1260,宏遠證券,1260,Buy,1560中砂,"5796","5796","0"
宏遠證券,1260,宏遠證券,1260,Buy,2383台光電,"5645","5662","17"
宏遠證券,1260,宏遠證券,1260,Buy,3167大量,"5246","6578","1332"
宏遠證券,1260,宏遠證券,1260,Buy,2492華新科,"4918","12128","7210"
宏遠證券,1260,宏遠證券,1260,Buy,5536聖暉*,"4600","4600","0"
宏遠證券,1260,宏遠證券,1260,Buy,00635U期元大S＆P黃金,"4574","4574","0"
宏遠證券,1260,宏遠證券,1260,Buy,3036文曄,"4391","4609","218"
宏遠證券,1260,宏遠證券,1260,Buy,3533嘉澤,"4022","4022","0"
宏遠證券,1260,宏遠證券,1260,Buy,6531愛普*,"3488","3488","0"
宏遠證券,1260,宏遠證券,1260,Buy,3406玉晶光,"3434","3434","0"
宏遠證券,1260,宏遠證券,1260,Buy,2884玉山金,"3228","3228","0"
宏遠證券,1260,宏遠證券,1260,Buy,00670L富邦NASDAQ正2,"3037","3037","0"
宏遠證券,1260,宏遠證券,1260,Buy,2313華通,"2943","3571","628"
宏遠證券,1260,宏遠證券,1260,Buy,8081致新,"2680","2680","0"
宏遠證券,1260,宏遠證券,1260,Buy,3037欣興,"2653","19928","17275"
