BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3017奇鋐,"40730","45334","4604"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,4958臻鼎-KY,"15913","36046","20133"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,00735國泰臺韓科技,"9348","9348","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8150南茂,"7722","12721","4999"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2892第一金,"7004","7388","384"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3704合勤控,"6972","6972","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,00881國泰台灣科技龍頭,"6308","6794","486"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2301光寶科,"6288","11836","5548"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2492華新科,"5352","15018","9666"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,4991環宇-KY,"4962","7919","2957"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3026禾伸堂,"4085","12262","8177"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2344華邦電,"4082","20624","16542"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3234光環,"4067","4396","329"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,5371中光電,"4003","4719","716"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3149正達,"3988","5356","1368"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3533嘉澤,"3043","3043","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,5289宜鼎,"3029","3090","61"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,5536聖暉*,"2914","2923","9"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6510精測,"2906","2906","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8112至上,"2825","4359","1534"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,5904寶雅*,"2323","4210","1887"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8210勤誠,"2201","3236","1035"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8033雷虎,"2084","2086","2"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2308台達電,"2083","4060","1977"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,4966譜瑞-KY,"2082","2673","591"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2478大毅,"1917","3563","1646"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,5388中磊,"1901","1901","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6415矽力*-KY,"1862","1862","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6282康舒,"1623","1860","237"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6488環球晶,"1490","6228","4738"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,1519華城,"1442","1446","4"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2891中信金,"1342","1342","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,00980A主動野村臺灣優選,"1333","1481","148"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3036文曄,"1304","1522","218"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,00918大華優利高填息30,"1261","1350","89"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2027大成鋼,"1198","1858","660"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6584南俊國際,"1107","1107","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,3034聯詠,"1059","1609","550"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,4916事欣科,"1056","1571","515"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6533晶心科,"1045","1045","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8155博智,"969","969","0"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8271宇瞻,"950","5382","4432"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6147頎邦,"926","2461","1535"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6830汎銓,"879","1728","849"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,6239力成,"836","2543","1707"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2474可成,"825","1443","618"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8043蜜望實,"801","5104","4303"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8227巨有科技,"776","938","162"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,8039台虹,"756","4729","3973"
富邦證券,9600,富邦-南員林,0039003600310052,Buy,2493揚博,"727","729","2"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,2317鴻海,"-26679","3590","30269"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,6770力積電,"-17864","6394","24258"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,6274台燿,"-17541","8289","25830"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,2330台積電,"-16677","801","17478"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,2409友達,"-16254","9613","25867"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,2337旺宏,"-12097","9313","21410"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,2324仁寶,"-9277","1469","10746"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,8299群聯,"-9264","155","9419"
富邦證券,9600,富邦-南員林,0039003600310052,Sell,4979華星光,"-8700","3","8703"
