BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3149正達,"62694","63332","638"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2059川湖,"36067","36127","60"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2382廣達,"25406","27151","1745"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3443創意,"9985","10200","215"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2330台積電,"9790","14580","4790"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3105穩懋,"9547","63985","54438"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2408南亞科,"7449","30116","22667"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,6239力成,"6730","7081","351"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3533嘉澤,"6265","6265","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,6727亞泰金屬,"6000","6000","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,4958臻鼎-KY,"4352","14448","10096"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3264欣銓,"4299","4741","442"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2609陽明,"3137","5205","2068"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,009816凱基台灣TOP50,"3111","3141","30"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,1514亞力,"3089","3092","3"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,5876上海商銀,"3083","3083","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,6197佳必琪,"3030","3337","307"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3059華晶科,"2858","2858","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2344華邦電,"2842","16398","13556"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2492華新科,"2821","11730","8909"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,6213聯茂,"2807","5182","2375"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,5483中美晶,"2563","9510","6947"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2404漢唐,"2318","3455","1137"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,00980A主動野村臺灣優選,"2302","3263","961"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3017奇鋐,"2293","14220","11927"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3406玉晶光,"2258","2835","577"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,8150南茂,"2103","2500","397"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,00881國泰台灣科技龍頭,"2012","2155","143"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2301光寶科,"1994","7159","5165"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,8033雷虎,"1955","2830","875"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,1303南亞,"1784","6011","4227"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2103台橡,"1765","1793","28"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2368金像電,"1741","10163","8422"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,1708東鹼,"1503","1503","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,1734杏輝,"1489","1489","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,7711永擎,"1331","1779","448"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2377微星,"1167","6922","5755"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,00937B群益ESG投等債20,"1134","1352","218"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,009826貝萊德世界股票,"1100","1203","103"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3324雙鴻,"1034","2110","1076"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2464盟立,"1024","2632","1608"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,5258虹堡,"981","1491","510"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,00963中信全球高股息,"927","927","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,5388中磊,"919","919","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3037欣興,"890","2298","1408"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,6139亞翔,"868","9864","8996"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3702大聯大,"856","1114","258"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,3293鈊象,"771","861","90"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,2645長榮航太,"771","771","0"
永豐金,9A00,永豐金-古亭,0039004100390064,Buy,8043蜜望實,"762","910","148"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6446藥華藥,"-37934","13394","51328"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,00984D主動聯博全球非投,"-22673","0","22673"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2327國巨*,"-16625","17255","33880"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6173信昌電,"-10247","1164","11411"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2317鴻海,"-9477","2826","12303"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2454聯發科,"-6664","1985","8649"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3081聯亞,"-6636","120","6756"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,8299群聯,"-6524","5238","11762"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,8042金山電,"-5115","906","6021"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3532台勝科,"-4836","312","5148"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,5371中光電,"-4827","367","5194"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6442光聖,"-4774","90","4864"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6770力積電,"-4664","2586","7250"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2428興勤,"-3671","502","4173"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6781AES-KY,"-3624","1165","4789"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,8046南電,"-3360","3583","6943"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,00685L群益臺灣加權正2,"-2875","1022","3897"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,1605華新,"-2850","526","3376"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,1560中砂,"-2841","2","2843"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,4590富田-創,"-2754","0","2754"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3260威剛,"-2689","2483","5172"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2455全新,"-2610","60","2670"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,9933中鼎,"-2592","0","2592"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6830汎銓,"-2566","9","2575"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6147頎邦,"-2444","48895","51339"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,7750新代,"-2403","2","2405"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2337旺宏,"-2222","1785","4007"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,0050元大台灣50,"-1961","1758","3719"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,1717長興,"-1902","548","2450"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2376技嘉,"-1807","75","1882"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2449京元電子,"-1783","1083","2866"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,1326台化,"-1775","1543","3318"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6274台燿,"-1720","1660","3380"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,8097常珵,"-1673","0","1673"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,00631L元大台灣50正2,"-1673","7432","9105"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3211順達,"-1643","3898","5541"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3583辛耘,"-1463","10","1473"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6426統新,"-1370","0","1370"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,1802台玻,"-1337","62","1399"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,6187萬潤,"-1277","1065","2342"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,3363上詮,"-1258","3167","4425"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2356英業達,"-1251","1961","3212"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,00981A主動統一台股增長,"-1174","332","1506"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,4979華星光,"-1163","3340","4503"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2049上銀,"-1142","736","1878"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2618長榮航,"-1140","296","1436"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2880華南金,"-1135","910","2045"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,8112至上,"-1110","1570","2680"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,4938和碩,"-1086","9","1095"
永豐金,9A00,永豐金-古亭,0039004100390064,Sell,2801彰銀,"-1068","0","1068"
