BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2915潤泰全,"30766","30766","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,9945潤泰新,"27623","27623","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2344華邦電,"10894","17899","7005"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,8299群聯,"6540","6684","144"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3026禾伸堂,"5316","12131","6815"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2327國巨*,"4408","17554","13146"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,5289宜鼎,"3177","3177","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,8039台虹,"2734","6302","3568"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2408南亞科,"2507","21114","18607"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,8150南茂,"2340","3182","842"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,4958臻鼎-KY,"2006","5808","3802"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,6213聯茂,"1975","10248","8273"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3711日月光投控,"1925","2000","75"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2492華新科,"1920","13009","11089"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2478大毅,"1757","2828","1071"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,6139亞翔,"1637","1637","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2610華航,"1596","1596","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,4147中裕,"1449","1787","338"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,009816凱基台灣TOP50,"1375","2335","960"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3481群創,"1346","3823","2477"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3374精材,"1318","2317","999"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3010華立,"1217","1350","133"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,9958世紀鋼,"1177","1177","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3135凌航,"1165","1165","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,6753龍德造船,"1007","1007","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,00927群益半導體收益,"1000","1041","41"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,5904寶雅*,"978","1096","118"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2337旺宏,"970","3852","2882"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,5351鈺創,"968","1215","247"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,1802台玻,"929","2538","1609"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,3413京鼎,"913","913","0"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,00685L群益臺灣加權正2,"849","1369","520"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,1513中興電,"813","1323","510"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,5347世界,"770","2527","1757"
群益金鼎,9100,群益金鼎-萬華,0039003100330049,Buy,2455全新,"760","760","0"
