BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-斗六,9327,Buy,3234光環,"50166","50721","555"
華南永昌,9300,華南永昌-斗六,9327,Buy,4958臻鼎-KY,"21533","29596","8063"
華南永昌,9300,華南永昌-斗六,9327,Buy,2408南亞科,"12621","26811","14190"
華南永昌,9300,華南永昌-斗六,9327,Buy,2344華邦電,"12406","19545","7139"
華南永昌,9300,華南永昌-斗六,9327,Buy,2368金像電,"9762","18980","9218"
華南永昌,9300,華南永昌-斗六,9327,Buy,2892第一金,"6810","7007","197"
華南永昌,9300,華南永昌-斗六,9327,Buy,5904寶雅*,"5199","8917","3718"
華南永昌,9300,華南永昌-斗六,9327,Buy,2547日勝生,"4877","5027","150"
華南永昌,9300,華南永昌-斗六,9327,Buy,2327國巨*,"4854","16617","11763"
華南永昌,9300,華南永昌-斗六,9327,Buy,3105穩懋,"4239","12094","7855"
華南永昌,9300,華南永昌-斗六,9327,Buy,8150南茂,"3638","8238","4600"
華南永昌,9300,華南永昌-斗六,9327,Buy,3532台勝科,"2740","4625","1885"
華南永昌,9300,華南永昌-斗六,9327,Buy,00984D主動聯博全球非投,"2355","2355","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,8299群聯,"2023","2170","147"
華南永昌,9300,華南永昌-斗六,9327,Buy,3711日月光投控,"2002","2624","622"
華南永昌,9300,華南永昌-斗六,9327,Buy,6715嘉基,"1933","1933","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,8210勤誠,"1701","2065","364"
華南永昌,9300,華南永昌-斗六,9327,Buy,4953緯致,"1644","1644","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6727亞泰金屬,"1612","1612","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6672騰輝電子-KY,"1499","1599","100"
華南永昌,9300,華南永昌-斗六,9327,Buy,2377微星,"1369","3690","2321"
華南永昌,9300,華南永昌-斗六,9327,Buy,2303聯電,"1366","3807","2441"
華南永昌,9300,華南永昌-斗六,9327,Buy,2884玉山金,"1209","1209","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,3135凌航,"1010","1010","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,00881國泰台灣科技龍頭,"971","988","17"
華南永昌,9300,華南永昌-斗六,9327,Buy,00918大華優利高填息30,"945","1013","68"
華南永昌,9300,華南永昌-斗六,9327,Buy,5388中磊,"923","923","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6005群益證,"908","908","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,00686R群益臺灣加權反1,"850","850","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6830汎銓,"846","846","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,2492華新科,"835","15260","14425"
華南永昌,9300,華南永昌-斗六,9327,Buy,3163波若威,"829","6435","5606"
華南永昌,9300,華南永昌-斗六,9327,Buy,7855和運租車,"800","843","43"
華南永昌,9300,華南永昌-斗六,9327,Buy,1785光洋科,"790","1115","325"
華南永昌,9300,華南永昌-斗六,9327,Buy,6456GIS-KY,"697","697","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,3305昇貿,"689","689","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,5864致和證,"668","668","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,00878國泰永續高股息,"662","873","211"
華南永昌,9300,華南永昌-斗六,9327,Buy,3374精材,"654","5617","4963"
華南永昌,9300,華南永昌-斗六,9327,Buy,2385群光,"629","629","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,2388威盛,"624","624","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,2313華通,"617","2536","1919"
華南永昌,9300,華南永昌-斗六,9327,Buy,4967十銓,"552","1112","560"
華南永昌,9300,華南永昌-斗六,9327,Buy,5880合庫金,"507","507","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6147頎邦,"505","2238","1733"
華南永昌,9300,華南永昌-斗六,9327,Buy,6533晶心科,"502","502","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,6415矽力*-KY,"459","459","0"
華南永昌,9300,華南永昌-斗六,9327,Buy,4938和碩,"443","1017","574"
華南永昌,9300,華南永昌-斗六,9327,Buy,8131福懋科,"441","1156","715"
華南永昌,9300,華南永昌-斗六,9327,Buy,8043蜜望實,"435","613","178"
華南永昌,9300,華南永昌-斗六,9327,Sell,6770力積電,"-58523","6348","64871"
華南永昌,9300,華南永昌-斗六,9327,Sell,2317鴻海,"-11117","81","11198"
華南永昌,9300,華南永昌-斗六,9327,Sell,2301光寶科,"-10300","7999","18299"
華南永昌,9300,華南永昌-斗六,9327,Sell,6414樺漢,"-8145","0","8145"
華南永昌,9300,華南永昌-斗六,9327,Sell,8271宇瞻,"-6977","73","7050"
華南永昌,9300,華南永昌-斗六,9327,Sell,6488環球晶,"-6300","0","6300"
華南永昌,9300,華南永昌-斗六,9327,Sell,2454聯發科,"-5736","12179","17915"
華南永昌,9300,華南永昌-斗六,9327,Sell,3231緯創,"-5487","1732","7219"
華南永昌,9300,華南永昌-斗六,9327,Sell,3443創意,"-5299","66","5365"
華南永昌,9300,華南永昌-斗六,9327,Sell,00631L元大台灣50正2,"-4579","106","4685"
華南永昌,9300,華南永昌-斗六,9327,Sell,6446藥華藥,"-4379","2900","7279"
華南永昌,9300,華南永昌-斗六,9327,Sell,3026禾伸堂,"-3999","8230","12229"
華南永昌,9300,華南永昌-斗六,9327,Sell,2337旺宏,"-3975","6289","10264"
華南永昌,9300,華南永昌-斗六,9327,Sell,00961FT臺灣永續高息,"-3950","687","4637"
華南永昌,9300,華南永昌-斗六,9327,Sell,8046南電,"-3913","1135","5048"
華南永昌,9300,華南永昌-斗六,9327,Sell,3008大立光,"-3877","1101","4978"
華南永昌,9300,華南永昌-斗六,9327,Sell,2382廣達,"-3148","1628","4776"
華南永昌,9300,華南永昌-斗六,9327,Sell,00407A主動凱基台灣,"-2948","28","2976"
華南永昌,9300,華南永昌-斗六,9327,Sell,1605華新,"-2903","850","3753"
華南永昌,9300,華南永昌-斗六,9327,Sell,5386青雲,"-2770","0","2770"
華南永昌,9300,華南永昌-斗六,9327,Sell,3081聯亞,"-2517","447","2964"
華南永昌,9300,華南永昌-斗六,9327,Sell,2324仁寶,"-2492","2238","4730"
華南永昌,9300,華南永昌-斗六,9327,Sell,3533嘉澤,"-2294","20","2314"
華南永昌,9300,華南永昌-斗六,9327,Sell,2449京元電子,"-2196","2540","4736"
華南永昌,9300,華南永昌-斗六,9327,Sell,3037欣興,"-2192","10","2202"
華南永昌,9300,華南永昌-斗六,9327,Sell,1303南亞,"-2129","5821","7950"
華南永昌,9300,華南永昌-斗六,9327,Sell,00991A主動復華未來50,"-2028","125","2153"
華南永昌,9300,華南永昌-斗六,9327,Sell,1717長興,"-1879","78","1957"
華南永昌,9300,華南永昌-斗六,9327,Sell,2376技嘉,"-1798","0","1798"
華南永昌,9300,華南永昌-斗六,9327,Sell,2476鉅祥,"-1778","0","1778"
華南永昌,9300,華南永昌-斗六,9327,Sell,009821野村稀土關鍵資源,"-1773","0","1773"
華南永昌,9300,華南永昌-斗六,9327,Sell,3035智原,"-1749","45","1794"
華南永昌,9300,華南永昌-斗六,9327,Sell,0050元大台灣50,"-1730","1080","2810"
華南永昌,9300,華南永昌-斗六,9327,Sell,6182合晶,"-1622","200","1822"
華南永昌,9300,華南永昌-斗六,9327,Sell,00403A主動統一升級50,"-1544","160","1704"
華南永昌,9300,華南永昌-斗六,9327,Sell,6016康和證,"-1526","0","1526"
華南永昌,9300,華南永昌-斗六,9327,Sell,2404漢唐,"-1490","0","1490"
華南永昌,9300,華南永昌-斗六,9327,Sell,2354鴻準,"-1438","349","1787"
華南永昌,9300,華南永昌-斗六,9327,Sell,3006晶豪科,"-1365","0","1365"
華南永昌,9300,華南永昌-斗六,9327,Sell,3491昇達科,"-1330","13","1343"
華南永昌,9300,華南永昌-斗六,9327,Sell,6451訊芯-KY,"-1329","455","1784"
華南永昌,9300,華南永昌-斗六,9327,Sell,3036文曄,"-1308","0","1308"
華南永昌,9300,華南永昌-斗六,9327,Sell,3260威剛,"-1273","6","1279"
華南永昌,9300,華南永昌-斗六,9327,Sell,6285啟碁,"-1257","1006","2263"
華南永昌,9300,華南永昌-斗六,9327,Sell,2330台積電,"-1227","2888","4115"
華南永昌,9300,華南永昌-斗六,9327,Sell,2049上銀,"-1216","0","1216"
華南永昌,9300,華南永昌-斗六,9327,Sell,00685L群益臺灣加權正2,"-1211","1556","2767"
華南永昌,9300,華南永昌-斗六,9327,Sell,4540全球傳動,"-1193","0","1193"
華南永昌,9300,華南永昌-斗六,9327,Sell,3577泓格,"-1175","0","1175"
華南永昌,9300,華南永昌-斗六,9327,Sell,8358金居,"-1130","0","1130"
