BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
第一金,5380,第一金-新興,0035003300380041,Buy,6515穎崴,"27761","27761","0"
第一金,5380,第一金-新興,0035003300380041,Buy,3363上詮,"23189","23189","0"
第一金,5380,第一金-新興,0035003300380041,Buy,2327國巨*,"18160","37486","19326"
第一金,5380,第一金-新興,0035003300380041,Buy,2317鴻海,"12365","17415","5050"
第一金,5380,第一金-新興,0035003300380041,Buy,2344華邦電,"11886","30486","18600"
第一金,5380,第一金-新興,0035003300380041,Buy,5289宜鼎,"8490","10876","2386"
第一金,5380,第一金-新興,0035003300380041,Buy,3026禾伸堂,"7529","12616","5087"
第一金,5380,第一金-新興,0035003300380041,Buy,6669緯穎,"5950","6255","305"
第一金,5380,第一金-新興,0035003300380041,Buy,3048益登,"5912","6716","804"
第一金,5380,第一金-新興,0035003300380041,Buy,00830國泰費城半導體,"5833","5950","117"
第一金,5380,第一金-新興,0035003300380041,Buy,8358金居,"5270","11929","6659"
第一金,5380,第一金-新興,0035003300380041,Buy,00929復華台灣科技優息,"3702","3702","0"
第一金,5380,第一金-新興,0035003300380041,Buy,6446藥華藥,"3355","7343","3988"
第一金,5380,第一金-新興,0035003300380041,Buy,1590亞德客-KY,"3014","3015","1"
第一金,5380,第一金-新興,0035003300380041,Buy,6442光聖,"3013","4846","1833"
第一金,5380,第一金-新興,0035003300380041,Buy,3533嘉澤,"2954","2954","0"
第一金,5380,第一金-新興,0035003300380041,Buy,5904寶雅*,"2662","3105","443"
第一金,5380,第一金-新興,0035003300380041,Buy,2404漢唐,"2335","2358","23"
第一金,5380,第一金-新興,0035003300380041,Buy,2885元大金,"2055","2145","90"
第一金,5380,第一金-新興,0035003300380041,Buy,2382廣達,"1970","2619","649"
第一金,5380,第一金-新興,0035003300380041,Buy,2478大毅,"1931","2334","403"
第一金,5380,第一金-新興,0035003300380041,Buy,2316楠梓電,"1826","1826","0"
第一金,5380,第一金-新興,0035003300380041,Buy,3481群創,"1598","5540","3942"
第一金,5380,第一金-新興,0035003300380041,Buy,2880華南金,"1444","1452","8"
第一金,5380,第一金-新興,0035003300380041,Buy,6770力積電,"1313","15694","14381"
第一金,5380,第一金-新興,0035003300380041,Buy,3045台灣大,"1294","1296","2"
第一金,5380,第一金-新興,0035003300380041,Buy,4967十銓,"1276","1276","0"
第一金,5380,第一金-新興,0035003300380041,Buy,00961FT臺灣永續高息,"1264","1264","0"
第一金,5380,第一金-新興,0035003300380041,Buy,6121新普,"1260","2138","878"
第一金,5380,第一金-新興,0035003300380041,Buy,00632R元大台灣50反1,"1241","1579","338"
第一金,5380,第一金-新興,0035003300380041,Buy,2451創見,"1228","1530","302"
第一金,5380,第一金-新興,0035003300380041,Buy,5285界霖,"1218","1218","0"
第一金,5380,第一金-新興,0035003300380041,Buy,2610華航,"1196","1196","0"
第一金,5380,第一金-新興,0035003300380041,Buy,1102亞泥,"1181","1181","0"
第一金,5380,第一金-新興,0035003300380041,Buy,8996高力,"1181","3692","2511"
第一金,5380,第一金-新興,0035003300380041,Buy,6278台表科,"1177","2857","1680"
第一金,5380,第一金-新興,0035003300380041,Buy,8271宇瞻,"1176","1638","462"
第一金,5380,第一金-新興,0035003300380041,Buy,1314中石化,"1141","1180","39"
第一金,5380,第一金-新興,0035003300380041,Buy,2449京元電子,"1116","2947","1831"
第一金,5380,第一金-新興,0035003300380041,Buy,2105正新,"1073","1073","0"
第一金,5380,第一金-新興,0035003300380041,Buy,6739竹陞科技,"1065","1065","0"
第一金,5380,第一金-新興,0035003300380041,Buy,8033雷虎,"1057","2135","1078"
第一金,5380,第一金-新興,0035003300380041,Buy,3260威剛,"1050","2079","1029"
第一金,5380,第一金-新興,0035003300380041,Buy,4971IET-KY,"1025","1025","0"
第一金,5380,第一金-新興,0035003300380041,Buy,9105泰金寶-DR,"989","997","8"
第一金,5380,第一金-新興,0035003300380041,Buy,5536聖暉*,"942","942","0"
第一金,5380,第一金-新興,0035003300380041,Buy,2645長榮航太,"916","916","0"
第一金,5380,第一金-新興,0035003300380041,Buy,3324雙鴻,"871","4548","3677"
第一金,5380,第一金-新興,0035003300380041,Buy,6531愛普*,"862","910","48"
