BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
美好,5260,美好-高雄,5264,Buy,2211長榮鋼,"4270","4270","0"
美好,5260,美好-高雄,5264,Buy,2344華邦電,"3355","5418","2063"
美好,5260,美好-高雄,5264,Buy,6719力智,"2291","2291","0"
美好,5260,美好-高雄,5264,Buy,3026禾伸堂,"2252","5181","2929"
美好,5260,美好-高雄,5264,Buy,2880華南金,"1911","1989","78"
美好,5260,美好-高雄,5264,Buy,8043蜜望實,"1750","2063","313"
美好,5260,美好-高雄,5264,Buy,2301光寶科,"1661","1665","4"
美好,5260,美好-高雄,5264,Buy,6442光聖,"1537","1585","48"
美好,5260,美好-高雄,5264,Buy,8358金居,"1405","2318","913"
美好,5260,美好-高雄,5264,Buy,4979華星光,"1194","1794","600"
美好,5260,美好-高雄,5264,Buy,3324雙鴻,"1171","1192","21"
美好,5260,美好-高雄,5264,Buy,6488環球晶,"975","1000","25"
美好,5260,美好-高雄,5264,Buy,2449京元電子,"901","1155","254"
美好,5260,美好-高雄,5264,Buy,2317鴻海,"841","1627","786"
美好,5260,美好-高雄,5264,Buy,6139亞翔,"825","825","0"
美好,5260,美好-高雄,5264,Buy,2481強茂,"743","1619","876"
美好,5260,美好-高雄,5264,Buy,3533嘉澤,"743","743","0"
美好,5260,美好-高雄,5264,Buy,2478大毅,"650","650","0"
美好,5260,美好-高雄,5264,Buy,6672騰輝電子-KY,"558","558","0"
美好,5260,美好-高雄,5264,Buy,5483中美晶,"521","1091","570"
美好,5260,美好-高雄,5264,Buy,4991環宇-KY,"493","493","0"
美好,5260,美好-高雄,5264,Buy,4958臻鼎-KY,"473","956","483"
美好,5260,美好-高雄,5264,Buy,009816凱基台灣TOP50,"439","486","47"
美好,5260,美好-高雄,5264,Buy,6698旭暉應材,"423","423","0"
美好,5260,美好-高雄,5264,Buy,1802台玻,"418","418","0"
美好,5260,美好-高雄,5264,Buy,3702大聯大,"363","363","0"
美好,5260,美好-高雄,5264,Buy,2382廣達,"355","355","0"
美好,5260,美好-高雄,5264,Buy,3374精材,"348","1666","1318"
美好,5260,美好-高雄,5264,Buy,2324仁寶,"326","371","45"
美好,5260,美好-高雄,5264,Buy,2354鴻準,"314","314","0"
美好,5260,美好-高雄,5264,Buy,4585達明,"313","313","0"
美好,5260,美好-高雄,5264,Buy,2883凱基金,"308","623","315"
美好,5260,美好-高雄,5264,Buy,3481群創,"291","306","15"
美好,5260,美好-高雄,5264,Buy,2428興勤,"265","265","0"
美好,5260,美好-高雄,5264,Buy,3581博磊,"252","252","0"
美好,5260,美好-高雄,5264,Buy,8271宇瞻,"230","230","0"
美好,5260,美好-高雄,5264,Buy,1477聚陽,"217","217","0"
美好,5260,美好-高雄,5264,Buy,2603長榮,"216","216","0"
美好,5260,美好-高雄,5264,Buy,2609陽明,"215","215","0"
美好,5260,美好-高雄,5264,Buy,6182合晶,"209","435","226"
美好,5260,美好-高雄,5264,Buy,3037欣興,"202","202","0"
美好,5260,美好-高雄,5264,Buy,6770力積電,"193","691","498"
美好,5260,美好-高雄,5264,Buy,6278台表科,"171","171","0"
美好,5260,美好-高雄,5264,Buy,8069元太,"168","510","342"
