BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-屏東,9892,Buy,2327國巨*,"16276","34086","17810"
元大證券,9800,元大-屏東,9892,Buy,2385群光,"9630","9630","0"
元大證券,9800,元大-屏東,9892,Buy,6182合晶,"9021","15307","6286"
元大證券,9800,元大-屏東,9892,Buy,2303聯電,"5828","10501","4673"
元大證券,9800,元大-屏東,9892,Buy,8299群聯,"5751","14712","8961"
元大證券,9800,元大-屏東,9892,Buy,2408南亞科,"5604","33080","27476"
元大證券,9800,元大-屏東,9892,Buy,00878國泰永續高股息,"5175","6966","1791"
元大證券,9800,元大-屏東,9892,Buy,8358金居,"5136","12957","7821"
元大證券,9800,元大-屏東,9892,Buy,2301光寶科,"3518","7581","4063"
元大證券,9800,元大-屏東,9892,Buy,2645長榮航太,"3291","3888","597"
元大證券,9800,元大-屏東,9892,Buy,3533嘉澤,"2708","2931","223"
元大證券,9800,元大-屏東,9892,Buy,2449京元電子,"2531","3033","502"
元大證券,9800,元大-屏東,9892,Buy,2103台橡,"2376","3161","785"
元大證券,9800,元大-屏東,9892,Buy,6488環球晶,"2267","5482","3215"
元大證券,9800,元大-屏東,9892,Buy,2379瑞昱,"2266","3776","1510"
元大證券,9800,元大-屏東,9892,Buy,00961FT臺灣永續高息,"2218","2540","322"
元大證券,9800,元大-屏東,9892,Buy,3665貿聯-KY,"2187","2216","29"
元大證券,9800,元大-屏東,9892,Buy,3260威剛,"2149","2265","116"
元大證券,9800,元大-屏東,9892,Buy,3019亞光,"2073","2073","0"
元大證券,9800,元大-屏東,9892,Buy,5289宜鼎,"2038","2053","15"
元大證券,9800,元大-屏東,9892,Buy,3034聯詠,"1817","2329","512"
元大證券,9800,元大-屏東,9892,Buy,00891中信關鍵半導體,"1791","2413","622"
元大證券,9800,元大-屏東,9892,Buy,6239力成,"1734","2011","277"
元大證券,9800,元大-屏東,9892,Buy,2618長榮航,"1721","1800","79"
元大證券,9800,元大-屏東,9892,Buy,3374精材,"1648","3708","2060"
元大證券,9800,元大-屏東,9892,Buy,8271宇瞻,"1618","1857","239"
元大證券,9800,元大-屏東,9892,Buy,5904寶雅*,"1549","1713","164"
元大證券,9800,元大-屏東,9892,Buy,6187萬潤,"1544","3031","1487"
元大證券,9800,元大-屏東,9892,Buy,0052富邦科技,"1520","1818","298"
元大證券,9800,元大-屏東,9892,Buy,00929復華台灣科技優息,"1425","1425","0"
元大證券,9800,元大-屏東,9892,Buy,9105泰金寶-DR,"1417","1597","180"
元大證券,9800,元大-屏東,9892,Buy,1717長興,"1416","2145","729"
元大證券,9800,元大-屏東,9892,Buy,3357臺慶科,"1408","1648","240"
