BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-台中港,7005,Buy,2327國巨*,"42751","55867","13116"
兆豐證券,7000,兆豐-台中港,7005,Buy,8299群聯,"25358","42224","16866"
兆豐證券,7000,兆豐-台中港,7005,Buy,2454聯發科,"10938","23138","12200"
兆豐證券,7000,兆豐-台中港,7005,Buy,00919群益台灣精選高息,"9891","10662","771"
兆豐證券,7000,兆豐-台中港,7005,Buy,2408南亞科,"9245","35411","26166"
兆豐證券,7000,兆豐-台中港,7005,Buy,3034聯詠,"8201","9222","1021"
兆豐證券,7000,兆豐-台中港,7005,Buy,6223旺矽,"6673","19553","12880"
兆豐證券,7000,兆豐-台中港,7005,Buy,2330台積電,"6623","15235","8612"
兆豐證券,7000,兆豐-台中港,7005,Buy,3231緯創,"5486","14897","9411"
兆豐證券,7000,兆豐-台中港,7005,Buy,3711日月光投控,"5408","6706","1298"
兆豐證券,7000,兆豐-台中港,7005,Buy,3081聯亞,"5047","5073","26"
兆豐證券,7000,兆豐-台中港,7005,Buy,4967十銓,"5018","5875","857"
兆豐證券,7000,兆豐-台中港,7005,Buy,6547高端疫苗,"4885","5143","258"
兆豐證券,7000,兆豐-台中港,7005,Buy,6182合晶,"4771","18615","13844"
兆豐證券,7000,兆豐-台中港,7005,Buy,2449京元電子,"4473","4724","251"
兆豐證券,7000,兆豐-台中港,7005,Buy,2467志聖,"4382","4435","53"
兆豐證券,7000,兆豐-台中港,7005,Buy,8150南茂,"4301","18843","14542"
兆豐證券,7000,兆豐-台中港,7005,Buy,00878國泰永續高股息,"4087","4709","622"
兆豐證券,7000,兆豐-台中港,7005,Buy,7828創新服務,"3979","3979","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,3017奇鋐,"3848","13067","9219"
兆豐證券,7000,兆豐-台中港,7005,Buy,2492華新科,"3759","10611","6852"
兆豐證券,7000,兆豐-台中港,7005,Buy,2404漢唐,"3463","4583","1120"
兆豐證券,7000,兆豐-台中港,7005,Buy,00881國泰台灣科技龍頭,"3101","3266","165"
兆豐證券,7000,兆豐-台中港,7005,Buy,5871中租-KY,"3033","3368","335"
兆豐證券,7000,兆豐-台中港,7005,Buy,2377微星,"2759","3273","514"
兆豐證券,7000,兆豐-台中港,7005,Buy,2395研華,"2700","2734","34"
兆豐證券,7000,兆豐-台中港,7005,Buy,00642U期元大S＆P石油,"2519","2519","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,2002中鋼,"2283","2720","437"
兆豐證券,7000,兆豐-台中港,7005,Buy,00929復華台灣科技優息,"2208","2208","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,5904寶雅*,"2190","2270","80"
兆豐證券,7000,兆豐-台中港,7005,Buy,2486一詮,"2103","2333","230"
兆豐證券,7000,兆豐-台中港,7005,Buy,2101南港,"1967","1967","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,6432今展科,"1926","1998","72"
兆豐證券,7000,兆豐-台中港,7005,Buy,00982A主動群益台灣強棒,"1804","1874","70"
兆豐證券,7000,兆豐-台中港,7005,Buy,3532台勝科,"1677","3074","1397"
兆豐證券,7000,兆豐-台中港,7005,Buy,009808華南永昌優選50,"1567","1567","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,1717長興,"1564","1782","218"
兆豐證券,7000,兆豐-台中港,7005,Buy,6782視陽,"1470","1470","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,5269祥碩,"1418","1418","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,3019亞光,"1411","1411","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,2027大成鋼,"1377","1377","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,6274台燿,"1364","1670","306"
兆豐證券,7000,兆豐-台中港,7005,Buy,4939亞電,"1269","2159","890"
兆豐證券,7000,兆豐-台中港,7005,Buy,3413京鼎,"1256","1552","296"
兆豐證券,7000,兆豐-台中港,7005,Buy,3022威強電,"1244","1244","0"
兆豐證券,7000,兆豐-台中港,7005,Buy,3624光頡,"1209","1757","548"
兆豐證券,7000,兆豐-台中港,7005,Buy,6147頎邦,"1174","1823","649"
兆豐證券,7000,兆豐-台中港,7005,Buy,3048益登,"1135","1313","178"
兆豐證券,7000,兆豐-台中港,7005,Buy,8033雷虎,"1105","3242","2137"
兆豐證券,7000,兆豐-台中港,7005,Buy,3533嘉澤,"1077","1077","0"
兆豐證券,7000,兆豐-台中港,7005,Sell,2344華邦電,"-23493","28341","51834"
兆豐證券,7000,兆豐-台中港,7005,Sell,2324仁寶,"-17208","1164","18372"
兆豐證券,7000,兆豐-台中港,7005,Sell,1303南亞,"-12899","4695","17594"
兆豐證券,7000,兆豐-台中港,7005,Sell,2883凱基金,"-11750","2465","14215"
兆豐證券,7000,兆豐-台中港,7005,Sell,0050元大台灣50,"-11642","772","12414"
兆豐證券,7000,兆豐-台中港,7005,Sell,6770力積電,"-11221","24431","35652"
兆豐證券,7000,兆豐-台中港,7005,Sell,0056元大高股息,"-7923","352","8275"
兆豐證券,7000,兆豐-台中港,7005,Sell,6669緯穎,"-7656","104","7760"
兆豐證券,7000,兆豐-台中港,7005,Sell,3443創意,"-6350","5","6355"
兆豐證券,7000,兆豐-台中港,7005,Sell,00685L群益臺灣加權正2,"-5666","1201","6867"
兆豐證券,7000,兆豐-台中港,7005,Sell,2357華碩,"-5475","3149","8624"
兆豐證券,7000,兆豐-台中港,7005,Sell,8996高力,"-5207","8","5215"
兆豐證券,7000,兆豐-台中港,7005,Sell,2610華航,"-5192","380","5572"
兆豐證券,7000,兆豐-台中港,7005,Sell,2308台達電,"-5060","2678","7738"
兆豐證券,7000,兆豐-台中港,7005,Sell,00981A主動統一台股增長,"-4925","283","5208"
兆豐證券,7000,兆豐-台中港,7005,Sell,2312金寶,"-4710","1985","6695"
兆豐證券,7000,兆豐-台中港,7005,Sell,2383台光電,"-4620","136","4756"
兆豐證券,7000,兆豐-台中港,7005,Sell,3324雙鴻,"-4245","27","4272"
兆豐證券,7000,兆豐-台中港,7005,Sell,5347世界,"-4136","688","4824"
兆豐證券,7000,兆豐-台中港,7005,Sell,2313華通,"-4093","626","4719"
兆豐證券,7000,兆豐-台中港,7005,Sell,00631L元大台灣50正2,"-3805","23203","27008"
兆豐證券,7000,兆豐-台中港,7005,Sell,2317鴻海,"-3561","7168","10729"
兆豐證券,7000,兆豐-台中港,7005,Sell,3008大立光,"-3523","1421","4944"
