BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
合庫證券,1020,合庫-鳳山,1029,Buy,8299群聯,"28304","52640","24336"
合庫證券,1020,合庫-鳳山,1029,Buy,2887台新新光金,"20994","22401","1407"
合庫證券,1020,合庫-鳳山,1029,Buy,5871中租-KY,"17999","17999","0"
合庫證券,1020,合庫-鳳山,1029,Buy,2327國巨*,"9129","22711","13582"
合庫證券,1020,合庫-鳳山,1029,Buy,2303聯電,"8320","10322","2002"
合庫證券,1020,合庫-鳳山,1029,Buy,00881國泰台灣科技龍頭,"7152","7373","221"
合庫證券,1020,合庫-鳳山,1029,Buy,8210勤誠,"7001","7053","52"
合庫證券,1020,合庫-鳳山,1029,Buy,6182合晶,"6536","9570","3034"
合庫證券,1020,合庫-鳳山,1029,Buy,6187萬潤,"6504","7793","1289"
合庫證券,1020,合庫-鳳山,1029,Buy,3105穩懋,"6092","7620","1528"
合庫證券,1020,合庫-鳳山,1029,Buy,4979華星光,"5891","5891","0"
合庫證券,1020,合庫-鳳山,1029,Buy,00989B台新美國非投等債,"5829","5829","0"
合庫證券,1020,合庫-鳳山,1029,Buy,00891中信關鍵半導體,"4109","4439","330"
合庫證券,1020,合庫-鳳山,1029,Buy,8358金居,"4070","15546","11476"
合庫證券,1020,合庫-鳳山,1029,Buy,00878國泰永續高股息,"4000","4344","344"
合庫證券,1020,合庫-鳳山,1029,Buy,6584南俊國際,"3873","4615","742"
合庫證券,1020,合庫-鳳山,1029,Buy,2880華南金,"3022","3022","0"
合庫證券,1020,合庫-鳳山,1029,Buy,5475德宏,"2999","4253","1254"
合庫證券,1020,合庫-鳳山,1029,Buy,3357臺慶科,"2844","2844","0"
合庫證券,1020,合庫-鳳山,1029,Buy,8261富鼎,"2768","2956","188"
合庫證券,1020,合庫-鳳山,1029,Buy,6139亞翔,"2673","7458","4785"
合庫證券,1020,合庫-鳳山,1029,Buy,2492華新科,"2566","8759","6193"
合庫證券,1020,合庫-鳳山,1029,Buy,2330台積電,"2521","10322","7801"
合庫證券,1020,合庫-鳳山,1029,Buy,6525捷敏-KY,"2352","2647","295"
合庫證券,1020,合庫-鳳山,1029,Buy,3711日月光投控,"2010","12917","10907"
合庫證券,1020,合庫-鳳山,1029,Buy,4541晟田,"1863","2818","955"
合庫證券,1020,合庫-鳳山,1029,Buy,2377微星,"1856","4261","2405"
合庫證券,1020,合庫-鳳山,1029,Buy,6414樺漢,"1785","2205","420"
合庫證券,1020,合庫-鳳山,1029,Buy,6239力成,"1603","2469","866"
合庫證券,1020,合庫-鳳山,1029,Buy,2382廣達,"1564","4301","2737"
合庫證券,1020,合庫-鳳山,1029,Buy,2059川湖,"1502","1576","74"
合庫證券,1020,合庫-鳳山,1029,Buy,3026禾伸堂,"1438","2098","660"
合庫證券,1020,合庫-鳳山,1029,Buy,00406A主動中信台灣收益,"1378","2543","1165"
合庫證券,1020,合庫-鳳山,1029,Buy,5904寶雅*,"1356","1842","486"
合庫證券,1020,合庫-鳳山,1029,Buy,6285啟碁,"1347","2050","703"
合庫證券,1020,合庫-鳳山,1029,Buy,1785光洋科,"1283","1283","0"
合庫證券,1020,合庫-鳳山,1029,Buy,2472立隆電,"1268","1518","250"
合庫證券,1020,合庫-鳳山,1029,Buy,2465麗臺,"1219","1219","0"
合庫證券,1020,合庫-鳳山,1029,Buy,8096擎亞,"1186","1186","0"
合庫證券,1020,合庫-鳳山,1029,Buy,6442光聖,"1162","4707","3545"
合庫證券,1020,合庫-鳳山,1029,Buy,4967十銓,"1158","1986","828"
合庫證券,1020,合庫-鳳山,1029,Buy,8091翔名,"1155","1155","0"
合庫證券,1020,合庫-鳳山,1029,Buy,8150南茂,"1125","2357","1232"
合庫證券,1020,合庫-鳳山,1029,Buy,1717長興,"1098","2463","1365"
合庫證券,1020,合庫-鳳山,1029,Buy,2231為升,"1050","1050","0"
合庫證券,1020,合庫-鳳山,1029,Buy,00933B國泰10Y+金融債,"1031","1031","0"
合庫證券,1020,合庫-鳳山,1029,Buy,8271宇瞻,"984","1214","230"
合庫證券,1020,合庫-鳳山,1029,Buy,5371中光電,"881","3054","2173"
合庫證券,1020,合庫-鳳山,1029,Buy,3036文曄,"850","1062","212"
合庫證券,1020,合庫-鳳山,1029,Buy,4760勤凱,"841","1128","287"
合庫證券,1020,合庫-鳳山,1029,Sell,1303南亞,"-27900","3279","31179"
合庫證券,1020,合庫-鳳山,1029,Sell,2344華邦電,"-20785","13635","34420"
合庫證券,1020,合庫-鳳山,1029,Sell,00715L期街口布蘭特正2,"-14710","93","14803"
合庫證券,1020,合庫-鳳山,1029,Sell,3661世芯-KY,"-12912","218","13130"
合庫證券,1020,合庫-鳳山,1029,Sell,6770力積電,"-12440","13184","25624"
合庫證券,1020,合庫-鳳山,1029,Sell,8046南電,"-7973","3928","11901"
合庫證券,1020,合庫-鳳山,1029,Sell,8039台虹,"-7935","5400","13335"
合庫證券,1020,合庫-鳳山,1029,Sell,3481群創,"-7470","3370","10840"
合庫證券,1020,合庫-鳳山,1029,Sell,2324仁寶,"-6282","1550","7832"
合庫證券,1020,合庫-鳳山,1029,Sell,4958臻鼎-KY,"-5276","10549","15825"
合庫證券,1020,合庫-鳳山,1029,Sell,5289宜鼎,"-4898","1515","6413"
合庫證券,1020,合庫-鳳山,1029,Sell,7610聯友金屬-創,"-4891","71","4962"
合庫證券,1020,合庫-鳳山,1029,Sell,3008大立光,"-4833","69","4902"
合庫證券,1020,合庫-鳳山,1029,Sell,2634漢翔,"-4599","1246","5845"
合庫證券,1020,合庫-鳳山,1029,Sell,00919群益台灣精選高息,"-4192","1075","5267"
合庫證券,1020,合庫-鳳山,1029,Sell,3231緯創,"-4116","8777","12893"
合庫證券,1020,合庫-鳳山,1029,Sell,0050元大台灣50,"-4004","2399","6403"
合庫證券,1020,合庫-鳳山,1029,Sell,7795長廣,"-3993","656","4649"
合庫證券,1020,合庫-鳳山,1029,Sell,4966譜瑞-KY,"-3343","1295","4638"
合庫證券,1020,合庫-鳳山,1029,Sell,00403A主動統一升級50,"-3335","664","3999"
合庫證券,1020,合庫-鳳山,1029,Sell,2454聯發科,"-3195","785","3980"
合庫證券,1020,合庫-鳳山,1029,Sell,3037欣興,"-3139","51","3190"
合庫證券,1020,合庫-鳳山,1029,Sell,6510精測,"-2950","0","2950"
合庫證券,1020,合庫-鳳山,1029,Sell,3081聯亞,"-2902","59","2961"
合庫證券,1020,合庫-鳳山,1029,Sell,2337旺宏,"-2702","4965","7667"
合庫證券,1020,合庫-鳳山,1029,Sell,5386青雲,"-2600","5","2605"
合庫證券,1020,合庫-鳳山,1029,Sell,2603長榮,"-2586","392","2978"
合庫證券,1020,合庫-鳳山,1029,Sell,00991A主動復華未來50,"-2546","229","2775"
合庫證券,1020,合庫-鳳山,1029,Sell,8033雷虎,"-2234","1897","4131"
合庫證券,1020,合庫-鳳山,1029,Sell,00981A主動統一台股增長,"-2123","3707","5830"
合庫證券,1020,合庫-鳳山,1029,Sell,2301光寶科,"-2007","1221","3228"
合庫證券,1020,合庫-鳳山,1029,Sell,2892第一金,"-1980","0","1980"
合庫證券,1020,合庫-鳳山,1029,Sell,009816凱基台灣TOP50,"-1972","206","2178"
合庫證券,1020,合庫-鳳山,1029,Sell,3260威剛,"-1826","1654","3480"
合庫證券,1020,合庫-鳳山,1029,Sell,6449鈺邦,"-1751","631","2382"
合庫證券,1020,合庫-鳳山,1029,Sell,3189景碩,"-1703","1102","2805"
合庫證券,1020,合庫-鳳山,1029,Sell,00631L元大台灣50正2,"-1622","1361","2983"
合庫證券,1020,合庫-鳳山,1029,Sell,2308台達電,"-1608","17220","18828"
合庫證券,1020,合庫-鳳山,1029,Sell,2379瑞昱,"-1530","75","1605"
合庫證券,1020,合庫-鳳山,1029,Sell,00988A主動統一全球創新,"-1468","192","1660"
合庫證券,1020,合庫-鳳山,1029,Sell,2356英業達,"-1324","1071","2395"
合庫證券,1020,合庫-鳳山,1029,Sell,3653健策,"-1320","23","1343"
合庫證券,1020,合庫-鳳山,1029,Sell,2353宏碁,"-1298","66","1364"
合庫證券,1020,合庫-鳳山,1029,Sell,2383台光電,"-1283","37","1320"
合庫證券,1020,合庫-鳳山,1029,Sell,5483中美晶,"-1244","4164","5408"
合庫證券,1020,合庫-鳳山,1029,Sell,2376技嘉,"-1168","451","1619"
合庫證券,1020,合庫-鳳山,1029,Sell,3030德律,"-1164","30","1194"
合庫證券,1020,合庫-鳳山,1029,Sell,6672騰輝電子-KY,"-1164","2945","4109"
合庫證券,1020,合庫-鳳山,1029,Sell,5288豐祥-KY,"-1128","0","1128"
合庫證券,1020,合庫-鳳山,1029,Sell,3665貿聯-KY,"-1110","0","1110"
