BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
統一,5850,統一-彰化,0035003800350046,Buy,2327國巨*,"11091","16194","5103"
統一,5850,統一-彰化,0035003800350046,Buy,8299群聯,"10757","17501","6744"
統一,5850,統一-彰化,0035003800350046,Buy,3260威剛,"8490","10210","1720"
統一,5850,統一-彰化,0035003800350046,Buy,3533嘉澤,"7657","7657","0"
統一,5850,統一-彰化,0035003800350046,Buy,6515穎崴,"6839","6839","0"
統一,5850,統一-彰化,0035003800350046,Buy,2492華新科,"5445","7435","1990"
統一,5850,統一-彰化,0035003800350046,Buy,3324雙鴻,"5173","5173","0"
統一,5850,統一-彰化,0035003800350046,Buy,8046南電,"5078","10412","5334"
統一,5850,統一-彰化,0035003800350046,Buy,2481強茂,"5018","5018","0"
統一,5850,統一-彰化,0035003800350046,Buy,2317鴻海,"4591","5930","1339"
統一,5850,統一-彰化,0035003800350046,Buy,2206三陽工業,"4224","4224","0"
統一,5850,統一-彰化,0035003800350046,Buy,3661世芯-KY,"3923","10160","6237"
統一,5850,統一-彰化,0035003800350046,Buy,2408南亞科,"3889","35858","31969"
統一,5850,統一-彰化,0035003800350046,Buy,00881國泰台灣科技龍頭,"3738","3904","166"
統一,5850,統一-彰化,0035003800350046,Buy,3231緯創,"3171","14098","10927"
統一,5850,統一-彰化,0035003800350046,Buy,2105正新,"3131","3131","0"
統一,5850,統一-彰化,0035003800350046,Buy,1802台玻,"2262","4946","2684"
統一,5850,統一-彰化,0035003800350046,Buy,8150南茂,"2233","8634","6401"
統一,5850,統一-彰化,0035003800350046,Buy,5475德宏,"2105","3150","1045"
統一,5850,統一-彰化,0035003800350046,Buy,6414樺漢,"2061","2061","0"
統一,5850,統一-彰化,0035003800350046,Buy,00982A主動群益台灣強棒,"1876","1876","0"
統一,5850,統一-彰化,0035003800350046,Buy,2449京元電子,"1873","4350","2477"
統一,5850,統一-彰化,0035003800350046,Buy,5871中租-KY,"1799","1799","0"
統一,5850,統一-彰化,0035003800350046,Buy,1709和益,"1784","2197","413"
統一,5850,統一-彰化,0035003800350046,Buy,6442光聖,"1595","1595","0"
統一,5850,統一-彰化,0035003800350046,Buy,2027大成鋼,"1563","1612","49"
統一,5850,統一-彰化,0035003800350046,Buy,6945圓祥生技,"1557","1557","0"
統一,5850,統一-彰化,0035003800350046,Buy,00632R元大台灣50反1,"1506","1506","0"
