BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
致和證券,7030,致和證券,7030,Buy,2344華邦電,"40951","47745","6794"
致和證券,7030,致和證券,7030,Buy,2303聯電,"12313","16033","3720"
致和證券,7030,致和證券,7030,Buy,3231緯創,"9622","11062","1440"
致和證券,7030,致和證券,7030,Buy,2408南亞科,"6638","13437","6799"
致和證券,7030,致和證券,7030,Buy,8299群聯,"4049","4049","0"
致和證券,7030,致和證券,7030,Buy,4958臻鼎-KY,"2931","7146","4215"
致和證券,7030,致和證券,7030,Buy,3324雙鴻,"2040","2040","0"
致和證券,7030,致和證券,7030,Buy,6182合晶,"1942","4120","2178"
致和證券,7030,致和證券,7030,Buy,2308台達電,"1833","1872","39"
致和證券,7030,致和證券,7030,Buy,2327國巨*,"1825","2451","626"
致和證券,7030,致和證券,7030,Buy,2377微星,"1790","2122","332"
致和證券,7030,致和證券,7030,Buy,2359所羅門,"1737","2305","568"
致和證券,7030,致和證券,7030,Buy,2352佳世達,"1675","1690","15"
致和證券,7030,致和證券,7030,Buy,1714和桐,"1571","1653","82"
致和證券,7030,致和證券,7030,Buy,2451創見,"1478","1783","305"
致和證券,7030,致和證券,7030,Buy,2379瑞昱,"1474","1474","0"
致和證券,7030,致和證券,7030,Buy,2375凱美,"1329","1329","0"
致和證券,7030,致和證券,7030,Buy,9921巨大,"1323","1623","300"
致和證券,7030,致和證券,7030,Buy,00891中信關鍵半導體,"1176","1176","0"
致和證券,7030,致和證券,7030,Buy,2609陽明,"1137","1137","0"
致和證券,7030,致和證券,7030,Buy,3152璟德,"1130","1130","0"
致和證券,7030,致和證券,7030,Buy,3105穩懋,"1130","1149","19"
致和證券,7030,致和證券,7030,Buy,2409友達,"1077","1597","520"
致和證券,7030,致和證券,7030,Buy,2449京元電子,"999","1246","247"
致和證券,7030,致和證券,7030,Buy,6257矽格,"952","1059","107"
致和證券,7030,致和證券,7030,Buy,3234光環,"942","1355","413"
致和證券,7030,致和證券,7030,Buy,00961FT臺灣永續高息,"818","818","0"
致和證券,7030,致和證券,7030,Buy,2313華通,"806","872","66"
致和證券,7030,致和證券,7030,Buy,8227巨有科技,"789","1092","303"
致和證券,7030,致和證券,7030,Buy,2492華新科,"781","2960","2179"
致和證券,7030,致和證券,7030,Buy,2455全新,"756","756","0"
致和證券,7030,致和證券,7030,Buy,1519華城,"727","727","0"
致和證券,7030,致和證券,7030,Buy,2353宏碁,"683","1043","360"
致和證券,7030,致和證券,7030,Buy,2880華南金,"659","659","0"
致和證券,7030,致和證券,7030,Buy,2301光寶科,"611","1173","562"
致和證券,7030,致和證券,7030,Buy,8150南茂,"575","762","187"
致和證券,7030,致和證券,7030,Buy,3022威強電,"569","569","0"
致和證券,7030,致和證券,7030,Buy,5475德宏,"563","1436","873"
致和證券,7030,致和證券,7030,Buy,1709和益,"557","651","94"
致和證券,7030,致和證券,7030,Buy,3693營邦,"553","553","0"
致和證券,7030,致和證券,7030,Buy,7788松川精密,"532","532","0"
致和證券,7030,致和證券,7030,Buy,3090日電貿,"522","871","349"
致和證券,7030,致和證券,7030,Buy,6285啟碁,"498","498","0"
致和證券,7030,致和證券,7030,Buy,1229聯華,"494","494","0"
致和證券,7030,致和證券,7030,Buy,00770國泰北美科技,"422","422","0"
致和證券,7030,致和證券,7030,Buy,5388中磊,"399","399","0"
致和證券,7030,致和證券,7030,Buy,3227原相,"397","397","0"
致和證券,7030,致和證券,7030,Buy,2645長榮航太,"392","392","0"
致和證券,7030,致和證券,7030,Buy,00991A主動復華未來50,"387","387","0"
致和證券,7030,致和證券,7030,Buy,00888永豐台灣ESG,"334","334","0"
致和證券,7030,致和證券,7030,Sell,1303南亞,"-10500","385","10885"
致和證券,7030,致和證券,7030,Sell,6770力積電,"-8453","4018","12471"
致和證券,7030,致和證券,7030,Sell,2357華碩,"-4482","998","5480"
致和證券,7030,致和證券,7030,Sell,6446藥華藥,"-4157","298","4455"
致和證券,7030,致和證券,7030,Sell,2382廣達,"-3702","652","4354"
致和證券,7030,致和證券,7030,Sell,2426鼎元,"-3532","333","3865"
致和證券,7030,致和證券,7030,Sell,3017奇鋐,"-3255","17","3272"
致和證券,7030,致和證券,7030,Sell,8046南電,"-2597","13","2610"
致和證券,7030,致和證券,7030,Sell,6415矽力*-KY,"-2555","0","2555"
致和證券,7030,致和證券,7030,Sell,3711日月光投控,"-2332","142","2474"
致和證券,7030,致和證券,7030,Sell,6265方土昶,"-2310","123","2433"
致和證券,7030,致和證券,7030,Sell,2330台積電,"-2304","3846","6150"
致和證券,7030,致和證券,7030,Sell,2324仁寶,"-2101","561","2662"
致和證券,7030,致和證券,7030,Sell,8261富鼎,"-2076","385","2461"
致和證券,7030,致和證券,7030,Sell,6409旭隼,"-1642","408","2050"
致和證券,7030,致和證券,7030,Sell,3605宏致,"-1622","0","1622"
致和證券,7030,致和證券,7030,Sell,3706神達,"-1585","0","1585"
致和證券,7030,致和證券,7030,Sell,4707磐亞,"-1578","0","1578"
致和證券,7030,致和證券,7030,Sell,6505台塑化,"-1484","490","1974"
致和證券,7030,致和證券,7030,Sell,2392正崴,"-1419","86","1505"
致和證券,7030,致和證券,7030,Sell,6213聯茂,"-1401","0","1401"
致和證券,7030,致和證券,7030,Sell,3037欣興,"-1361","0","1361"
致和證券,7030,致和證券,7030,Sell,6526達發,"-1250","0","1250"
致和證券,7030,致和證券,7030,Sell,2634漢翔,"-1168","939","2107"
致和證券,7030,致和證券,7030,Sell,6488環球晶,"-1149","1003","2152"
致和證券,7030,致和證券,7030,Sell,2368金像電,"-1034","32","1066"
致和證券,7030,致和證券,7030,Sell,8033雷虎,"-1008","0","1008"
致和證券,7030,致和證券,7030,Sell,1409新纖,"-987","25","1012"
致和證券,7030,致和證券,7030,Sell,3624光頡,"-980","63","1043"
致和證券,7030,致和證券,7030,Sell,5536聖暉*,"-921","0","921"
致和證券,7030,致和證券,7030,Sell,1815富喬,"-914","0","914"
致和證券,7030,致和證券,7030,Sell,7822倍利科,"-889","0","889"
致和證券,7030,致和證券,7030,Sell,6643M31,"-880","0","880"
致和證券,7030,致和證券,7030,Sell,2454聯發科,"-847","56","903"
致和證券,7030,致和證券,7030,Sell,6139亞翔,"-798","0","798"
