BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-士林,003900380031006a,Buy,1303南亞,"95942","103926","7984"
元大證券,9800,元大-士林,003900380031006a,Buy,3189景碩,"36015","56422","20407"
元大證券,9800,元大-士林,003900380031006a,Buy,2327國巨*,"25007","35255","10248"
元大證券,9800,元大-士林,003900380031006a,Buy,6770力積電,"23758","35062","11304"
元大證券,9800,元大-士林,003900380031006a,Buy,00881國泰台灣科技龍頭,"13575","13983","408"
元大證券,9800,元大-士林,003900380031006a,Buy,2313華通,"12854","14548","1694"
元大證券,9800,元大-士林,003900380031006a,Buy,2337旺宏,"11255","14833","3578"
元大證券,9800,元大-士林,003900380031006a,Buy,2344華邦電,"9434","18856","9422"
元大證券,9800,元大-士林,003900380031006a,Buy,2376技嘉,"8808","11362","2554"
元大證券,9800,元大-士林,003900380031006a,Buy,3036文曄,"8773","9143","370"
元大證券,9800,元大-士林,003900380031006a,Buy,3661世芯-KY,"8070","15173","7103"
元大證券,9800,元大-士林,003900380031006a,Buy,6274台燿,"7150","11963","4813"
元大證券,9800,元大-士林,003900380031006a,Buy,2882國泰金,"4887","4887","0"
元大證券,9800,元大-士林,003900380031006a,Buy,5371中光電,"4207","4572","365"
元大證券,9800,元大-士林,003900380031006a,Buy,6488環球晶,"4038","12794","8756"
元大證券,9800,元大-士林,003900380031006a,Buy,00878國泰永續高股息,"3261","4545","1284"
元大證券,9800,元大-士林,003900380031006a,Buy,2356英業達,"3166","4815","1649"
元大證券,9800,元大-士林,003900380031006a,Buy,2357華碩,"3105","3219","114"
元大證券,9800,元大-士林,003900380031006a,Buy,3362先進光,"2760","3511","751"
元大證券,9800,元大-士林,003900380031006a,Buy,2317鴻海,"2506","4633","2127"
元大證券,9800,元大-士林,003900380031006a,Buy,2345智邦,"2497","2497","0"
元大證券,9800,元大-士林,003900380031006a,Buy,8112至上,"2494","4480","1986"
元大證券,9800,元大-士林,003900380031006a,Buy,3293鈊象,"2397","2508","111"
元大證券,9800,元大-士林,003900380031006a,Buy,3533嘉澤,"2315","2315","0"
元大證券,9800,元大-士林,003900380031006a,Buy,2308台達電,"2144","13264","11120"
元大證券,9800,元大-士林,003900380031006a,Buy,00632R元大台灣50反1,"2127","2486","359"
元大證券,9800,元大-士林,003900380031006a,Buy,2353宏碁,"2012","2274","262"
元大證券,9800,元大-士林,003900380031006a,Buy,3081聯亞,"1953","2752","799"
元大證券,9800,元大-士林,003900380031006a,Buy,00687B國泰20年美債,"1846","1846","0"
元大證券,9800,元大-士林,003900380031006a,Buy,3706神達,"1782","2429","647"
元大證券,9800,元大-士林,003900380031006a,Buy,2881富邦金,"1781","2031","250"
