BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
台中銀,6110,台中銀-高雄,6116,Buy,2308台達電,"9579","9589","10"
台中銀,6110,台中銀-高雄,6116,Buy,3661世芯-KY,"4093","4135","42"
台中銀,6110,台中銀-高雄,6116,Buy,1303南亞,"3553","3979","426"
台中銀,6110,台中銀-高雄,6116,Buy,6274台燿,"3420","3420","0"
台中銀,6110,台中銀-高雄,6116,Buy,2329華泰,"1592","1592","0"
台中銀,6110,台中銀-高雄,6116,Buy,2408南亞科,"1565","1565","0"
台中銀,6110,台中銀-高雄,6116,Buy,00881國泰台灣科技龍頭,"1129","1129","0"
台中銀,6110,台中銀-高雄,6116,Buy,2645長榮航太,"1104","1104","0"
台中銀,6110,台中銀-高雄,6116,Buy,2337旺宏,"823","2127","1304"
台中銀,6110,台中銀-高雄,6116,Buy,2344華邦電,"739","1109","370"
台中銀,6110,台中銀-高雄,6116,Buy,2376技嘉,"717","1087","370"
台中銀,6110,台中銀-高雄,6116,Buy,1586和勤,"694","694","0"
台中銀,6110,台中銀-高雄,6116,Buy,2332友訊,"615","615","0"
台中銀,6110,台中銀-高雄,6116,Buy,3374精材,"593","593","0"
台中銀,6110,台中銀-高雄,6116,Buy,2324仁寶,"589","589","0"
台中銀,6110,台中銀-高雄,6116,Buy,2481強茂,"547","688","141"
台中銀,6110,台中銀-高雄,6116,Buy,2363矽統,"531","531","0"
台中銀,6110,台中銀-高雄,6116,Buy,00923群益台ESG低碳50,"525","525","0"
台中銀,6110,台中銀-高雄,6116,Buy,6223旺矽,"495","495","0"
台中銀,6110,台中銀-高雄,6116,Buy,6163華電網,"465","465","0"
台中銀,6110,台中銀-高雄,6116,Buy,6415矽力*-KY,"453","453","0"
台中銀,6110,台中銀-高雄,6116,Buy,2634漢翔,"382","1768","1386"
台中銀,6110,台中銀-高雄,6116,Buy,2881富邦金,"381","381","0"
台中銀,6110,台中銀-高雄,6116,Buy,2377微星,"338","2445","2107"
台中銀,6110,台中銀-高雄,6116,Buy,2891中信金,"332","332","0"
台中銀,6110,台中銀-高雄,6116,Buy,00878國泰永續高股息,"317","317","0"
台中銀,6110,台中銀-高雄,6116,Buy,1476儒鴻,"316","316","0"
台中銀,6110,台中銀-高雄,6116,Buy,8150南茂,"275","275","0"
台中銀,6110,台中銀-高雄,6116,Buy,2301光寶科,"267","267","0"
台中銀,6110,台中銀-高雄,6116,Buy,8028昇陽半導體,"263","263","0"
台中銀,6110,台中銀-高雄,6116,Buy,6265方土昶,"246","585","339"
台中銀,6110,台中銀-高雄,6116,Buy,3293鈊象,"220","220","0"
台中銀,6110,台中銀-高雄,6116,Buy,5490同亨,"216","216","0"
台中銀,6110,台中銀-高雄,6116,Buy,4916事欣科,"207","207","0"
台中銀,6110,台中銀-高雄,6116,Buy,2493揚博,"192","192","0"
台中銀,6110,台中銀-高雄,6116,Buy,8112至上,"187","187","0"
台中銀,6110,台中銀-高雄,6116,Buy,00991A主動復華未來50,"186","278","92"
台中銀,6110,台中銀-高雄,6116,Buy,4939亞電,"179","179","0"
台中銀,6110,台中銀-高雄,6116,Buy,6278台表科,"173","173","0"
台中銀,6110,台中銀-高雄,6116,Buy,2327國巨*,"169","1393","1224"
台中銀,6110,台中銀-高雄,6116,Buy,4707磐亞,"163","163","0"
