BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國泰證券,8880,國泰-桃園,8885,Buy,00881國泰台灣科技龍頭,"54882","69909","15027"
國泰證券,8880,國泰-桃園,8885,Buy,1303南亞,"35445","87806","52361"
國泰證券,8880,國泰-桃園,8885,Buy,00878國泰永續高股息,"34988","43487","8499"
國泰證券,8880,國泰-桃園,8885,Buy,2344華邦電,"26287","79762","53475"
國泰證券,8880,國泰-桃園,8885,Buy,8358金居,"24471","47327","22856"
國泰證券,8880,國泰-桃園,8885,Buy,6223旺矽,"22748","23039","291"
國泰證券,8880,國泰-桃園,8885,Buy,6770力積電,"21506","80291","58785"
國泰證券,8880,國泰-桃園,8885,Buy,4958臻鼎-KY,"20933","172102","151169"
國泰證券,8880,國泰-桃園,8885,Buy,6274台燿,"19643","38882","19239"
國泰證券,8880,國泰-桃園,8885,Buy,8033雷虎,"18266","39536","21270"
國泰證券,8880,國泰-桃園,8885,Buy,2324仁寶,"18133","37975","19842"
國泰證券,8880,國泰-桃園,8885,Buy,00937B群益ESG投等債20,"17151","20418","3267"
國泰證券,8880,國泰-桃園,8885,Buy,3374精材,"16427","18437","2010"
國泰證券,8880,國泰-桃園,8885,Buy,2337旺宏,"15651","39422","23771"
國泰證券,8880,國泰-桃園,8885,Buy,3189景碩,"15510","130022","114512"
國泰證券,8880,國泰-桃園,8885,Buy,2327國巨*,"14670","69026","54356"
國泰證券,8880,國泰-桃園,8885,Buy,00891中信關鍵半導體,"11588","12532","944"
國泰證券,8880,國泰-桃園,8885,Buy,3081聯亞,"9958","14381","4423"
國泰證券,8880,國泰-桃園,8885,Buy,2377微星,"9327","15930","6603"
國泰證券,8880,國泰-桃園,8885,Buy,2454聯發科,"8078","69588","61510"
國泰證券,8880,國泰-桃園,8885,Buy,3231緯創,"7180","16848","9668"
國泰證券,8880,國泰-桃園,8885,Buy,2317鴻海,"7133","21254","14121"
國泰證券,8880,國泰-桃園,8885,Buy,00961FT臺灣永續高息,"6814","7173","359"
國泰證券,8880,國泰-桃園,8885,Buy,3017奇鋐,"6779","15684","8905"
國泰證券,8880,國泰-桃園,8885,Buy,2356英業達,"6666","10123","3457"
國泰證券,8880,國泰-桃園,8885,Buy,00923群益台ESG低碳50,"6554","8288","1734"
國泰證券,8880,國泰-桃園,8885,Buy,00988A主動統一全球創新,"6500","7494","994"
國泰證券,8880,國泰-桃園,8885,Buy,4915致伸,"6395","6395","0"
國泰證券,8880,國泰-桃園,8885,Buy,2892第一金,"6257","6720","463"
國泰證券,8880,國泰-桃園,8885,Buy,2882國泰金,"6231","7413","1182"
