BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
福邦證券,6480,福邦-新竹,6489,Buy,2344華邦電,"10273","10459","186"
福邦證券,6480,福邦-新竹,6489,Buy,8021尖點,"7035","7035","0"
福邦證券,6480,福邦-新竹,6489,Buy,1303南亞,"5143","7626","2483"
福邦證券,6480,福邦-新竹,6489,Buy,6727亞泰金屬,"3725","3725","0"
福邦證券,6480,福邦-新竹,6489,Buy,7610聯友金屬-創,"3650","3650","0"
福邦證券,6480,福邦-新竹,6489,Buy,2383台光電,"1916","1916","0"
福邦證券,6480,福邦-新竹,6489,Buy,6274台燿,"1630","1630","0"
福邦證券,6480,福邦-新竹,6489,Buy,2317鴻海,"1280","1280","0"
福邦證券,6480,福邦-新竹,6489,Buy,7855和運租車,"1136","1136","0"
福邦證券,6480,福邦-新竹,6489,Buy,2377微星,"1069","1069","0"
福邦證券,6480,福邦-新竹,6489,Buy,4979華星光,"1056","1056","0"
福邦證券,6480,福邦-新竹,6489,Buy,6223旺矽,"1039","1039","0"
福邦證券,6480,福邦-新竹,6489,Buy,4968立積,"1033","1033","0"
福邦證券,6480,福邦-新竹,6489,Buy,00980A主動野村臺灣優選,"1025","1025","0"
福邦證券,6480,福邦-新竹,6489,Buy,8064東捷,"941","2981","2040"
福邦證券,6480,福邦-新竹,6489,Buy,2484希華,"746","746","0"
福邦證券,6480,福邦-新竹,6489,Buy,4919新唐,"625","625","0"
福邦證券,6480,福邦-新竹,6489,Buy,3374精材,"586","586","0"
福邦證券,6480,福邦-新竹,6489,Buy,4958臻鼎-KY,"517","3025","2508"
福邦證券,6480,福邦-新竹,6489,Buy,00878國泰永續高股息,"438","438","0"
福邦證券,6480,福邦-新竹,6489,Buy,2313華通,"424","424","0"
福邦證券,6480,福邦-新竹,6489,Buy,3661世芯-KY,"412","412","0"
福邦證券,6480,福邦-新竹,6489,Buy,3231緯創,"372","561","189"
福邦證券,6480,福邦-新竹,6489,Buy,1795美時,"363","363","0"
福邦證券,6480,福邦-新竹,6489,Buy,00929復華台灣科技優息,"292","292","0"
福邦證券,6480,福邦-新竹,6489,Buy,3234光環,"283","283","0"
福邦證券,6480,福邦-新竹,6489,Buy,3088艾訊,"255","255","0"
福邦證券,6480,福邦-新竹,6489,Buy,2881富邦金,"249","249","0"
福邦證券,6480,福邦-新竹,6489,Buy,2349錸德,"231","231","0"
福邦證券,6480,福邦-新竹,6489,Buy,8271宇瞻,"228","228","0"
福邦證券,6480,福邦-新竹,6489,Buy,6679鈺太,"207","207","0"
福邦證券,6480,福邦-新竹,6489,Buy,8033雷虎,"207","207","0"
福邦證券,6480,福邦-新竹,6489,Buy,2303聯電,"173","491","318"
福邦證券,6480,福邦-新竹,6489,Buy,5274信驊,"171","171","0"
福邦證券,6480,福邦-新竹,6489,Buy,5475德宏,"168","168","0"
