BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3037欣興,"312120","313225","1105"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6505台塑化,"160436","161217","781"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6805富世達,"57850","57850","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,1303南亞,"52426","63185","10759"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6488環球晶,"28520","28520","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3034聯詠,"27076","32622","5546"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6182合晶,"24110","24110","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3661世芯-KY,"22515","47420","24905"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6515穎崴,"19735","19735","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3443創意,"17907","35242","17335"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3231緯創,"16827","16827","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3293鈊象,"13261","13261","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,3017奇鋐,"12690","12690","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,4938和碩,"11339","11339","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,9921巨大,"11259","11259","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,2327國巨*,"10359","10359","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,8150南茂,"9191","9191","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,2345智邦,"9130","11420","2290"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,8046南電,"8460","21745","13285"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,2027大成鋼,"6599","6599","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,6223旺矽,"5800","5800","0"
香港上海匯豐,8960,香港上海匯豐,8960,Buy,5880合庫金,"5427","5427","0"
