BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-嘉義,9314,Buy,00981A主動統一台股增長,"17922","18048","126"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2885元大金,"13750","13814","64"
華南永昌,9300,華南永昌-嘉義,9314,Buy,6770力積電,"13263","41511","28248"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2330台積電,"9153","9757","604"
華南永昌,9300,華南永昌-嘉義,9314,Buy,0056元大高股息,"5858","5903","45"
華南永昌,9300,華南永昌-嘉義,9314,Buy,8358金居,"5668","8277","2609"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3037欣興,"5343","8940","3597"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2345智邦,"4473","4543","70"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3231緯創,"3747","4308","561"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3008大立光,"3657","5389","1732"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3450聯鈞,"3405","5205","1800"
華南永昌,9300,華南永昌-嘉義,9314,Buy,1815富喬,"3214","4882","1668"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3374精材,"2781","4672","1891"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3006晶豪科,"2687","3925","1238"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3265台星科,"2655","2655","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,1477聚陽,"2574","2574","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2317鴻海,"2443","3914","1471"
華南永昌,9300,華南永昌-嘉義,9314,Buy,00881國泰台灣科技龍頭,"2414","2414","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,00406A主動中信台灣收益,"2412","2412","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,00631L元大台灣50正2,"2137","3907","1770"
華南永昌,9300,華南永昌-嘉義,9314,Buy,00878國泰永續高股息,"1921","1921","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,4958臻鼎-KY,"1777","13509","11732"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3189景碩,"1675","2734","1059"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2337旺宏,"1654","3363","1709"
華南永昌,9300,華南永昌-嘉義,9314,Buy,5289宜鼎,"1628","4589","2961"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2316楠梓電,"1567","4874","3307"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2324仁寶,"1553","1970","417"
華南永昌,9300,華南永昌-嘉義,9314,Buy,8016矽創,"1455","1455","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2492華新科,"1420","3528","2108"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3019亞光,"1410","1410","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,6446藥華藥,"1387","1401","14"
華南永昌,9300,華南永昌-嘉義,9314,Buy,00929復華台灣科技優息,"1291","1291","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2887台新新光金,"1287","2332","1045"
華南永昌,9300,華南永昌-嘉義,9314,Buy,2409友達,"1276","4888","3612"
華南永昌,9300,華南永昌-嘉義,9314,Buy,8996高力,"1237","1237","0"
華南永昌,9300,華南永昌-嘉義,9314,Buy,3532台勝科,"1166","2341","1175"
