BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-台中中港,0039003800390042,Buy,3702大聯大,"23003","23003","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,5274信驊,"17134","17233","99"
元大證券,9800,元大-台中中港,0039003800390042,Buy,00913兆豐台灣晶圓製造,"14491","14491","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,0050元大台灣50,"13921","17122","3201"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2330台積電,"12401","27455","15054"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2408南亞科,"11252","27020","15768"
元大證券,9800,元大-台中中港,0039003800390042,Buy,00935野村臺灣新科技50,"11189","13454","2265"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3376新日興,"9225","9225","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2454聯發科,"8022","15826","7804"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3661世芯-KY,"7650","11485","3835"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6770力積電,"7639","13681","6042"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2344華邦電,"7601","28385","20784"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2327國巨*,"7583","30110","22527"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3167大量,"7422","16268","8846"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3017奇鋐,"6844","17365","10521"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2360致茂,"6647","6701","54"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2303聯電,"6573","8762","2189"
元大證券,9800,元大-台中中港,0039003800390042,Buy,7711永擎,"6494","6924","430"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6223旺矽,"5655","11191","5536"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6691洋基工程,"5614","5614","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,8299群聯,"5523","15307","9784"
元大證券,9800,元大-台中中港,0039003800390042,Buy,00631L元大台灣50正2,"4330","6196","1866"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2345智邦,"3658","5796","2138"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2359所羅門,"3601","4945","1344"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2301光寶科,"3560","8589","5029"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3406玉晶光,"3281","3295","14"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6274台燿,"3244","4923","1679"
元大證券,9800,元大-台中中港,0039003800390042,Buy,1301台塑,"3158","3273","115"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3529力旺,"2572","2572","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,8021尖點,"2567","8105","5538"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2455全新,"2414","10972","8558"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2337旺宏,"2408","3351","943"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2317鴻海,"2341","6029","3688"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3450聯鈞,"2309","16002","13693"
元大證券,9800,元大-台中中港,0039003800390042,Buy,5289宜鼎,"2130","3651","1521"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6640均華,"2061","2061","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,5483中美晶,"2018","2227","209"
元大證券,9800,元大-台中中港,0039003800390042,Buy,4958臻鼎-KY,"1942","8075","6133"
元大證券,9800,元大-台中中港,0039003800390042,Buy,1303南亞,"1892","2872","980"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3711日月光投控,"1855","5400","3545"
元大證券,9800,元大-台中中港,0039003800390042,Buy,4979華星光,"1813","1813","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,00406A主動中信台灣收益,"1786","2081","295"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2885元大金,"1779","1917","138"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2409友達,"1750","3775","2025"
元大證券,9800,元大-台中中港,0039003800390042,Buy,006208富邦台50,"1724","1730","6"
元大證券,9800,元大-台中中港,0039003800390042,Buy,7610聯友金屬-創,"1712","1712","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2451創見,"1680","1680","0"
元大證券,9800,元大-台中中港,0039003800390042,Buy,3260威剛,"1546","5840","4294"
元大證券,9800,元大-台中中港,0039003800390042,Buy,6182合晶,"1494","7497","6003"
元大證券,9800,元大-台中中港,0039003800390042,Buy,2324仁寶,"1340","1924","584"
元大證券,9800,元大-台中中港,0039003800390042,Sell,9939宏全,"-43965","1","43966"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6669緯穎,"-12103","13592","25695"
元大證券,9800,元大-台中中港,0039003800390042,Sell,5538東明-KY,"-11210","3517","14727"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3008大立光,"-9861","16891","26752"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2492華新科,"-6926","9198","16124"
元大證券,9800,元大-台中中港,0039003800390042,Sell,7769鴻勁,"-6487","207","6694"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6271同欣電,"-6218","0","6218"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2486一詮,"-3338","4074","7412"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6173信昌電,"-3109","0","3109"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3293鈊象,"-2323","0","2323"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2884玉山金,"-2004","2542","4546"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3388崇越電,"-1953","675","2628"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2609陽明,"-1911","1268","3179"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2464盟立,"-1895","1280","3175"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3211順達,"-1831","383","2214"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6177達麗,"-1695","1","1696"
元大證券,9800,元大-台中中港,0039003800390042,Sell,9914美利達,"-1627","168","1795"
元大證券,9800,元大-台中中港,0039003800390042,Sell,7828創新服務,"-1592","1626","3218"
元大證券,9800,元大-台中中港,0039003800390042,Sell,1216統一,"-1410","0","1410"
元大證券,9800,元大-台中中港,0039003800390042,Sell,8926台汽電,"-1393","0","1393"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2382廣達,"-1356","1330","2686"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3563牧德,"-1323","71","1394"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3023信邦,"-1311","2","1313"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2466冠西電,"-1210","0","1210"
元大證券,9800,元大-台中中港,0039003800390042,Sell,009805台新美國電力基建,"-1191","2","1193"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2603長榮,"-1135","269","1404"
元大證券,9800,元大-台中中港,0039003800390042,Sell,00953B群益優選非投等債,"-1129","31","1160"
元大證券,9800,元大-台中中港,0039003800390042,Sell,5292華懋,"-1129","21","1150"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2637慧洋-KY,"-1100","917","2017"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3189景碩,"-1094","5881","6975"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6949沛爾生醫-創,"-1085","0","1085"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2605新興,"-937","2984","3921"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6239力成,"-907","1440","2347"
元大證券,9800,元大-台中中港,0039003800390042,Sell,1229聯華,"-907","0","907"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2395研華,"-890","37","927"
元大證券,9800,元大-台中中港,0039003800390042,Sell,00937B群益ESG投等債20,"-800","153","953"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6141柏承,"-790","0","790"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3042晶技,"-786","1825","2611"
元大證券,9800,元大-台中中港,0039003800390042,Sell,5608四維航,"-775","298","1073"
元大證券,9800,元大-台中中港,0039003800390042,Sell,9904寶成,"-739","1","740"
元大證券,9800,元大-台中中港,0039003800390042,Sell,5351鈺創,"-721","1867","2588"
元大證券,9800,元大-台中中港,0039003800390042,Sell,3034聯詠,"-719","0","719"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6451訊芯-KY,"-688","2944","3632"
元大證券,9800,元大-台中中港,0039003800390042,Sell,4991環宇-KY,"-650","721","1371"
元大證券,9800,元大-台中中港,0039003800390042,Sell,8261富鼎,"-627","576","1203"
元大證券,9800,元大-台中中港,0039003800390042,Sell,5243乙盛-KY,"-621","0","621"
元大證券,9800,元大-台中中港,0039003800390042,Sell,00992A主動群益科技創新,"-596","229","825"
元大證券,9800,元大-台中中港,0039003800390042,Sell,2308台達電,"-590","3085","3675"
元大證券,9800,元大-台中中港,0039003800390042,Sell,6186新潤,"-587","1","588"
