BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-敦南,0039003800390050,Buy,3529力旺,"48074","48108","34"
元大證券,9800,元大-敦南,0039003800390050,Buy,2330台積電,"31166","44018","12852"
元大證券,9800,元大-敦南,0039003800390050,Buy,2308台達電,"21437","23502","2065"
元大證券,9800,元大-敦南,0039003800390050,Buy,2059川湖,"14220","14548","328"
元大證券,9800,元大-敦南,0039003800390050,Buy,2344華邦電,"12271","19597","7326"
元大證券,9800,元大-敦南,0039003800390050,Buy,3711日月光投控,"11910","15842","3932"
元大證券,9800,元大-敦南,0039003800390050,Buy,3167大量,"11674","31054","19380"
元大證券,9800,元大-敦南,0039003800390050,Buy,8039台虹,"11541","15141","3600"
元大證券,9800,元大-敦南,0039003800390050,Buy,0050元大台灣50,"11091","13995","2904"
元大證券,9800,元大-敦南,0039003800390050,Buy,6223旺矽,"10769","11192","423"
元大證券,9800,元大-敦南,0039003800390050,Buy,2441超豐,"8979","8979","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,2327國巨*,"7547","23719","16172"
元大證券,9800,元大-敦南,0039003800390050,Buy,8299群聯,"7195","15113","7918"
元大證券,9800,元大-敦南,0039003800390050,Buy,00631L元大台灣50正2,"6418","9039","2621"
元大證券,9800,元大-敦南,0039003800390050,Buy,2317鴻海,"6142","6142","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,2412中華電,"5459","5460","1"
元大證券,9800,元大-敦南,0039003800390050,Buy,4958臻鼎-KY,"4674","8279","3605"
元大證券,9800,元大-敦南,0039003800390050,Buy,00990A主動元大AI新經濟,"4561","4561","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,2634漢翔,"4495","6454","1959"
元大證券,9800,元大-敦南,0039003800390050,Buy,7751竑騰,"4380","4380","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,6409旭隼,"4080","4080","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,1303南亞,"3595","7242","3647"
元大證券,9800,元大-敦南,0039003800390050,Buy,6770力積電,"3207","9561","6354"
元大證券,9800,元大-敦南,0039003800390050,Buy,2360致茂,"3125","3125","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,2324仁寶,"3121","5293","2172"
元大證券,9800,元大-敦南,0039003800390050,Buy,3450聯鈞,"3114","4316","1202"
元大證券,9800,元大-敦南,0039003800390050,Buy,6182合晶,"3104","6848","3744"
元大證券,9800,元大-敦南,0039003800390050,Buy,2455全新,"3049","5057","2008"
元大證券,9800,元大-敦南,0039003800390050,Buy,6531愛普*,"2994","2994","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,5483中美晶,"2718","3071","353"
元大證券,9800,元大-敦南,0039003800390050,Buy,00830國泰費城半導體,"2686","2771","85"
元大證券,9800,元大-敦南,0039003800390050,Buy,4931新盛力,"2616","3915","1299"
元大證券,9800,元大-敦南,0039003800390050,Buy,2301光寶科,"2303","26263","23960"
元大證券,9800,元大-敦南,0039003800390050,Buy,0056元大高股息,"2262","4405","2143"
元大證券,9800,元大-敦南,0039003800390050,Buy,3481群創,"2237","12187","9950"
元大證券,9800,元大-敦南,0039003800390050,Buy,3665貿聯-KY,"2218","4418","2200"
元大證券,9800,元大-敦南,0039003800390050,Buy,3374精材,"2184","2782","598"
元大證券,9800,元大-敦南,0039003800390050,Buy,1560中砂,"2125","2832","707"
元大證券,9800,元大-敦南,0039003800390050,Buy,3455由田,"1949","5761","3812"
元大證券,9800,元大-敦南,0039003800390050,Buy,00403A主動統一升級50,"1934","3416","1482"
元大證券,9800,元大-敦南,0039003800390050,Buy,00685L群益臺灣加權正2,"1746","1890","144"
元大證券,9800,元大-敦南,0039003800390050,Buy,2359所羅門,"1742","10179","8437"
元大證券,9800,元大-敦南,0039003800390050,Buy,00919群益台灣精選高息,"1697","1769","72"
元大證券,9800,元大-敦南,0039003800390050,Buy,2303聯電,"1596","4479","2883"
元大證券,9800,元大-敦南,0039003800390050,Buy,2885元大金,"1590","1717","127"
元大證券,9800,元大-敦南,0039003800390050,Buy,00918大華優利高填息30,"1416","1416","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,8210勤誠,"1400","3133","1733"
元大證券,9800,元大-敦南,0039003800390050,Buy,3707漢磊,"1299","1299","0"
元大證券,9800,元大-敦南,0039003800390050,Buy,1326台化,"1284","1398","114"
元大證券,9800,元大-敦南,0039003800390050,Buy,3491昇達科,"1252","2487","1235"
元大證券,9800,元大-敦南,0039003800390050,Sell,8046南電,"-202388","13809","216197"
元大證券,9800,元大-敦南,0039003800390050,Sell,2408南亞科,"-138104","37030","175134"
元大證券,9800,元大-敦南,0039003800390050,Sell,6274台燿,"-74475","1753","76228"
元大證券,9800,元大-敦南,0039003800390050,Sell,3008大立光,"-44527","6605","51132"
元大證券,9800,元大-敦南,0039003800390050,Sell,6488環球晶,"-41664","11384","53048"
