BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-彰化,9363,Buy,6488環球晶,"30872","40964","10092"
華南永昌,9300,華南永昌-彰化,9363,Buy,2408南亞科,"19419","30924","11505"
華南永昌,9300,華南永昌-彰化,9363,Buy,2308台達電,"9674","9710","36"
華南永昌,9300,華南永昌-彰化,9363,Buy,2330台積電,"8688","10826","2138"
華南永昌,9300,華南永昌-彰化,9363,Buy,00865B國泰US短期公債,"7330","7330","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,2327國巨*,"6906","31183","24277"
華南永昌,9300,華南永昌-彰化,9363,Buy,3189景碩,"6631","16264","9633"
華南永昌,9300,華南永昌-彰化,9363,Buy,2344華邦電,"5979","9700","3721"
華南永昌,9300,華南永昌-彰化,9363,Buy,2317鴻海,"5576","6332","756"
華南永昌,9300,華南永昌-彰化,9363,Buy,1229聯華,"5389","5389","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,3324雙鴻,"4919","4919","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,3481群創,"4747","9550","4803"
華南永昌,9300,華南永昌-彰化,9363,Buy,6770力積電,"4628","7467","2839"
華南永昌,9300,華南永昌-彰化,9363,Buy,6182合晶,"4550","7339","2789"
華南永昌,9300,華南永昌-彰化,9363,Buy,3081聯亞,"4484","21891","17407"
華南永昌,9300,華南永昌-彰化,9363,Buy,1303南亞,"4160","5433","1273"
華南永昌,9300,華南永昌-彰化,9363,Buy,4958臻鼎-KY,"4072","15217","11145"
華南永昌,9300,華南永昌-彰化,9363,Buy,2454聯發科,"3453","7398","3945"
華南永昌,9300,華南永昌-彰化,9363,Buy,8358金居,"3253","8288","5035"
華南永昌,9300,華南永昌-彰化,9363,Buy,0050元大台灣50,"3135","4270","1135"
華南永昌,9300,華南永昌-彰化,9363,Buy,4967十銓,"2775","2788","13"
華南永昌,9300,華南永昌-彰化,9363,Buy,6510精測,"2715","2715","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,00981A主動統一台股增長,"2696","3132","436"
華南永昌,9300,華南永昌-彰化,9363,Buy,3665貿聯-KY,"2592","2624","32"
華南永昌,9300,華南永昌-彰化,9363,Buy,2303聯電,"2579","4323","1744"
華南永昌,9300,華南永昌-彰化,9363,Buy,2337旺宏,"2510","3586","1076"
華南永昌,9300,華南永昌-彰化,9363,Buy,0052富邦科技,"2280","2359","79"
華南永昌,9300,華南永昌-彰化,9363,Buy,2481強茂,"2267","6741","4474"
華南永昌,9300,華南永昌-彰化,9363,Buy,3264欣銓,"2067","2067","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,5351鈺創,"1787","3810","2023"
華南永昌,9300,華南永昌-彰化,9363,Buy,6139亞翔,"1730","1730","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,5483中美晶,"1694","2409","715"
華南永昌,9300,華南永昌-彰化,9363,Buy,00631L元大台灣50正2,"1657","3321","1664"
華南永昌,9300,華南永昌-彰化,9363,Buy,00830國泰費城半導體,"1638","1638","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,4971IET-KY,"1632","1681","49"
華南永昌,9300,華南永昌-彰化,9363,Buy,00406A主動中信台灣收益,"1550","1610","60"
華南永昌,9300,華南永昌-彰化,9363,Buy,2388威盛,"1508","1508","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,6274台燿,"1501","1510","9"
華南永昌,9300,華南永昌-彰化,9363,Buy,6177達麗,"1477","1477","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,8039台虹,"1395","11462","10067"
華南永昌,9300,華南永昌-彰化,9363,Buy,9904寶成,"1343","1368","25"
華南永昌,9300,華南永昌-彰化,9363,Buy,00685L群益臺灣加權正2,"1334","1546","212"
華南永昌,9300,華南永昌-彰化,9363,Buy,2359所羅門,"1228","3439","2211"
華南永昌,9300,華南永昌-彰化,9363,Buy,6683雍智科技,"1200","1200","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,1477聚陽,"1169","1169","0"
華南永昌,9300,華南永昌-彰化,9363,Buy,3231緯創,"1140","2572","1432"
華南永昌,9300,華南永昌-彰化,9363,Buy,5347世界,"1131","1580","449"
華南永昌,9300,華南永昌-彰化,9363,Buy,2885元大金,"1108","1176","68"
華南永昌,9300,華南永昌-彰化,9363,Buy,8299群聯,"1094","3256","2162"
華南永昌,9300,華南永昌-彰化,9363,Buy,2426鼎元,"1018","1290","272"
華南永昌,9300,華南永昌-彰化,9363,Sell,6515穎崴,"-19156","19","19175"
華南永昌,9300,華南永昌-彰化,9363,Sell,5289宜鼎,"-8896","257","9153"
華南永昌,9300,華南永昌-彰化,9363,Sell,00933B國泰10Y+金融債,"-4679","0","4679"
華南永昌,9300,華南永昌-彰化,9363,Sell,2492華新科,"-4444","9841","14285"
華南永昌,9300,華南永昌-彰化,9363,Sell,2886兆豐金,"-4337","328","4665"
華南永昌,9300,華南永昌-彰化,9363,Sell,2609陽明,"-4185","921","5106"
華南永昌,9300,華南永昌-彰化,9363,Sell,8150南茂,"-3764","1297","5061"
華南永昌,9300,華南永昌-彰化,9363,Sell,3017奇鋐,"-3480","9323","12803"
華南永昌,9300,華南永昌-彰化,9363,Sell,00725B國泰投資級公司債,"-3382","2","3384"
華南永昌,9300,華南永昌-彰化,9363,Sell,6451訊芯-KY,"-3170","1771","4941"
華南永昌,9300,華南永昌-彰化,9363,Sell,3008大立光,"-2948","2761","5709"
華南永昌,9300,華南永昌-彰化,9363,Sell,00919群益台灣精選高息,"-2919","140","3059"
華南永昌,9300,華南永昌-彰化,9363,Sell,00687B國泰20年美債,"-2704","1","2705"
華南永昌,9300,華南永昌-彰化,9363,Sell,2880華南金,"-2578","1362","3940"
華南永昌,9300,華南永昌-彰化,9363,Sell,00632R元大台灣50反1,"-2418","779","3197"
華南永昌,9300,華南永昌-彰化,9363,Sell,6173信昌電,"-2143","200","2343"
華南永昌,9300,華南永昌-彰化,9363,Sell,4966譜瑞-KY,"-1785","2903","4688"
華南永昌,9300,華南永昌-彰化,9363,Sell,2603長榮,"-1442","473","1915"
華南永昌,9300,華南永昌-彰化,9363,Sell,00712復華富時不動產,"-1406","53","1459"
華南永昌,9300,華南永昌-彰化,9363,Sell,6187萬潤,"-1211","503","1714"
華南永昌,9300,華南永昌-彰化,9363,Sell,4973廣穎,"-1180","0","1180"
華南永昌,9300,華南永昌-彰化,9363,Sell,2520冠德,"-1171","0","1171"
華南永昌,9300,華南永昌-彰化,9363,Sell,3362先進光,"-1106","0","1106"
華南永昌,9300,華南永昌-彰化,9363,Sell,3491昇達科,"-1104","111","1215"
華南永昌,9300,華南永昌-彰化,9363,Sell,8042金山電,"-1070","0","1070"
華南永昌,9300,華南永昌-彰化,9363,Sell,2059川湖,"-988","368","1356"
華南永昌,9300,華南永昌-彰化,9363,Sell,6188廣明,"-969","0","969"
華南永昌,9300,華南永昌-彰化,9363,Sell,3450聯鈞,"-961","1269","2230"
華南永昌,9300,華南永昌-彰化,9363,Sell,6617共信-KY,"-956","0","956"
華南永昌,9300,華南永昌-彰化,9363,Sell,3026禾伸堂,"-893","0","893"
華南永昌,9300,華南永昌-彰化,9363,Sell,1714和桐,"-840","17","857"
華南永昌,9300,華南永昌-彰化,9363,Sell,3090日電貿,"-828","688","1516"
華南永昌,9300,華南永昌-彰化,9363,Sell,2801彰銀,"-826","0","826"
華南永昌,9300,華南永昌-彰化,9363,Sell,6830汎銓,"-790","470","1260"
華南永昌,9300,華南永昌-彰化,9363,Sell,6290良維,"-746","246","992"
華南永昌,9300,華南永昌-彰化,9363,Sell,6533晶心科,"-737","251","988"
華南永昌,9300,華南永昌-彰化,9363,Sell,2530華建,"-689","0","689"
華南永昌,9300,華南永昌-彰化,9363,Sell,3163波若威,"-641","69","710"
華南永昌,9300,華南永昌-彰化,9363,Sell,2537聯上發,"-637","0","637"
華南永昌,9300,華南永昌-彰化,9363,Sell,3532台勝科,"-634","432","1066"
華南永昌,9300,華南永昌-彰化,9363,Sell,2027大成鋼,"-631","0","631"
華南永昌,9300,華南永昌-彰化,9363,Sell,1815富喬,"-615","1501","2116"
華南永昌,9300,華南永昌-彰化,9363,Sell,2395研華,"-599","140","739"
華南永昌,9300,華南永昌-彰化,9363,Sell,006208富邦台50,"-579","138","717"
華南永昌,9300,華南永昌-彰化,9363,Sell,3042晶技,"-578","1812","2390"
