BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-天母,0039003800310049,Buy,8299群聯,"20693","26853","6160"
元大證券,9800,元大-天母,0039003800310049,Buy,5289宜鼎,"13605","13605","0"
元大證券,9800,元大-天母,0039003800310049,Buy,2454聯發科,"13019","39634","26615"
元大證券,9800,元大-天母,0039003800310049,Buy,2344華邦電,"12305","28056","15751"
元大證券,9800,元大-天母,0039003800310049,Buy,2609陽明,"11985","21912","9927"
元大證券,9800,元大-天母,0039003800310049,Buy,2603長榮,"9381","19541","10160"
元大證券,9800,元大-天母,0039003800310049,Buy,2327國巨*,"8310","19131","10821"
元大證券,9800,元大-天母,0039003800310049,Buy,2379瑞昱,"7112","10001","2889"
元大證券,9800,元大-天母,0039003800310049,Buy,3533嘉澤,"5423","5423","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3081聯亞,"5265","9009","3744"
元大證券,9800,元大-天母,0039003800310049,Buy,1519華城,"5081","8887","3806"
元大證券,9800,元大-天母,0039003800310049,Buy,6770力積電,"4684","7739","3055"
元大證券,9800,元大-天母,0039003800310049,Buy,3033威健,"4500","4500","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3498陽程,"4494","4494","0"
元大證券,9800,元大-天母,0039003800310049,Buy,2492華新科,"4393","9337","4944"
元大證券,9800,元大-天母,0039003800310049,Buy,3231緯創,"3973","4515","542"
元大證券,9800,元大-天母,0039003800310049,Buy,8070長華*,"3861","3861","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3450聯鈞,"2758","4469","1711"
元大證券,9800,元大-天母,0039003800310049,Buy,2359所羅門,"2750","3848","1098"
元大證券,9800,元大-天母,0039003800310049,Buy,5434崇越,"2625","2677","52"
元大證券,9800,元大-天母,0039003800310049,Buy,3374精材,"2596","6116","3520"
元大證券,9800,元大-天母,0039003800310049,Buy,2317鴻海,"2535","3446","911"
元大證券,9800,元大-天母,0039003800310049,Buy,009816凱基台灣TOP50,"2306","2336","30"
元大證券,9800,元大-天母,0039003800310049,Buy,2324仁寶,"2272","3058","786"
元大證券,9800,元大-天母,0039003800310049,Buy,6274台燿,"2093","5430","3337"
元大證券,9800,元大-天母,0039003800310049,Buy,0050元大台灣50,"2085","3087","1002"
元大證券,9800,元大-天母,0039003800310049,Buy,00406A主動中信台灣收益,"2037","2532","495"
元大證券,9800,元大-天母,0039003800310049,Buy,8261富鼎,"2007","2007","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3035智原,"1911","1911","0"
元大證券,9800,元大-天母,0039003800310049,Buy,5425台半,"1899","2644","745"
元大證券,9800,元大-天母,0039003800310049,Buy,3339泰谷,"1897","1897","0"
元大證券,9800,元大-天母,0039003800310049,Buy,00981B第一金優選非投債,"1747","1747","0"
元大證券,9800,元大-天母,0039003800310049,Buy,6679鈺太,"1592","1592","0"
元大證券,9800,元大-天母,0039003800310049,Buy,6116彩晶,"1529","1529","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3006晶豪科,"1511","1764","253"
元大證券,9800,元大-天母,0039003800310049,Buy,2303聯電,"1467","4924","3457"
元大證券,9800,元大-天母,0039003800310049,Buy,2891中信金,"1397","1438","41"
元大證券,9800,元大-天母,0039003800310049,Buy,00984D主動聯博全球非投,"1337","1337","0"
元大證券,9800,元大-天母,0039003800310049,Buy,2449京元電子,"1324","2088","764"
元大證券,9800,元大-天母,0039003800310049,Buy,2493揚博,"1274","1274","0"
元大證券,9800,元大-天母,0039003800310049,Buy,5284jpp-KY,"1249","1249","0"
元大證券,9800,元大-天母,0039003800310049,Buy,6182合晶,"1224","4599","3375"
元大證券,9800,元大-天母,0039003800310049,Buy,3211順達,"1167","1550","383"
元大證券,9800,元大-天母,0039003800310049,Buy,6173信昌電,"1164","11390","10226"
元大證券,9800,元大-天母,0039003800310049,Buy,6278台表科,"1159","2623","1464"
元大證券,9800,元大-天母,0039003800310049,Buy,00981D主動中信非投等債,"1148","1148","0"
元大證券,9800,元大-天母,0039003800310049,Buy,8996高力,"1134","3354","2220"
元大證券,9800,元大-天母,0039003800310049,Buy,6125廣運,"1129","1129","0"
元大證券,9800,元大-天母,0039003800310049,Buy,3694海華,"1128","1128","0"
元大證券,9800,元大-天母,0039003800310049,Buy,2368金像電,"1061","1132","71"
元大證券,9800,元大-天母,0039003800310049,Sell,2383台光電,"-23373","6066","29439"
元大證券,9800,元大-天母,0039003800310049,Sell,3017奇鋐,"-16813","3875","20688"
元大證券,9800,元大-天母,0039003800310049,Sell,2408南亞科,"-10366","45879","56245"
元大證券,9800,元大-天母,0039003800310049,Sell,3037欣興,"-9765","10324","20089"
元大證券,9800,元大-天母,0039003800310049,Sell,2301光寶科,"-9591","9074","18665"
元大證券,9800,元大-天母,0039003800310049,Sell,6805富世達,"-9090","0","9090"
元大證券,9800,元大-天母,0039003800310049,Sell,3189景碩,"-7711","4122","11833"
元大證券,9800,元大-天母,0039003800310049,Sell,5269祥碩,"-5913","17","5930"
元大證券,9800,元大-天母,0039003800310049,Sell,3443創意,"-5751","54","5805"
元大證券,9800,元大-天母,0039003800310049,Sell,8358金居,"-5571","8340","13911"
元大證券,9800,元大-天母,0039003800310049,Sell,3167大量,"-5380","696","6076"
元大證券,9800,元大-天母,0039003800310049,Sell,3008大立光,"-5355","17315","22670"
元大證券,9800,元大-天母,0039003800310049,Sell,3661世芯-KY,"-4106","3834","7940"
元大證券,9800,元大-天母,0039003800310049,Sell,2313華通,"-3701","2447","6148"
元大證券,9800,元大-天母,0039003800310049,Sell,1303南亞,"-3698","4654","8352"
元大證券,9800,元大-天母,0039003800310049,Sell,1815富喬,"-3602","1797","5399"
元大證券,9800,元大-天母,0039003800310049,Sell,2330台積電,"-3565","4573","8138"
元大證券,9800,元大-天母,0039003800310049,Sell,8932智通*,"-3503","0","3503"
元大證券,9800,元大-天母,0039003800310049,Sell,4958臻鼎-KY,"-3282","5571","8853"
元大證券,9800,元大-天母,0039003800310049,Sell,1802台玻,"-2862","5110","7972"
元大證券,9800,元大-天母,0039003800310049,Sell,1513中興電,"-2818","0","2818"
元大證券,9800,元大-天母,0039003800310049,Sell,2634漢翔,"-2608","2026","4634"
元大證券,9800,元大-天母,0039003800310049,Sell,00991A主動復華未來50,"-2498","818","3316"
元大證券,9800,元大-天母,0039003800310049,Sell,4971IET-KY,"-2384","2137","4521"
元大證券,9800,元大-天母,0039003800310049,Sell,7805威聯通,"-2091","0","2091"
元大證券,9800,元大-天母,0039003800310049,Sell,6139亞翔,"-2034","228","2262"
元大證券,9800,元大-天母,0039003800310049,Sell,7751竑騰,"-1872","0","1872"
元大證券,9800,元大-天母,0039003800310049,Sell,6213聯茂,"-1729","561","2290"
元大證券,9800,元大-天母,0039003800310049,Sell,3712永崴投控,"-1535","0","1535"
元大證券,9800,元大-天母,0039003800310049,Sell,00687B國泰20年美債,"-1506","0","1506"
元大證券,9800,元大-天母,0039003800310049,Sell,4979華星光,"-1446","792","2238"
元大證券,9800,元大-天母,0039003800310049,Sell,00947台新臺灣IC設計,"-1355","36","1391"
元大證券,9800,元大-天母,0039003800310049,Sell,00953B群益優選非投等債,"-1276","0","1276"
元大證券,9800,元大-天母,0039003800310049,Sell,6187萬潤,"-1217","28","1245"
元大證券,9800,元大-天母,0039003800310049,Sell,0056元大高股息,"-1193","1397","2590"
元大證券,9800,元大-天母,0039003800310049,Sell,00738U期元大道瓊白銀,"-1121","0","1121"
元大證券,9800,元大-天母,0039003800310049,Sell,3360尚立,"-1089","0","1089"
元大證券,9800,元大-天母,0039003800310049,Sell,1504東元,"-1086","1537","2623"
元大證券,9800,元大-天母,0039003800310049,Sell,2357華碩,"-1065","73","1138"
元大證券,9800,元大-天母,0039003800310049,Sell,5483中美晶,"-997","36","1033"
元大證券,9800,元大-天母,0039003800310049,Sell,6456GIS-KY,"-983","0","983"
元大證券,9800,元大-天母,0039003800310049,Sell,5439高技,"-959","0","959"
元大證券,9800,元大-天母,0039003800310049,Sell,6426統新,"-933","115","1048"
元大證券,9800,元大-天母,0039003800310049,Sell,5386青雲,"-905","3","908"
元大證券,9800,元大-天母,0039003800310049,Sell,2615萬海,"-879","19459","20338"
元大證券,9800,元大-天母,0039003800310049,Sell,3105穩懋,"-873","1831","2704"
元大證券,9800,元大-天母,0039003800310049,Sell,2426鼎元,"-824","0","824"
元大證券,9800,元大-天母,0039003800310049,Sell,00632R元大台灣50反1,"-761","205","966"
元大證券,9800,元大-天母,0039003800310049,Sell,6488環球晶,"-732","6155","6887"
元大證券,9800,元大-天母,0039003800310049,Sell,2393億光,"-729","0","729"
