BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2454聯發科,"6217","24717","18500"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3665貿聯-KY,"4555","4566","11"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2492華新科,"3341","4437","1096"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2609陽明,"2764","4502","1738"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6290良維,"2436","2436","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2327國巨*,"2426","12024","9598"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,4763材料*-KY,"2373","2624","251"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2049上銀,"2333","3504","1171"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,5351鈺創,"2278","2539","261"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,8299群聯,"2107","2396","289"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2337旺宏,"2092","4251","2159"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,00631L元大台灣50正2,"2012","3549","1537"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6265方土昶,"1991","2049","58"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6770力積電,"1851","6329","4478"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,5475德宏,"1780","1780","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2301光寶科,"1667","4368","2701"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3037欣興,"1664","13547","11883"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3406玉晶光,"1561","2596","1035"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6491晶碩,"1516","1516","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,00406A主動中信台灣收益,"1477","1487","10"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3026禾伸堂,"1418","1418","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6271同欣電,"1362","1557","195"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2891中信金,"1333","1333","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2308台達電,"1214","3058","1844"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3450聯鈞,"1145","3508","2363"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6182合晶,"1102","2216","1114"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2408南亞科,"1089","12398","11309"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6409旭隼,"1038","1038","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,4958臻鼎-KY,"978","5097","4119"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3535晶彩科,"972","972","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,4977眾達-KY,"949","1397","448"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2368金像電,"934","6294","5360"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2345智邦,"931","931","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,009816凱基台灣TOP50,"900","900","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3265台星科,"882","1231","349"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3090日電貿,"868","1918","1050"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,00992A主動群益科技創新,"816","1067","251"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6257矽格,"813","813","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2915潤泰全,"802","802","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,0050元大台灣50,"792","1020","228"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2409友達,"784","6143","5359"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,5483中美晶,"783","1526","743"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,3362先進光,"751","3383","2632"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2478大毅,"744","1674","930"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6834天二科技,"742","742","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2449京元電子,"735","747","12"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,2303聯電,"720","3070","2350"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,6190萬泰科,"717","717","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,4555氣立,"709","709","0"
永豐金,9A00,永豐金-南投,003900410039004d,Buy,1519華城,"707","729","22"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,00635U期元大S＆P黃金,"-5997","47","6044"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,2330台積電,"-5327","425","5752"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,1815富喬,"-4095","5604","9699"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,6919康霈*,"-3958","0","3958"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,2317鴻海,"-3952","2269","6221"
永豐金,9A00,永豐金-南投,003900410039004d,Sell,6187萬潤,"-3680","1336","5016"
