BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00738U期元大道瓊白銀,"25457","26791","1334"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00708L期元大S＆P黃金正2,"19403","21402","1999"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2327國巨*,"13770","32944","19174"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2454聯發科,"11107","28636","17529"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3008大立光,"10538","14586","4048"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2609陽明,"9355","21201","11846"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6243迅杰,"7891","7979","88"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2492華新科,"7706","13497","5791"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2059川湖,"7585","7585","0"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2308台達電,"6847","13922","7075"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6691洋基工程,"6471","6490","19"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2330台積電,"6072","17371","11299"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2301光寶科,"4966","15018","10052"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6141柏承,"4609","4787","178"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6770力積電,"4251","13293","9042"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,7711永擎,"4199","4199","0"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,1303南亞,"4116","14338","10222"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2303聯電,"3824","7631","3807"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3711日月光投控,"3725","16685","12960"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3706神達,"3551","3615","64"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,5289宜鼎,"3451","6481","3030"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,8039台虹,"3450","10542","7092"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6446藥華藥,"3447","4822","1375"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00878國泰永續高股息,"3418","4191","773"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2376技嘉,"3143","3172","29"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3450聯鈞,"3135","5982","2847"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6187萬潤,"3062","8634","5572"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3017奇鋐,"2967","4385","1418"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3189景碩,"2912","22905","19993"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3081聯亞,"2883","6144","3261"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,4764雙鍵,"2755","3190","435"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2891中信金,"2623","4091","1468"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2368金像電,"2398","14859","12461"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,8069元太,"2378","2835","457"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3006晶豪科,"2311","2596","285"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00953B群益優選非投等債,"2310","2329","19"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2409友達,"2307","6214","3907"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,3665貿聯-KY,"2107","2265","158"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2324仁寶,"1892","3204","1312"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2887台新新光金,"1880","1881","1"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2486一詮,"1785","6537","4752"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6139亞翔,"1785","4836","3051"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2337旺宏,"1771","7442","5671"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,8016矽創,"1745","1754","9"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00405A主動富邦台灣龍耀,"1727","1753","26"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,2377微星,"1710","2072","362"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,8261富鼎,"1681","2399","718"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,00919群益台灣精選高息,"1657","2141","484"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,5904寶雅*,"1646","2566","920"
永豐金,9A00,永豐金-台南,0039004100390068,Buy,6182合晶,"1640","3874","2234"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2408南亞科,"-27498","33172","60670"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2634漢翔,"-18616","6714","25330"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,1815富喬,"-13595","3757","17352"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,4958臻鼎-KY,"-12117","11238","23355"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3037欣興,"-11591","10067","21658"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2313華通,"-9963","6084","16047"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2637慧洋-KY,"-8692","1480","10172"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,0050元大台灣50,"-8445","5941","14386"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2603長榮,"-6035","9087","15122"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3105穩懋,"-5809","32179","37988"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,7744崴寶,"-5377","969","6346"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3441聯一光,"-4988","1191","6179"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2344華邦電,"-4542","39227","43769"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2883凱基金,"-4514","507","5021"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,7792安葆,"-4180","1196","5376"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6472保瑞,"-3912","448","4360"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,00631L元大台灣50正2,"-3589","2861","6450"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2630亞航,"-3402","746","4148"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,8358金居,"-3088","12626","15714"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6426統新,"-3038","264","3302"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3653健策,"-2836","27","2863"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6274台燿,"-2684","11615","14299"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,5483中美晶,"-2371","2892","5263"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6488環球晶,"-2333","7325","9658"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6505台塑化,"-2084","2102","4186"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,7786東方風能,"-1971","0","1971"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3481群創,"-1941","20193","22134"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,6719力智,"-1926","195","2121"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,00712復華富時不動產,"-1813","9","1822"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,8341日友,"-1777","2","1779"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,2383台光電,"-1769","229","1998"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,4971IET-KY,"-1730","1885","3615"
永豐金,9A00,永豐金-台南,0039004100390068,Sell,3044健鼎,"-1644","10","1654"
