BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-台中,9184,Buy,2377微星,"17822","17968","146"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2492華新科,"13086","17106","4020"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2455全新,"12088","25477","13389"
群益金鼎,9100,群益金鼎-台中,9184,Buy,1303南亞,"10461","19015","8554"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3189景碩,"9269","18509","9240"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2327國巨*,"8630","12978","4348"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3105穩懋,"7766","12561","4795"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2308台達電,"7055","14478","7423"
群益金鼎,9100,群益金鼎-台中,9184,Buy,6669緯穎,"6463","25538","19075"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2436偉詮電,"6212","6979","767"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3036文曄,"4100","4100","0"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3211順達,"3971","4421","450"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2301光寶科,"3329","6140","2811"
群益金鼎,9100,群益金鼎-台中,9184,Buy,6214精誠,"3196","24064","20868"
群益金鼎,9100,群益金鼎-台中,9184,Buy,7750新代,"2554","7529","4975"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2379瑞昱,"2427","3145","718"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2345智邦,"2125","2125","0"
群益金鼎,9100,群益金鼎-台中,9184,Buy,8046南電,"1782","5324","3542"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2421建準,"1713","1723","10"
群益金鼎,9100,群益金鼎-台中,9184,Buy,5289宜鼎,"1680","1680","0"
群益金鼎,9100,群益金鼎-台中,9184,Buy,6770力積電,"1566","27751","26185"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3661世芯-KY,"1544","9493","7949"
群益金鼎,9100,群益金鼎-台中,9184,Buy,4991環宇-KY,"1475","2515","1040"
群益金鼎,9100,群益金鼎-台中,9184,Buy,3037欣興,"1453","15029","13576"
群益金鼎,9100,群益金鼎-台中,9184,Buy,5269祥碩,"1450","1450","0"
群益金鼎,9100,群益金鼎-台中,9184,Buy,2049上銀,"1396","10575","9179"
群益金鼎,9100,群益金鼎-台中,9184,Buy,00918大華優利高填息30,"1387","1892","505"
群益金鼎,9100,群益金鼎-台中,9184,Buy,00757統一FANG+,"1366","1380","14"
