BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
京城,8490,京城,8490,Buy,3081聯亞,"5505","8480","2975"
京城,8490,京城,8490,Buy,6213聯茂,"4936","5594","658"
京城,8490,京城,8490,Buy,2451創見,"3748","6549","2801"
京城,8490,京城,8490,Buy,2408南亞科,"3592","5875","2283"
京城,8490,京城,8490,Buy,4763材料*-KY,"3003","3003","0"
京城,8490,京城,8490,Buy,4967十銓,"2762","3305","543"
京城,8490,京城,8490,Buy,6285啟碁,"2350","2350","0"
京城,8490,京城,8490,Buy,3665貿聯-KY,"2265","2265","0"
京城,8490,京城,8490,Buy,2851中再保,"2162","2304","142"
京城,8490,京城,8490,Buy,1301台塑,"2075","2548","473"
京城,8490,京城,8490,Buy,2345智邦,"2045","2045","0"
京城,8490,京城,8490,Buy,4958臻鼎-KY,"1742","6152","4410"
京城,8490,京城,8490,Buy,2481強茂,"1742","1742","0"
京城,8490,京城,8490,Buy,3189景碩,"1730","4142","2412"
京城,8490,京城,8490,Buy,6531愛普*,"1719","2639","920"
京城,8490,京城,8490,Buy,3533嘉澤,"1615","1615","0"
京城,8490,京城,8490,Buy,3231緯創,"1585","1762","177"
京城,8490,京城,8490,Buy,6446藥華藥,"1542","1542","0"
京城,8490,京城,8490,Buy,4991環宇-KY,"1487","1487","0"
京城,8490,京城,8490,Buy,6196帆宣,"1466","1466","0"
京城,8490,京城,8490,Buy,9914美利達,"1397","1397","0"
京城,8490,京城,8490,Buy,5464霖宏,"1105","1105","0"
京城,8490,京城,8490,Buy,2404漢唐,"1040","2115","1075"
京城,8490,京城,8490,Buy,7711永擎,"896","1365","469"
京城,8490,京城,8490,Buy,3481群創,"870","1236","366"
京城,8490,京城,8490,Buy,6451訊芯-KY,"830","1669","839"
京城,8490,京城,8490,Buy,4510高鋒,"749","749","0"
京城,8490,京城,8490,Buy,2458義隆,"700","700","0"
京城,8490,京城,8490,Buy,8374羅昇,"653","653","0"
京城,8490,京城,8490,Buy,3017奇鋐,"651","651","0"
京城,8490,京城,8490,Buy,6691洋基工程,"603","603","0"
京城,8490,京城,8490,Buy,00662富邦NASDAQ,"599","599","0"
京城,8490,京城,8490,Buy,6584南俊國際,"589","589","0"
京城,8490,京城,8490,Buy,4971IET-KY,"585","1173","588"
京城,8490,京城,8490,Buy,6672騰輝電子-KY,"579","579","0"
京城,8490,京城,8490,Buy,8086宏捷科,"553","553","0"
京城,8490,京城,8490,Buy,2493揚博,"548","548","0"
京城,8490,京城,8490,Buy,3034聯詠,"527","527","0"
京城,8490,京城,8490,Buy,6961旅天下,"506","506","0"
京城,8490,京城,8490,Buy,3152璟德,"490","490","0"
京城,8490,京城,8490,Buy,2359所羅門,"470","773","303"
京城,8490,京城,8490,Buy,2347聯強,"439","439","0"
京城,8490,京城,8490,Buy,2313華通,"430","1092","662"
京城,8490,京城,8490,Buy,2377微星,"423","423","0"
京城,8490,京城,8490,Buy,2466冠西電,"412","412","0"
京城,8490,京城,8490,Buy,6191精成科,"411","494","83"
京城,8490,京城,8490,Buy,8021尖點,"403","799","396"
京城,8490,京城,8490,Buy,3441聯一光,"393","989","596"
京城,8490,京城,8490,Buy,2049上銀,"374","374","0"
京城,8490,京城,8490,Buy,2641正德,"373","373","0"
京城,8490,京城,8490,Sell,4931新盛力,"-6025","0","6025"
