BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-員林,9889,Buy,5483中美晶,"11065","15459","4394"
元大證券,9800,元大-員林,9889,Buy,6257矽格,"10729","10927","198"
元大證券,9800,元大-員林,9889,Buy,3665貿聯-KY,"7039","14413","7374"
元大證券,9800,元大-員林,9889,Buy,6274台燿,"6630","10070","3440"
元大證券,9800,元大-員林,9889,Buy,3026禾伸堂,"5091","7930","2839"
元大證券,9800,元大-員林,9889,Buy,2327國巨*,"4822","14164","9342"
元大證券,9800,元大-員林,9889,Buy,3081聯亞,"4199","6203","2004"
元大證券,9800,元大-員林,9889,Buy,00981A主動統一台股增長,"4046","5412","1366"
元大證券,9800,元大-員林,9889,Buy,8046南電,"3759","18591","14832"
元大證券,9800,元大-員林,9889,Buy,2851中再保,"3727","3836","109"
元大證券,9800,元大-員林,9889,Buy,2634漢翔,"3234","4982","1748"
元大證券,9800,元大-員林,9889,Buy,2603長榮,"3036","4422","1386"
元大證券,9800,元大-員林,9889,Buy,6691洋基工程,"3012","3102","90"
元大證券,9800,元大-員林,9889,Buy,2637慧洋-KY,"2822","4248","1426"
元大證券,9800,元大-員林,9889,Buy,00735國泰臺韓科技,"2679","2884","205"
元大證券,9800,元大-員林,9889,Buy,2885元大金,"2674","2674","0"
元大證券,9800,元大-員林,9889,Buy,00403A主動統一升級50,"2627","3982","1355"
元大證券,9800,元大-員林,9889,Buy,00992A主動群益科技創新,"2348","2459","111"
元大證券,9800,元大-員林,9889,Buy,6488環球晶,"2290","3302","1012"
元大證券,9800,元大-員林,9889,Buy,8996高力,"2205","2205","0"
元大證券,9800,元大-員林,9889,Buy,2360致茂,"2175","2175","0"
元大證券,9800,元大-員林,9889,Buy,4991環宇-KY,"2157","2666","509"
元大證券,9800,元大-員林,9889,Buy,00937B群益ESG投等債20,"2151","2151","0"
元大證券,9800,元大-員林,9889,Buy,4958臻鼎-KY,"1973","8650","6677"
元大證券,9800,元大-員林,9889,Buy,3450聯鈞,"1892","3045","1153"
元大證券,9800,元大-員林,9889,Buy,6531愛普*,"1812","2719","907"
元大證券,9800,元大-員林,9889,Buy,2481強茂,"1601","1734","133"
元大證券,9800,元大-員林,9889,Buy,2409友達,"1554","2193","639"
元大證券,9800,元大-員林,9889,Buy,6278台表科,"1471","3526","2055"
元大證券,9800,元大-員林,9889,Buy,00406A主動中信台灣收益,"1432","1470","38"
元大證券,9800,元大-員林,9889,Buy,3017奇鋐,"1390","1663","273"
元大證券,9800,元大-員林,9889,Buy,7805威聯通,"1364","1364","0"
元大證券,9800,元大-員林,9889,Buy,2301光寶科,"1358","1893","535"
元大證券,9800,元大-員林,9889,Buy,2317鴻海,"1299","2855","1556"
元大證券,9800,元大-員林,9889,Buy,2359所羅門,"1260","1714","454"
元大證券,9800,元大-員林,9889,Buy,3481群創,"1195","7428","6233"
元大證券,9800,元大-員林,9889,Buy,4763材料*-KY,"1142","1192","50"
元大證券,9800,元大-員林,9889,Buy,6715嘉基,"1125","2459","1334"
元大證券,9800,元大-員林,9889,Buy,8043蜜望實,"1022","1022","0"
元大證券,9800,元大-員林,9889,Buy,2486一詮,"1021","2492","1471"
元大證券,9800,元大-員林,9889,Buy,00632R元大台灣50反1,"990","1295","305"
元大證券,9800,元大-員林,9889,Buy,6182合晶,"977","2256","1279"
元大證券,9800,元大-員林,9889,Buy,9939宏全,"935","935","0"
元大證券,9800,元大-員林,9889,Buy,5536聖暉*,"915","933","18"
元大證券,9800,元大-員林,9889,Buy,6173信昌電,"915","4776","3861"
元大證券,9800,元大-員林,9889,Buy,3105穩懋,"801","21704","20903"
元大證券,9800,元大-員林,9889,Buy,3090日電貿,"767","2412","1645"
元大證券,9800,元大-員林,9889,Buy,4749新應材,"761","761","0"
元大證券,9800,元大-員林,9889,Buy,8150南茂,"754","1018","264"
元大證券,9800,元大-員林,9889,Buy,00878國泰永續高股息,"734","997","263"
元大證券,9800,元大-員林,9889,Sell,5289宜鼎,"-25430","31","25461"
元大證券,9800,元大-員林,9889,Sell,2330台積電,"-16301","108","16409"
元大證券,9800,元大-員林,9889,Sell,8299群聯,"-13041","2207","15248"
元大證券,9800,元大-員林,9889,Sell,3260威剛,"-12586","3730","16316"
元大證券,9800,元大-員林,9889,Sell,6187萬潤,"-11726","1211","12937"
元大證券,9800,元大-員林,9889,Sell,2344華邦電,"-9121","18773","27894"
元大證券,9800,元大-員林,9889,Sell,2881富邦金,"-7094","692","7786"
元大證券,9800,元大-員林,9889,Sell,3189景碩,"-5219","11510","16729"
元大證券,9800,元大-員林,9889,Sell,1815富喬,"-4870","8372","13242"
元大證券,9800,元大-員林,9889,Sell,3037欣興,"-4167","13331","17498"
元大證券,9800,元大-員林,9889,Sell,2408南亞科,"-3968","17587","21555"
