BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-頭份,9296,Buy,00632R元大台灣50反1,"7735","10487","2752"
凱基,9200,凱基-頭份,9296,Buy,00961FT臺灣永續高息,"4208","4208","0"
凱基,9200,凱基-頭份,9296,Buy,00929復華台灣科技優息,"3793","4106","313"
凱基,9200,凱基-頭份,9296,Buy,3081聯亞,"2451","8520","6069"
凱基,9200,凱基-頭份,9296,Buy,6282康舒,"2348","2348","0"
凱基,9200,凱基-頭份,9296,Buy,2345智邦,"2077","2077","0"
凱基,9200,凱基-頭份,9296,Buy,2377微星,"1908","2049","141"
凱基,9200,凱基-頭份,9296,Buy,2049上銀,"1788","1788","0"
凱基,9200,凱基-頭份,9296,Buy,8046南電,"1374","4861","3487"
凱基,9200,凱基-頭份,9296,Buy,2308台達電,"1161","2998","1837"
凱基,9200,凱基-頭份,9296,Buy,6239力成,"1068","1068","0"
凱基,9200,凱基-頭份,9296,Buy,2368金像電,"1054","2063","1009"
凱基,9200,凱基-頭份,9296,Buy,3090日電貿,"996","996","0"
凱基,9200,凱基-頭份,9296,Buy,4958臻鼎-KY,"941","11541","10600"
凱基,9200,凱基-頭份,9296,Buy,6173信昌電,"870","870","0"
凱基,9200,凱基-頭份,9296,Buy,00662富邦NASDAQ,"840","840","0"
凱基,9200,凱基-頭份,9296,Buy,00919群益台灣精選高息,"823","885","62"
凱基,9200,凱基-頭份,9296,Buy,5483中美晶,"787","2196","1409"
凱基,9200,凱基-頭份,9296,Buy,00923群益台ESG低碳50,"770","770","0"
凱基,9200,凱基-頭份,9296,Buy,2458義隆,"703","703","0"
凱基,9200,凱基-頭份,9296,Buy,2324仁寶,"692","769","77"
凱基,9200,凱基-頭份,9296,Buy,00685L群益臺灣加權正2,"687","836","149"
凱基,9200,凱基-頭份,9296,Buy,00403A主動統一升級50,"661","681","20"
凱基,9200,凱基-頭份,9296,Buy,4973廣穎,"646","646","0"
凱基,9200,凱基-頭份,9296,Buy,2327國巨*,"599","4534","3935"
凱基,9200,凱基-頭份,9296,Buy,2543皇昌,"584","584","0"
凱基,9200,凱基-頭份,9296,Buy,3026禾伸堂,"582","1477","895"
凱基,9200,凱基-頭份,9296,Buy,6182合晶,"561","878","317"
凱基,9200,凱基-頭份,9296,Buy,4979華星光,"496","2894","2398"
凱基,9200,凱基-頭份,9296,Buy,8271宇瞻,"468","704","236"
凱基,9200,凱基-頭份,9296,Buy,2486一詮,"456","1220","764"
凱基,9200,凱基-頭份,9296,Buy,00708L期元大S＆P黃金正2,"433","433","0"
凱基,9200,凱基-頭份,9296,Buy,3017奇鋐,"418","418","0"
凱基,9200,凱基-頭份,9296,Buy,2455全新,"402","1211","809"
凱基,9200,凱基-頭份,9296,Buy,7799禾榮科,"372","372","0"
凱基,9200,凱基-頭份,9296,Buy,2317鴻海,"362","615","253"
凱基,9200,凱基-頭份,9296,Buy,6141柏承,"347","347","0"
凱基,9200,凱基-頭份,9296,Buy,4123晟德,"324","324","0"
凱基,9200,凱基-頭份,9296,Buy,8227巨有科技,"306","306","0"
