BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-敦北法人,0037003700390063,Buy,4979華星光,"372144","385949","13805"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3211順達,"273213","273566","353"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3008大立光,"245317","251410","6093"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,6278台表科,"149868","151563","1695"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2330台積電,"105707","132808","27101"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,8358金居,"75719","81222","5503"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2454聯發科,"74613","82549","7936"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2059川湖,"67731","67988","257"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2455全新,"49138","51987","2849"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,6182合晶,"48005","49796","1791"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,8111立碁,"40778","40905","127"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,6488環球晶,"38875","42710","3835"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,4938和碩,"33594","33594","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2324仁寶,"31237","31237","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3532台勝科,"26699","27396","697"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3081聯亞,"22857","28970","6113"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2637慧洋-KY,"20876","21889","1013"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2855統一證,"18785","18785","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,5483中美晶,"18548","38277","19729"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2615萬海,"17982","20310","2328"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,7610聯友金屬-創,"16795","16795","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,4966譜瑞-KY,"5697","5697","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3653健策,"5286","5510","224"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,4991環宇-KY,"5168","8134","2966"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,3044健鼎,"5095","5095","0"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2395研華,"3881","3894","13"
國票證券,7790,國票-敦北法人,0037003700390063,Buy,2408南亞科,"3736","22432","18696"
