BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-岡山,9616,Buy,3081聯亞,"8459","8765","306"
富邦證券,9600,富邦-岡山,9616,Buy,2303聯電,"8399","9734","1335"
富邦證券,9600,富邦-岡山,9616,Buy,2492華新科,"5292","5356","64"
富邦證券,9600,富邦-岡山,9616,Buy,3231緯創,"4303","5539","1236"
富邦證券,9600,富邦-岡山,9616,Buy,3017奇鋐,"3369","3375","6"
富邦證券,9600,富邦-岡山,9616,Buy,6274台燿,"3044","10688","7644"
富邦證券,9600,富邦-岡山,9616,Buy,2327國巨*,"2477","3050","573"
富邦證券,9600,富邦-岡山,9616,Buy,2368金像電,"2411","3393","982"
富邦證券,9600,富邦-岡山,9616,Buy,2449京元電子,"2394","2419","25"
富邦證券,9600,富邦-岡山,9616,Buy,2409友達,"2247","2609","362"
富邦證券,9600,富邦-岡山,9616,Buy,2059川湖,"2212","2212","0"
富邦證券,9600,富邦-岡山,9616,Buy,00406A主動中信台灣收益,"2179","2179","0"
富邦證券,9600,富邦-岡山,9616,Buy,3324雙鴻,"1993","2962","969"
富邦證券,9600,富邦-岡山,9616,Buy,8039台虹,"1927","9295","7368"
富邦證券,9600,富邦-岡山,9616,Buy,2316楠梓電,"1747","1747","0"
富邦證券,9600,富邦-岡山,9616,Buy,3533嘉澤,"1614","1614","0"
富邦證券,9600,富邦-岡山,9616,Buy,8046南電,"1439","2634","1195"
富邦證券,9600,富邦-岡山,9616,Buy,00981A主動統一台股增長,"1425","1454","29"
富邦證券,9600,富邦-岡山,9616,Buy,6488環球晶,"1359","4306","2947"
富邦證券,9600,富邦-岡山,9616,Buy,6187萬潤,"1296","3905","2609"
富邦證券,9600,富邦-岡山,9616,Buy,00673R期元大S＆P原油反1,"1196","1196","0"
富邦證券,9600,富邦-岡山,9616,Buy,6257矽格,"1133","1133","0"
富邦證券,9600,富邦-岡山,9616,Buy,8081致新,"1019","1019","0"
富邦證券,9600,富邦-岡山,9616,Buy,6271同欣電,"970","970","0"
富邦證券,9600,富邦-岡山,9616,Buy,8070長華*,"920","930","10"
富邦證券,9600,富邦-岡山,9616,Buy,8069元太,"803","803","0"
富邦證券,9600,富邦-岡山,9616,Buy,8021尖點,"801","1211","410"
富邦證券,9600,富邦-岡山,9616,Buy,4749新應材,"772","772","0"
富邦證券,9600,富邦-岡山,9616,Buy,2481強茂,"740","740","0"
富邦證券,9600,富邦-岡山,9616,Buy,00403A主動統一升級50,"711","751","40"
富邦證券,9600,富邦-岡山,9616,Buy,3481群創,"695","6114","5419"
富邦證券,9600,富邦-岡山,9616,Buy,2634漢翔,"693","1493","800"
富邦證券,9600,富邦-岡山,9616,Buy,2308台達電,"693","2465","1772"
富邦證券,9600,富邦-岡山,9616,Buy,00637L元大滬深300正2,"692","996","304"
富邦證券,9600,富邦-岡山,9616,Buy,2313華通,"665","1096","431"
富邦證券,9600,富邦-岡山,9616,Buy,2486一詮,"630","1116","486"
富邦證券,9600,富邦-岡山,9616,Buy,3008大立光,"615","689","74"
富邦證券,9600,富邦-岡山,9616,Buy,4991環宇-KY,"563","1068","505"
富邦證券,9600,富邦-岡山,9616,Buy,6525捷敏-KY,"551","555","4"
富邦證券,9600,富邦-岡山,9616,Buy,2454聯發科,"519","4705","4186"
富邦證券,9600,富邦-岡山,9616,Buy,6292迅德,"492","492","0"
富邦證券,9600,富邦-岡山,9616,Buy,2337旺宏,"487","972","485"
富邦證券,9600,富邦-岡山,9616,Buy,6669緯穎,"451","1079","628"
富邦證券,9600,富邦-岡山,9616,Buy,5483中美晶,"450","450","0"
富邦證券,9600,富邦-岡山,9616,Buy,3234光環,"449","449","0"
富邦證券,9600,富邦-岡山,9616,Buy,2636台驊控股,"435","447","12"
富邦證券,9600,富邦-岡山,9616,Buy,2329華泰,"430","430","0"
富邦證券,9600,富邦-岡山,9616,Buy,6451訊芯-KY,"424","845","421"
富邦證券,9600,富邦-岡山,9616,Buy,4958臻鼎-KY,"418","2312","1894"
富邦證券,9600,富邦-岡山,9616,Buy,2332友訊,"404","404","0"
富邦證券,9600,富邦-岡山,9616,Sell,2330台積電,"-26439","65","26504"
富邦證券,9600,富邦-岡山,9616,Sell,009829大華韓國KOSPI5,"-4807","127","4934"
富邦證券,9600,富邦-岡山,9616,Sell,6770力積電,"-3684","1298","4982"
富邦證券,9600,富邦-岡山,9616,Sell,2451創見,"-3328","9","3337"
富邦證券,9600,富邦-岡山,9616,Sell,7610聯友金屬-創,"-3048","2","3050"
富邦證券,9600,富邦-岡山,9616,Sell,3260威剛,"-2891","2156","5047"
富邦證券,9600,富邦-岡山,9616,Sell,2455全新,"-2001","412","2413"
富邦證券,9600,富邦-岡山,9616,Sell,1409新纖,"-1733","0","1733"
富邦證券,9600,富邦-岡山,9616,Sell,2317鴻海,"-1682","1849","3531"
富邦證券,9600,富邦-岡山,9616,Sell,1815富喬,"-1616","1202","2818"
富邦證券,9600,富邦-岡山,9616,Sell,6782視陽,"-1604","0","1604"
富邦證券,9600,富邦-岡山,9616,Sell,1519華城,"-1562","3","1565"
富邦證券,9600,富邦-岡山,9616,Sell,1303南亞,"-1511","1339","2850"
富邦證券,9600,富邦-岡山,9616,Sell,3026禾伸堂,"-1424","2175","3599"
富邦證券,9600,富邦-岡山,9616,Sell,1102亞泥,"-1396","0","1396"
富邦證券,9600,富邦-岡山,9616,Sell,8358金居,"-1343","2160","3503"
富邦證券,9600,富邦-岡山,9616,Sell,00919群益台灣精選高息,"-1327","59","1386"
富邦證券,9600,富邦-岡山,9616,Sell,6213聯茂,"-1294","5260","6554"
富邦證券,9600,富邦-岡山,9616,Sell,8299群聯,"-1294","2787","4081"
富邦證券,9600,富邦-岡山,9616,Sell,2603長榮,"-1263","250","1513"
富邦證券,9600,富邦-岡山,9616,Sell,2615萬海,"-1244","2915","4159"
富邦證券,9600,富邦-岡山,9616,Sell,2489瑞軒,"-1174","0","1174"
富邦證券,9600,富邦-岡山,9616,Sell,2609陽明,"-1160","2303","3463"
富邦證券,9600,富邦-岡山,9616,Sell,3037欣興,"-1153","2527","3680"
富邦證券,9600,富邦-岡山,9616,Sell,00923群益台ESG低碳50,"-1085","0","1085"
富邦證券,9600,富邦-岡山,9616,Sell,2408南亞科,"-1084","7754","8838"
富邦證券,9600,富邦-岡山,9616,Sell,00685L群益臺灣加權正2,"-1084","472","1556"
富邦證券,9600,富邦-岡山,9616,Sell,4979華星光,"-1067","3139","4206"
富邦證券,9600,富邦-岡山,9616,Sell,2426鼎元,"-987","163","1150"
富邦證券,9600,富邦-岡山,9616,Sell,0050元大台灣50,"-982","5485","6467"
富邦證券,9600,富邦-岡山,9616,Sell,5209新鼎,"-813","0","813"
富邦證券,9600,富邦-岡山,9616,Sell,3504揚明光,"-805","0","805"
富邦證券,9600,富邦-岡山,9616,Sell,00981B第一金優選非投債,"-785","18","803"
富邦證券,9600,富邦-岡山,9616,Sell,3042晶技,"-735","2184","2919"
