BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
康和,8450,康和-延平,8451,Buy,3167大量,"7490","7490","0"
康和,8450,康和-延平,8451,Buy,2395研華,"6696","7988","1292"
康和,8450,康和-延平,8451,Buy,2308台達電,"5214","5249","35"
康和,8450,康和-延平,8451,Buy,6147頎邦,"3315","3793","478"
康和,8450,康和-延平,8451,Buy,2301光寶科,"3150","3663","513"
康和,8450,康和-延平,8451,Buy,6526達發,"2033","2321","288"
康和,8450,康和-延平,8451,Buy,7610聯友金屬-創,"1680","1680","0"
康和,8450,康和-延平,8451,Buy,6213聯茂,"1568","5845","4277"
康和,8450,康和-延平,8451,Buy,2359所羅門,"1546","2157","611"
康和,8450,康和-延平,8451,Buy,3081聯亞,"1475","2889","1414"
康和,8450,康和-延平,8451,Buy,5289宜鼎,"1459","4670","3211"
康和,8450,康和-延平,8451,Buy,2492華新科,"1423","10501","9078"
康和,8450,康和-延平,8451,Buy,6683雍智科技,"1115","1115","0"
康和,8450,康和-延平,8451,Buy,2634漢翔,"1086","1712","626"
康和,8450,康和-延平,8451,Buy,1476儒鴻,"956","956","0"
康和,8450,康和-延平,8451,Buy,6488環球晶,"946","946","0"
康和,8450,康和-延平,8451,Buy,2368金像電,"899","1998","1099"
康和,8450,康和-延平,8451,Buy,8111立碁,"872","872","0"
康和,8450,康和-延平,8451,Buy,4958臻鼎-KY,"773","3862","3089"
康和,8450,康和-延平,8451,Buy,3189景碩,"722","1704","982"
康和,8450,康和-延平,8451,Buy,2313華通,"693","914","221"
康和,8450,康和-延平,8451,Buy,9914美利達,"687","1482","795"
康和,8450,康和-延平,8451,Buy,3293鈊象,"671","730","59"
康和,8450,康和-延平,8451,Buy,2486一詮,"608","608","0"
康和,8450,康和-延平,8451,Buy,4971IET-KY,"607","1195","588"
康和,8450,康和-延平,8451,Buy,8016矽創,"590","590","0"
康和,8450,康和-延平,8451,Buy,8039台虹,"569","8974","8405"
康和,8450,康和-延平,8451,Buy,7712博盛半導體,"566","566","0"
康和,8450,康和-延平,8451,Buy,3661世芯-KY,"554","554","0"
康和,8450,康和-延平,8451,Buy,3017奇鋐,"548","548","0"
康和,8450,康和-延平,8451,Buy,3305昇貿,"543","543","0"
康和,8450,康和-延平,8451,Buy,5434崇越,"519","519","0"
康和,8450,康和-延平,8451,Buy,3450聯鈞,"516","2787","2271"
康和,8450,康和-延平,8451,Buy,6416瑞祺電通,"508","508","0"
康和,8450,康和-延平,8451,Buy,1316上曜,"505","505","0"
康和,8450,康和-延平,8451,Buy,9904寶成,"476","501","25"
康和,8450,康和-延平,8451,Buy,8271宇瞻,"470","470","0"
康和,8450,康和-延平,8451,Buy,5483中美晶,"446","2024","1578"
康和,8450,康和-延平,8451,Buy,6271同欣電,"418","418","0"
康和,8450,康和-延平,8451,Buy,6257矽格,"418","418","0"
康和,8450,康和-延平,8451,Buy,3211順達,"356","356","0"
康和,8450,康和-延平,8451,Buy,1301台塑,"350","705","355"
康和,8450,康和-延平,8451,Buy,00987A主動台新優勢成長,"316","316","0"
康和,8450,康和-延平,8451,Buy,3529力旺,"316","316","0"
康和,8450,康和-延平,8451,Buy,6505台塑化,"298","386","88"
康和,8450,康和-延平,8451,Buy,5490同亨,"296","296","0"
康和,8450,康和-延平,8451,Buy,2731雄獅,"291","292","1"
康和,8450,康和-延平,8451,Buy,6672騰輝電子-KY,"286","286","0"
康和,8450,康和-延平,8451,Buy,4114健喬,"283","283","0"
康和,8450,康和-延平,8451,Buy,2402毅嘉,"279","279","0"
康和,8450,康和-延平,8451,Sell,3026禾伸堂,"-27752","3400","31152"
