BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2486一詮,"64766","75321","10555"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2383台光電,"7481","7777","296"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2851中再保,"7025","7259","234"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2345智邦,"6922","8967","2045"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,7734印能科技,"6467","18350","11883"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3037欣興,"5917","68303","62386"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,1709和益,"5637","6000","363"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,8358金居,"5367","16467","11100"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,4971IET-KY,"5359","23755","18396"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6173信昌電,"4776","23318","18542"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2368金像電,"4439","6583","2144"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3374精材,"4225","12865","8640"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6278台表科,"4049","9783","5734"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6588東典光電,"3960","6925","2965"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2634漢翔,"3924","5474","1550"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,0050元大台灣50,"3829","4982","1153"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3042晶技,"3791","14991","11200"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2882國泰金,"3619","6032","2413"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3324雙鴻,"3478","5125","1647"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6414樺漢,"3197","3197","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,00984D主動聯博全球非投,"3061","3061","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3543州巧,"3042","3129","87"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,2327國巨*,"2957","6000","3043"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6274台燿,"2914","16754","13840"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3211順達,"2864","2871","7"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3045台灣大,"2849","3193","344"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6510精測,"2730","2730","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,8210勤誠,"2656","2656","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,7750新代,"2583","2672","89"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,4991環宇-KY,"2509","13873","11364"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,00981A主動統一台股增長,"2476","4004","1528"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,3189景碩,"2333","5249","2916"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,4939亞電,"2298","4531","2233"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6781AES-KY,"2111","2111","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6187萬潤,"2106","13171","11065"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,1815富喬,"2057","31378","29321"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,1560中砂,"2055","2055","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,5483中美晶,"2027","12221","10194"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,9933中鼎,"2018","2018","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6186新潤,"1973","1973","0"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6488環球晶,"1953","17532","15579"
永豐金,9A00,永豐金-松山,0039004100390031,Buy,6290良維,"1936","2155","219"
