BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,2486一詮,"19043","19795","752"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3037欣興,"12523","35970","23447"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3661世芯-KY,"11893","19497","7604"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,5483中美晶,"10735","12317","1582"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,4958臻鼎-KY,"10429","20126","9697"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6274台燿,"8414","10045","1631"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3008大立光,"8062","28262","20200"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,2382廣達,"7656","8409","753"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3105穩懋,"7577","14779","7202"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3189景碩,"7083","23837","16754"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6672騰輝電子-KY,"6886","11567","4681"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3167大量,"6869","12993","6124"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3231緯創,"6819","7753","934"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6669緯穎,"6588","12843","6255"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3026禾伸堂,"6550","11332","4782"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,00981A主動統一台股增長,"5143","7586","2443"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3017奇鋐,"4468","10596","6128"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3374精材,"4419","8184","3765"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,4991環宇-KY,"4068","6079","2011"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6206飛捷,"3781","4480","699"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,4971IET-KY,"3768","10275","6507"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,3702大聯大,"3525","3634","109"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,2313華通,"3083","22220","19137"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6442光聖,"3035","15383","12348"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,6944兆聯實業,"3024","3024","0"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,2454聯發科,"2960","8777","5817"
永豐金,9A00,永豐金-桃園,0039004100390078,Buy,00406A主動中信台灣收益,"2795","2814","19"
