BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2383台光電,"6453","12196","5743"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2395研華,"5243","19670","14427"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3189景碩,"5107","7578","2471"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5439高技,"3848","3848","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3491昇達科,"2541","2541","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,00632R元大台灣50反1,"2423","2423","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,6672騰輝電子-KY,"2320","2352","32"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5289宜鼎,"2294","2340","46"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,6919康霈*,"2079","2538","459"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5483中美晶,"1972","2670","698"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3044健鼎,"1904","3366","1462"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,6472保瑞,"1832","1832","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2027大成鋼,"1743","1743","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,4991環宇-KY,"1701","1701","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5269祥碩,"1542","1542","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3293鈊象,"1479","1479","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,1519華城,"1460","1460","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3413京鼎,"1428","1428","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2634漢翔,"1371","1827","456"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,6239力成,"1346","1611","265"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,4958臻鼎-KY,"1337","14022","12685"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5351鈺創,"1334","2201","867"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2327國巨*,"1283","6864","5581"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,1522A堤維西甲特,"1273","1273","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2301光寶科,"1167","3247","2080"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,00738U期元大道瓊白銀,"1156","1156","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2617台航,"1074","1074","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,00663L國泰臺灣加權正2,"999","999","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,2317鴻海,"993","995","2"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,6894衛司特,"986","986","0"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,5425台半,"920","2082","1162"
群益金鼎,9100,群益金鼎-建成,003900310038004c,Buy,3231緯創,"891","891","0"
