BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
富邦證券,9600,富邦-公益,0039003600310046,Buy,1303南亞,"25729","35944","10215"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2330台積電,"22368","25610","3242"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2455全新,"20707","22272","1565"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2408南亞科,"20477","47984","27507"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3665貿聯-KY,"9782","10142","360"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2317鴻海,"8342","8501","159"
富邦證券,9600,富邦-公益,0039003600310046,Buy,5289宜鼎,"7092","22193","15101"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6669緯穎,"6926","7002","76"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3491昇達科,"6462","7792","1330"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8299群聯,"6345","18552","12207"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2308台達電,"5800","8500","2700"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6223旺矽,"5255","5624","369"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6213聯茂,"5044","8241","3197"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3167大量,"4470","7266","2796"
富邦證券,9600,富邦-公益,0039003600310046,Buy,5475德宏,"4160","5532","1372"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3189景碩,"3646","7114","3468"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8358金居,"3458","13948","10490"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3163波若威,"3228","4103","875"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2484希華,"3051","3417","366"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6505台塑化,"2888","5342","2454"
富邦證券,9600,富邦-公益,0039003600310046,Buy,0050元大台灣50,"2837","4754","1917"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6830汎銓,"2819","3277","458"
富邦證券,9600,富邦-公益,0039003600310046,Buy,1301台塑,"2785","2954","169"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2409友達,"2748","4406","1658"
富邦證券,9600,富邦-公益,0039003600310046,Buy,00981A主動統一台股增長,"2698","3723","1025"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3017奇鋐,"2661","5862","3201"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8039台虹,"2631","19721","17090"
富邦證券,9600,富邦-公益,0039003600310046,Buy,009829大華韓國KOSPI5,"2614","2739","125"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2492華新科,"2574","6150","3576"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8112至上,"2551","5502","2951"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3363上詮,"2341","2353","12"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2615萬海,"2327","7894","5567"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8046南電,"2287","9183","6896"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3231緯創,"2250","2798","548"
富邦證券,9600,富邦-公益,0039003600310046,Buy,0056元大高股息,"2173","2532","359"
富邦證券,9600,富邦-公益,0039003600310046,Buy,1605華新,"2033","2997","964"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6182合晶,"2026","6292","4266"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8111立碁,"1999","2893","894"
富邦證券,9600,富邦-公益,0039003600310046,Buy,4991環宇-KY,"1960","2873","913"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2454聯發科,"1959","7228","5269"
富邦證券,9600,富邦-公益,0039003600310046,Buy,2049上銀,"1783","2907","1124"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6531愛普*,"1736","1745","9"
富邦證券,9600,富邦-公益,0039003600310046,Buy,8074鉅橡,"1633","1633","0"
富邦證券,9600,富邦-公益,0039003600310046,Buy,6664群翊,"1629","1982","353"
富邦證券,9600,富邦-公益,0039003600310046,Buy,4772台特化,"1574","2103","529"
富邦證券,9600,富邦-公益,0039003600310046,Buy,00830國泰費城半導體,"1486","1486","0"
富邦證券,9600,富邦-公益,0039003600310046,Buy,00403A主動統一升級50,"1356","1962","606"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3211順達,"1349","2350","1001"
富邦證券,9600,富邦-公益,0039003600310046,Buy,3362先進光,"1328","5286","3958"
富邦證券,9600,富邦-公益,0039003600310046,Buy,00406A主動中信台灣收益,"1290","1299","9"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2301光寶科,"-13774","1975","15749"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2451創見,"-13673","10675","24348"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2303聯電,"-12630","12462","25092"
富邦證券,9600,富邦-公益,0039003600310046,Sell,6547高端疫苗,"-9955","1686","11641"
富邦證券,9600,富邦-公益,0039003600310046,Sell,3006晶豪科,"-8775","842","9617"
富邦證券,9600,富邦-公益,0039003600310046,Sell,3008大立光,"-7865","20217","28082"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2337旺宏,"-5516","2947","8463"
富邦證券,9600,富邦-公益,0039003600310046,Sell,3443創意,"-5464","5691","11155"
富邦證券,9600,富邦-公益,0039003600310046,Sell,6274台燿,"-5445","950","6395"
富邦證券,9600,富邦-公益,0039003600310046,Sell,3260威剛,"-5383","8759","14142"
富邦證券,9600,富邦-公益,0039003600310046,Sell,6770力積電,"-5362","7671","13033"
富邦證券,9600,富邦-公益,0039003600310046,Sell,3081聯亞,"-4871","18717","23588"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2609陽明,"-4478","9161","13639"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2324仁寶,"-4264","2266","6530"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2360致茂,"-4148","2","4150"
富邦證券,9600,富邦-公益,0039003600310046,Sell,2546根基,"-3796","112","3908"
富邦證券,9600,富邦-公益,0039003600310046,Sell,6919康霈*,"-3395","1144","4539"
