BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-大益,9814,Buy,6446藥華藥,"14594","20790","6196"
元大證券,9800,元大-大益,9814,Buy,3260威剛,"11188","12018","830"
元大證券,9800,元大-大益,9814,Buy,2308台達電,"7158","17374","10216"
元大證券,9800,元大-大益,9814,Buy,3017奇鋐,"5627","5747","120"
元大證券,9800,元大-大益,9814,Buy,2451創見,"5457","10894","5437"
元大證券,9800,元大-大益,9814,Buy,3231緯創,"5383","19595","14212"
元大證券,9800,元大-大益,9814,Buy,2383台光電,"4773","6028","1255"
元大證券,9800,元大-大益,9814,Buy,2317鴻海,"4657","6078","1421"
元大證券,9800,元大-大益,9814,Buy,2360致茂,"4363","4373","10"
元大證券,9800,元大-大益,9814,Buy,6488環球晶,"4285","6276","1991"
元大證券,9800,元大-大益,9814,Buy,2327國巨*,"4131","7870","3739"
元大證券,9800,元大-大益,9814,Buy,8299群聯,"3359","3587","228"
元大證券,9800,元大-大益,9814,Buy,7610聯友金屬-創,"3245","3293","48"
元大證券,9800,元大-大益,9814,Buy,6770力積電,"3104","10946","7842"
元大證券,9800,元大-大益,9814,Buy,4967十銓,"2709","3553","844"
元大證券,9800,元大-大益,9814,Buy,0050元大台灣50,"2598","4080","1482"
元大證券,9800,元大-大益,9814,Buy,2399映泰,"2406","2406","0"
元大證券,9800,元大-大益,9814,Buy,6187萬潤,"2350","3810","1460"
元大證券,9800,元大-大益,9814,Buy,3532台勝科,"2274","7896","5622"
元大證券,9800,元大-大益,9814,Buy,2345智邦,"2142","2202","60"
元大證券,9800,元大-大益,9814,Buy,2303聯電,"2131","9073","6942"
元大證券,9800,元大-大益,9814,Buy,3665貿聯-KY,"2035","4125","2090"
元大證券,9800,元大-大益,9814,Buy,3026禾伸堂,"1870","3709","1839"
元大證券,9800,元大-大益,9814,Buy,00406A主動中信台灣收益,"1861","2280","419"
元大證券,9800,元大-大益,9814,Buy,4931新盛力,"1801","4518","2717"
元大證券,9800,元大-大益,9814,Buy,6290良維,"1781","1781","0"
元大證券,9800,元大-大益,9814,Buy,6182合晶,"1721","5472","3751"
元大證券,9800,元大-大益,9814,Buy,8442威宏-KY,"1632","1731","99"
元大證券,9800,元大-大益,9814,Buy,3211順達,"1601","2895","1294"
元大證券,9800,元大-大益,9814,Buy,8150南茂,"1508","2195","687"
元大證券,9800,元大-大益,9814,Buy,6579研揚,"1446","1446","0"
元大證券,9800,元大-大益,9814,Buy,3491昇達科,"1428","1428","0"
元大證券,9800,元大-大益,9814,Buy,5483中美晶,"1415","2150","735"
元大證券,9800,元大-大益,9814,Buy,3413京鼎,"1405","1405","0"
元大證券,9800,元大-大益,9814,Buy,3706神達,"1376","2011","635"
元大證券,9800,元大-大益,9814,Buy,2059川湖,"1271","1384","113"
