BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00981B第一金優選非投債,"10717","10992","275"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,6770力積電,"9337","14256","4919"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2308台達電,"9000","9176","176"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,5289宜鼎,"7856","7856","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2609陽明,"7200","18402","11202"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3260威剛,"5761","12969","7208"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2454聯發科,"5681","5681","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,8299群聯,"5412","5422","10"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3293鈊象,"4840","5551","711"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2889國票金,"4605","4621","16"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2408南亞科,"4568","32159","27591"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3532台勝科,"4452","12839","8387"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,6488環球晶,"4326","12160","7834"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,0050元大台灣50,"4030","4671","641"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3388崇越電,"4022","4022","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3006晶豪科,"3144","5830","2686"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3017奇鋐,"3135","3938","803"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,6442光聖,"2993","3170","177"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3693營邦,"2773","2773","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,8210勤誠,"2761","9377","6616"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2356英業達,"2742","2807","65"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00406A主動中信台灣收益,"2594","2649","55"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00998A主動復華金融股息,"2455","2455","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2344華邦電,"2430","6507","4077"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2327國巨*,"2391","11057","8666"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3131弘塑,"2383","2405","22"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2337旺宏,"2224","2724","500"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,5536聖暉*,"2192","2192","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2301光寶科,"2149","11267","9118"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2345智邦,"2147","2147","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3234光環,"2112","2117","5"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,7711永擎,"2035","2523","488"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,4979華星光,"1959","14275","12316"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00918大華優利高填息30,"1927","4024","2097"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,2317鴻海,"1863","4574","2711"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00981A主動統一台股增長,"1822","5298","3476"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3231緯創,"1821","7182","5361"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,7751竑騰,"1765","1765","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,8131福懋科,"1584","1584","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,6274台燿,"1552","1552","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3189景碩,"1526","1618","92"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,6505台塑化,"1500","1993","493"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00929復華台灣科技優息,"1497","1497","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,00991A主動復華未來50,"1496","1979","483"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,5351鈺創,"1458","2381","923"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3680家登,"1235","1372","137"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3491昇達科,"1230","1230","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,1714和桐,"1209","1209","0"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,3019亞光,"1194","1324","130"
兆豐證券,7000,兆豐-來福,0037003000300043,Buy,8039台虹,"1156","18702","17546"
