BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,8150南茂,"19516","19644","128"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3481群創,"4958","6530","1572"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,00675L富邦臺灣加權正2,"4906","4933","27"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,8299群聯,"4138","4138","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,4915致伸,"3993","3993","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,00403A主動統一升級50,"3733","3743","10"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3017奇鋐,"2978","3064","86"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3711日月光投控,"2922","7397","4475"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,00631L元大台灣50正2,"2683","2956","273"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2317鴻海,"2245","3679","1434"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,6770力積電,"2000","2410","410"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2408南亞科,"1992","13070","11078"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2327國巨*,"1618","5586","3968"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,5289宜鼎,"1495","1495","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3019亞光,"1313","1313","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3006晶豪科,"1216","1216","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2481強茂,"1177","1442","265"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,8358金居,"1122","1934","812"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2915潤泰全,"1061","1061","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,3450聯鈞,"973","3994","3021"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,6278台表科,"885","885","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,00981A主動統一台股增長,"820","877","57"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,6414樺漢,"802","802","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,00632R元大台灣50反1,"774","774","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,4749新應材,"742","742","0"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,5483中美晶,"736","1102","366"
兆豐證券,7000,兆豐-岡山,0037003000300073,Buy,2377微星,"724","1008","284"
